風速,計・火災件数,計・建物火災・件数(A),計・建物火災・全、半、部分焼・件数(B),計・建物火災・全、半、部分焼・焼損床面積（㎡）(C),計・比率・延焼率(％)(B)/(A),"計・比率・延焼火災1件当たりの焼損床面積（㎡）(C)/(B)",湿度50％未満・火災件数,湿度50％未満・建物火災・件数(A),湿度50％未満・建物火災・全、半、部分焼・件数(B),湿度50％未満・建物火災・全、半、部分焼・焼損床面積（㎡）(C),湿度50％未満・比率・延焼率(％)(B)/(A),"湿度55％未満・比率・延焼火災1件当たりの焼損床面積（㎡）(C)/(B)",湿度50％以上60％未満・火災件数,湿度50％以上60％未満・建物火災・件数(A),湿度50％以上60％未満・建物火災・全、半、部分焼・件数(B),湿度50％以上60％未満・建物火災・全、半、部分焼・焼損床面積（㎡）(C),湿度50％以上60％未満・比率・延焼率(％)(B)/(A),湿度50％以上60％未満・比率・延焼火災1件当たりの焼損床面積（㎡）(C)/(B),湿度60％以上70％未満・火災件数,湿度60％以上70％未満・建物火災・件数(A),湿度60％以上70％未満・建物火災・全、半、部分焼・件数(B),湿度60％以上70％未満・建物火災・全、半、部分焼・焼損床面積（㎡）(C),湿度60％以上70％未満・比率・延焼率(％)(B)/(A),湿度60％以上70％未満・比率・延焼火災1件当たりの焼損床面積（㎡）(C)/(B),湿度70％以上・火災件数,湿度70％以上・建物火災・件数(A),湿度70％以上・建物火災・全、半、部分焼・件数(B),湿度70％以上・建物火災・全、半、部分焼・焼損床面積（㎡）(C),湿度70％以上・比率・延焼率(％)(B)/(A),湿度70％以上・比率・延焼火災1件当たりの焼損床面積（㎡）(C)/(B)
平成30年,3545,2430,587,18576,24.2,31.6,599,411,121,3942,29.4,32.6,589,408,106,3404,26,32.1,825,529,111,4513,21,40.7,1532,1082,249,6717,23,27
令和元年,3671,2597,617,18293,23.8,29.6,749,519,146,4772,28.1,32.7,666,453,130,3525,28.7,27.1,757,530,113,3841,21.3,34,1499,1095,228,6155,20.8,27
令和2年,3258,2395,537,16133,22.4,30,561,413,113,2768,27.4,24.5,530,387,89,1963,23,22.1,706,498,112,5536,22.5,49.4,1461,1097,223,5866,20.3,26.3
令和3年,3472,2499,490,15590,20,32,765,524,112,3144,21,28,624,442,93,3464,21,37,766,547,102,3766,19,37,1317,986,183,5216,19,29
令和4年,3433,2518,537,21865,21.3,40.7,687,463,123,6933,26.6,56.4,487,367,85,3127,23.2,36.8,619,442,94,2444,21.3,26,1640,1246,235,9361,18.9,39.8
１m/sec未満,107,78,19,455,24.4,23.9,18,12,3,100,25,33.3,15,13,3,29,23.1,9.7,20,12,5,160,41.7,32,54,41,8,166,19.5,20.8
１m/sec以上２m/sec未満,546,409,106,4986,25.9,47,94,68,17,407,25,23.9,83,65,19,560,29.2,29.5,99,70,21,710,30,33.8,270,206,49,3309,23.8,67.5
２～３m/sec,998,751,160,7474,21.3,46.7,195,139,37,2757,26.6,74.5,158,121,27,1559,22.3,57.7,163,119,29,601,24.4,20.7,482,372,67,2557,18,38.2
３～４m/sec,820,577,119,3523,20.6,29.6,166,98,29,862,29.6,29.7,99,72,20,769,27.8,38.5,167,123,21,654,17.1,31.1,388,284,49,1238,17.3,25.3
４～５m/sec,497,371,64,1241,17.3,19.4,117,84,20,226,23.8,11.3,77,59,8,24,13.6,3,84,60,8,120,13.3,15,219,168,28,871,16.7,31.1
５～６m/sec,262,189,44,3442,23.3,78.2,67,46,12,2449,26.1,204.1,31,22,4,50,18.2,12.5,51,33,7,199,21.2,28.4,113,88,21,744,23.9,35.4
６～７m/sec,110,71,11,593,15.5,53.9,17,8,2,129,25,64.5,16,9,1,60,11.1,60,22,14,2,0,14.3,0,55,40,6,404,15,67.3
７～８m/sec,61,45,9,121,20,13.4,11,8,3,3,37.5,1,6,4,3,76,75,25.3,9,7,1,0,14.3,0,35,26,2,42,7.7,21
８～９m/sec,14,10,2,20,20,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,2,20,20,10
９～10m/sec,9,8,1,10,12.5,10,0,0,0,0,0,0,1,1,0,0,0,0,2,2,0,0,0,0,6,5,1,10,20,10
10m/sec以上,9,9,2,0,22.2,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2,0,0,0,0,6,6,2,0,33.3,0
