消防署,消防用水・対象物数,消防用水・設備数,消防活動上必要な設備・排煙設備・対象物数,消防活動上必要な設備・排煙設備・設備数,消防活動上必要な設備・連結散水設備・対象物数,消防活動上必要な設備・連結散水設備・設備数,消防活動上必要な設備・連結送水管・対象物数,消防活動上必要な設備・連結送水管・設備数,消防活動上必要な設備・非常コンセント設備・対象物数,消防活動上必要な設備・非常コンセント設備・設備数,消防活動上必要な設備・無線通信補助設備・対象物数,消防活動上必要な設備・無線通信補助設備・設備数
平成30年度,2584,3035,2103,3890,2579,3934,63258,68149,14696,17279,819,708
令和元年度,2640,2875,2156,2743,2608,3470,64097,65955,15155,13794,824,672
令和2年度,2676,2852,2180,2677,2624,3432,64928,66806,15556,14239,832,675
令和3年度,2699,2833,2211,2705,2634,3390,65819,67623,15941,14730,833,670
令和4年度,2734,2834,2235,2709,2652,3371,66738,68441,16396,15168,841,670
特別区,2386,2395,1845,2227,2207,2770,59735,60978,14956,13810,809,643
丸の内,99,106,69,108,9,27,191,320,128,113,85,59
麹町,69,74,35,41,90,96,1265,1202,288,223,37,26
神田,49,37,37,28,50,81,2749,2742,499,466,22,12
京橋,50,46,76,65,43,50,2489,2505,589,556,34,24
日本橋,36,38,152,187,44,42,2472,2440,585,395,38,23
臨港,63,66,16,33,29,65,458,580,175,183,17,16
芝,145,144,149,162,78,88,2472,2601,684,754,61,71
麻布,22,24,25,25,76,114,1190,1204,293,266,28,26
赤坂,54,62,29,31,74,97,995,1009,212,188,21,12
高輪,68,77,28,48,68,67,685,734,227,195,21,8
品川,74,99,24,25,87,107,1301,1356,434,292,17,10
大井,46,44,14,15,14,9,740,725,243,213,5,2
荏原,7,6,8,8,18,20,549,541,188,231,4,4
大森,89,93,25,31,39,53,994,1024,191,164,5,5
田園調布,9,5,16,9,34,26,415,427,50,52,4,3
蒲田,61,76,31,36,13,16,779,815,217,176,10,10
矢口,48,40,13,9,16,13,496,491,109,130,2,1
目黒,18,17,8,13,86,81,1071,1048,200,165,7,7
世田谷,70,49,51,77,78,92,966,966,171,173,8,8
玉川,48,31,39,37,62,60,445,463,42,35,7,3
成城,15,14,14,10,46,45,344,361,31,23,1,1
渋谷,88,98,114,152,181,288,3170,3210,629,435,43,35
四谷,19,14,33,22,42,37,1026,1025,211,203,10,8
牛込,29,19,26,20,65,65,1034,1051,284,282,15,14
新宿,80,91,76,113,89,120,2070,2181,564,582,50,34
中野,32,32,65,67,43,39,840,812,185,157,13,11
野方,4,4,6,3,19,19,332,323,36,38,2,4
杉並,41,30,42,48,48,119,793,803,108,65,5,5
荻窪,12,11,24,23,32,34,434,446,54,40,2,2
小石川,42,41,41,44,68,89,1122,1152,356,281,19,15
本郷,38,34,36,40,84,68,1354,1385,434,381,16,18
豊島,33,30,44,41,59,61,1743,1716,434,421,11,8
池袋,16,15,28,24,20,22,804,812,153,133,12,9
王子,15,17,7,19,12,17,532,571,152,156,3,3
赤羽,20,24,20,19,14,25,617,567,193,184,6,6
滝野川,7,10,7,6,15,12,564,599,177,159,1,1
板橋,20,14,15,10,33,28,884,814,291,247,7,5
志村,79,53,26,40,42,40,966,1073,239,84,5,1
練馬,7,7,19,22,20,23,665,651,114,97,8,5
光が丘,5,3,16,24,14,14,311,314,97,73,9,2
石神井,6,9,30,23,17,16,342,318,37,37,1,0
上野,33,34,22,18,32,55,1838,1694,516,426,20,16
浅草,11,3,10,5,7,7,1541,1484,494,458,9,5
日本堤,16,16,13,11,7,7,828,857,250,243,4,4
荒川,25,19,9,11,11,12,952,982,280,243,5,3
尾久,3,3,2,2,7,5,328,323,96,98,1,2
千住,25,28,12,23,11,16,420,474,176,321,4,5
足立,24,18,33,78,20,24,1018,1036,182,158,2,2
西新井,14,14,10,9,3,2,414,433,66,70,1,1
本所,35,37,38,61,17,27,2418,2348,498,410,26,19
向島,72,51,6,15,3,6,502,545,138,148,7,0
深川,246,306,72,129,52,83,2172,2559,649,861,39,52
城東,80,87,24,35,21,46,1380,1482,473,520,5,3
本田,14,6,11,8,10,9,720,721,192,193,0,0
金町,16,21,6,10,7,19,348,363,104,117,2,3
江戸川,7,6,13,15,6,6,572,588,149,134,5,5
葛西,30,40,20,29,15,47,1204,1310,295,272,5,5
小岩,2,2,10,10,7,14,411,402,94,90,2,1
受託地区,348,439,390,482,445,601,7003,7463,1440,1358,32,27
立川,44,56,37,42,44,57,692,763,120,120,0,0
武蔵野,23,21,25,56,37,45,489,500,77,54,4,2
三鷹,11,11,6,3,14,22,387,417,64,49,0,0
府中,39,54,34,35,29,31,626,590,128,91,7,5
昭島,19,34,10,18,10,23,193,248,53,40,0,0
調布,11,16,24,24,33,30,410,421,76,99,4,3
小金井,3,4,7,5,16,13,177,185,36,31,0,0
小平,10,18,7,8,14,19,166,185,26,35,1,1
東村山,9,14,8,10,11,25,197,206,55,52,2,7
国分寺,8,6,4,4,13,13,203,198,41,25,0,0
狛江,6,7,2,3,6,5,77,92,14,13,0,0
北多摩西部,9,15,13,12,14,12,169,206,32,27,0,0
清瀬,6,15,3,6,6,6,72,81,12,9,0,0
東久留米,3,2,7,7,2,1,127,135,25,24,0,0
西東京,19,15,17,16,19,21,311,316,54,104,0,0
八王子,56,56,75,86,66,73,1237,1273,283,331,8,5
青梅,12,17,11,12,9,8,143,161,25,32,0,0
町田,21,30,40,61,36,43,522,543,123,92,3,3
日野,7,7,9,8,12,28,243,243,54,47,0,0
福生,3,3,15,27,10,22,128,151,16,17,0,0
多摩,28,32,30,30,33,84,408,526,126,66,1,1
秋川,1,6,6,9,9,18,26,23,0,0,1,0
奥多摩,0,0,0,0,2,2,0,0,0,0,1,0
