年別,合計(件）,火災（件）,流出（件）,その他（件）,死者（人）,負傷者（人）
30,114,30,32,52,0,16
元,122,28,23,71,0,16
2,123,24,19,80,0,11
3,124,33,20,71,0,3
4,118,38,22,58,0,11
前年比,-6,5,2,-13,0,8
