用途,建物数,割合（％）
共同住宅等,"183,870",41.5 
非特定用途複合,"76,583",17.3 
特定用途複合,"65,091",14.7 
事務所等,"44,594",10.1 
その他（工場や学校など単独の用途）,"73,394",16.5 
合計,"443,532",
