年別,火災件数（件）,焼損床面積（?）
平成25年,"5,191","25,674"
平成26年,"4,805","23,478"
平成27年,"4,433","20,750"
平成28年,"3,982","17,529"
平成29年,"4,205","20,719"
平成30年,"3,973","18,604"
令和元年,"4,089","18,295"
令和2年,"3,694","16,136"
令和3年,"3,939","16,448"
令和4年,"3,953","21,974"
,,
,,
,,
,,
,,
,,
,,
,,
,,
