年別,住宅火災_計（件）,内訳,,飲食店（件）,事務所等（件）,物品販売店舗等（件）,工場・作業場（件）,ホテル・旅館等（件）,駅舎等（件）,学校（件）,病院（件）,建物から出火した火災(合計)（件）
,,住宅（件）,共同住宅等（件）,,,,,,,,,
平成25年,"1,777",680,"1,097",311,130,130,113,25,32,38,19,"3,127"
平成26年,"1,694",634,"1,060",296,123,113,84,33,22,27,13,"2,878"
平成27年,"1,675",615,"1,060",339,121,87,95,26,18,29,20,"2,827"
平成28年,"1,497",539,958,345,126,103,89,37,21,33,17,"2,681"
平成29年,"1,597",579,"1,018",318,151,110,84,36,14,31,24,"2,730"
平成30年,"1,484",539,945,330,142,94,90,19,16,40,21,"2,609"
令和元年,"1,543",583,960,368,175,112,85,30,20,51,20,"2,811"
令和2年,"1,553",564,989,244,155,116,64,21,27,25,27,"2,598"
令和3年,"1,617",600,"1,017",288,162,117,74,26,25,24,26,"2,720"
令和4年,"1,606",588,"1,018",289,141,100,93,51,31,30,24,"2,778"
前年比,-11,-12,1,1,-21,-17,19,25,6,6,-2,58
