消防署,"合計・実施回数","合計・延べ台数",合計・延べ人員・計,合計・延べ人員・当番,合計・延べ人員・非番,合計・延べ人員・日勤,合計・延べ人員・毎日,"合計・警戒時間",祭礼・催物・実施回数,祭礼・催物・延べ台数,祭礼・催物・延べ人員・計,祭礼・催物・延べ人員・当番,祭礼・催物・延べ人員・非番,祭礼・催物・延べ人員・日勤,祭礼・催物・延べ人員・毎日,祭礼・催物・警戒時間,集団行動・実施回数,集団行動・延べ台数,集団行動・延べ人員・計,集団行動・延べ人員・当番,集団行動・延べ人員・非番,集団行動・延べ人員・日勤,集団行動・延べ人員・毎日,集団行動・警戒時間,"その他・実施回数","その他・延べ台数",その他・延べ人員・計,その他・延べ人員・当番,その他・延べ人員・非番,その他・延べ人員・日勤,その他・延べ人員・毎日,"その他・警戒時間"
麻布,6,302,2278,1457,0,15,806,868,2,15,69,57,0,12,0,12,0,0,0,0,0,0,0,0,4,287,2209,1400,0,3,806,856
赤坂,12,464,2608,1682,0,98,828,61344,6,86,328,284,0,43,1,3329,0,0,0,0,0,0,0,0,6,378,2280,1398,0,55,827,58015
高輪,9,907,3698,2606,0,24,1068,6781,5,150,515,443,0,22,50,2240,0,0,0,0,0,0,0,0,4,757,3183,2163,0,2,1018,4541
２本部,7,738,1090,809,0,0,281,988,3,10,69,33,0,0,36,30,0,0,0,0,0,0,0,0,4,728,1021,776,0,0,245,958
品川,7,892,3798,2649,0,0,1149,986,4,94,396,390,0,0,6,28,0,0,0,0,0,0,0,0,3,798,3402,2259,0,0,1143,958
大井,30,904,4002,3083,0,2,917,1028,26,319,1311,1285,0,2,24,154,0,0,0,0,0,0,0,0,4,585,2691,1798,0,0,893,874
荏原,5,48,218,218,0,0,0,40,3,38,174,174,0,0,0,34,0,0,0,0,0,0,0,0,2,10,44,44,0,0,0,6
大森,16,683,3335,2497,2,17,819,1121,12,71,216,205,2,0,9,161,0,0,0,0,0,0,0,0,4,612,3119,2292,0,17,810,960
田園調布,6,870,2372,1656,0,56,660,834,4,110,294,214,0,5,75,18,0,0,0,0,0,0,0,0,2,760,2078,1442,0,51,585,816
蒲田,15,686,3884,2807,1,0,1076,1007,1,34,134,129,1,0,4,3,0,0,0,0,0,0,0,0,14,652,3750,2678,0,0,1072,1004
矢口,3,518,2146,2146,0,0,0,888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,518,2146,2146,0,0,0,888
３本部,8,248,920,724,26,3,167,28,4,112,385,335,1,1,48,12,0,0,0,0,0,0,0,0,4,136,535,389,25,2,119,16
目黒,2,38,159,159,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,38,159,159,0,0,0,38
世田谷,8,983,3906,3864,0,20,22,906,7,269,1050,1008,0,20,22,90,0,0,0,0,0,0,0,0,1,714,2856,2856,0,0,0,816
玉川,11,58,371,243,39,5,84,231,7,12,119,59,39,5,16,23,0,0,0,0,0,0,0,0,4,46,252,184,0,0,68,208
成城,5,866,1722,1644,1,1,76,13,1,24,89,50,0,1,38,6,0,0,0,0,0,0,0,0,4,842,1633,1594,1,0,38,7
渋谷,26,1239,5383,4967,11,78,327,993,19,493,2148,1901,11,78,158,156,0,0,0,0,0,0,0,0,7,746,3235,3066,0,0,169,837
４本部,6,90,226,215,0,7,4,969,2,8,21,10,0,7,4,11,0,0,0,0,0,0,0,0,4,82,205,205,0,0,0,958
四谷,53,1050,4130,4085,10,29,6,72880,49,682,2565,2520,10,29,6,15405,0,0,0,0,0,0,0,0,4,368,1565,1565,0,0,0,57475
牛込,5,269,1289,1238,13,5,33,856,3,29,130,79,13,5,33,30,0,0,0,0,0,0,0,0,2,240,1159,1159,0,0,0,826
新宿,6,724,2906,2818,10,71,7,837,3,59,254,229,10,8,7,17,0,0,0,0,0,0,0,0,3,665,2652,2589,0,63,0,820
中野,4,414,2617,1773,0,12,832,841,2,6,22,5,0,12,5,25,0,0,0,0,0,0,0,0,2,408,2595,1768,0,0,827,816
野方,4,454,1941,1930,0,0,11,866,2,12,71,60,0,0,11,50,0,0,0,0,0,0,0,0,2,442,1870,1870,0,0,0,816
杉並,5,1900,8179,3648,3648,0,883,844,3,200,776,384,384,0,8,28,0,0,0,0,0,0,0,0,2,1700,7403,3264,3264,0,875,816
荻窪,10,198,3735,2537,0,9,1189,883,8,96,505,327,0,9,169,67,0,0,0,0,0,0,0,0,2,102,3230,2210,0,0,1020,816
５本部,4,38,387,162,0,2,223,830,2,4,15,9,0,2,4,14,0,0,0,0,0,0,0,0,2,34,372,153,0,0,219,816
小石川,170,2375,9039,8114,12,0,913,1684,168,2035,6942,6822,12,0,108,868,0,0,0,0,0,0,0,0,2,340,2097,1292,0,0,805,816
本郷,6,400,2038,1417,0,0,621,860,4,22,63,62,0,0,1,44,0,0,0,0,0,0,0,0,2,378,1975,1355,0,0,620,816
豊島,14,392,1714,1678,0,22,14,931,11,52,250,216,0,22,12,113,0,0,0,0,0,0,0,0,3,340,1464,1462,0,0,2,818
池袋,18,407,3309,2610,0,76,623,1019,16,44,1186,1162,0,24,0,203,0,0,0,0,0,0,0,0,2,363,2123,1448,0,52,623,816
王子,8,555,2562,1712,4,0,846,876,6,209,530,426,4,0,100,60,0,0,0,0,0,0,0,0,2,346,2032,1286,0,0,746,816
赤羽,4,502,2229,2205,0,10,14,827,2,26,135,122,0,10,3,11,0,0,0,0,0,0,0,0,2,476,2094,2083,0,0,11,816
滝野川,4,406,1643,1643,0,0,0,864,2,32,70,70,0,0,0,48,0,0,0,0,0,0,0,0,2,374,1573,1573,0,0,0,816
10本部,4,110,340,180,0,0,160,830,2,2,10,10,0,0,0,14,0,0,0,0,0,0,0,0,2,108,330,170,0,0,160,816
板橋,3,458,2578,1811,0,7,760,831,1,28,57,50,0,7,0,15,0,0,0,0,0,0,0,0,2,430,2521,1761,0,0,760,816
志村,7,731,3762,2927,0,6,829,857,2,43,146,136,0,0,10,21,3,13,40,30,0,6,4,20,2,675,3576,2761,0,0,815,816
練馬,4,453,1774,1750,0,16,8,853,2,11,40,16,0,16,8,37,0,0,0,0,0,0,0,0,2,442,1734,1734,0,0,0,816
光が丘,14,445,1757,1757,0,0,0,924,12,142,567,567,0,0,0,108,0,0,0,0,0,0,0,0,2,303,1190,1190,0,0,0,816
石神井,5,548,2116,2116,0,0,0,816,3,4,8,8,0,0,0,0,0,0,0,0,0,0,0,0,2,544,2108,2108,0,0,0,816
６本部,5,38,188,185,0,0,3,841,3,4,18,15,0,0,3,25,0,0,0,0,0,0,0,0,2,34,170,170,0,0,0,816
上野,22,42,4837,2938,0,14,1885,927,4,11,523,367,0,6,150,58,0,0,0,0,0,0,0,0,18,31,4314,2571,0,8,1735,869
浅草,12,532,1152,1111,2,18,21,877,7,38,152,133,0,4,15,47,0,0,0,0,0,0,0,0,5,494,1000,978,2,14,6,830
日本堤,9,294,2004,1814,0,190,0,965,7,22,746,556,0,190,0,149,0,0,0,0,0,0,0,0,2,272,1258,1258,0,0,0,816
荒川,5,418,854,844,8,0,2,834,3,10,38,28,8,0,2,18,0,0,0,0,0,0,0,0,2,408,816,816,0,0,0,816
尾久,4,378,2011,1507,0,0,504,856,2,42,166,166,0,0,0,40,0,0,0,0,0,0,0,0,2,336,1845,1341,0,0,504,816
千住,4,386,1588,1588,0,0,0,828,2,12,48,48,0,0,0,12,0,0,0,0,0,0,0,0,2,374,1540,1540,0,0,0,816
足立,6,1198,5251,5248,0,0,3,1008,4,552,2463,2460,0,0,3,192,0,0,0,0,0,0,0,0,2,646,2788,2788,0,0,0,816
西新井,6,1451,3196,3153,0,0,43,158,4,395,816,773,0,0,43,70,0,0,0,0,0,0,0,0,2,1056,2380,2380,0,0,0,88
７本部,7,158,454,256,1,3,194,840,5,22,51,39,1,3,8,24,0,0,0,0,0,0,0,0,2,136,403,217,0,0,186,816
本所,25,1379,7199,5182,9,77,1931,1017,20,890,4379,3293,0,50,1036,192,0,0,0,0,0,0,0,0,5,489,2820,1889,9,27,895,825
向島,5,181,752,752,0,0,0,154,3,32,138,138,0,0,0,124,0,0,0,0,0,0,0,0,2,149,614,614,0,0,0,30
深川,11,975,5092,3602,0,0,1490,876,7,222,845,836,0,0,9,51,0,0,0,0,0,0,0,0,4,753,4247,2766,0,0,1481,825
城東,9,956,4324,3468,0,13,843,924,4,212,798,746,0,12,40,56,3,98,348,342,0,1,5,52,2,646,3178,2380,0,0,798,816
本田,6,652,2383,2380,0,0,3,855,4,74,29,26,0,0,3,39,0,0,0,0,0,0,0,0,2,578,2354,2354,0,0,0,816
金町,2,542,220,220,0,0,0,838,1,22,44,44,0,0,0,22,0,0,0,0,0,0,0,0,1,520,176,176,0,0,0,816
江戸川,5,985,2417,1739,1,50,627,839,3,36,158,152,1,0,5,23,0,0,0,0,0,0,0,0,2,949,2259,1587,0,50,622,816
葛西,7,495,2536,1754,0,0,782,849,6,19,90,90,0,0,0,33,0,0,0,0,0,0,0,0,1,476,2446,1664,0,0,782,816
小岩,3,980,2789,2029,0,0,760,817,1,28,58,58,0,0,0,1,0,0,0,0,0,0,0,0,2,952,2731,1971,0,0,760,816
８本部,5,820,882,882,0,0,0,967,2,80,109,109,0,0,0,91,0,0,0,0,0,0,0,0,3,740,773,773,0,0,0,876
立川,16,910,5084,3706,0,19,1359,1097,13,280,1155,1061,0,19,75,127,0,0,0,0,0,0,0,0,3,630,3929,2645,0,0,1284,970
武蔵野,6,382,890,886,0,0,4,820,4,8,40,36,0,0,4,4,0,0,0,0,0,0,0,0,2,374,850,850,0,0,0,816
三鷹,5,985,4393,3061,11,5,1316,879,4,407,1649,1157,11,5,476,63,0,0,0,0,0,0,0,0,1,578,2744,1904,0,0,840,816
府中,15,683,931,893,8,0,30,825,2,11,39,28,8,0,3,30,0,0,0,0,0,0,0,0,13,672,892,865,0,0,27,795
昭島,5,490,2501,1837,0,63,601,919,3,80,269,264,0,0,5,45,0,0,0,0,0,0,0,0,2,410,2232,1573,0,63,596,874
調布,50,822,1878,1750,0,0,128,997,2,12,33,29,0,0,4,25,0,0,0,0,0,0,0,0,48,810,1845,1721,0,0,124,972
小金井,3,274,1692,1246,0,10,436,822,1,2,78,70,0,5,3,6,0,0,0,0,0,0,0,0,2,272,1614,1176,0,5,433,816
小平,5,579,2308,2129,0,0,179,984,2,129,546,418,0,0,128,94,0,0,0,0,0,0,0,0,3,450,1762,1711,0,0,51,890
東村山,6,485,2061,1498,0,0,563,828,4,9,30,24,0,0,6,12,0,0,0,0,0,0,0,0,2,476,2031,1474,0,0,557,816
国分寺,2,640,1462,1462,0,0,0,816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,640,1462,1462,0,0,0,816
狛江,4,291,1890,1201,0,126,563,828,2,19,86,67,0,19,0,12,0,0,0,0,0,0,0,0,2,272,1804,1134,0,107,563,816
北多摩西部,14,835,2696,2055,0,0,641,1003,8,81,302,302,0,0,0,45,0,0,0,0,0,0,0,0,6,754,2394,1753,0,0,641,958
清瀬,5,336,1438,1438,0,0,0,966,1,16,68,68,0,0,0,8,0,0,0,0,0,0,0,0,4,320,1370,1370,0,0,0,958
東久留米,3,274,1098,1098,0,0,0,831,1,2,10,10,0,0,0,15,0,0,0,0,0,0,0,0,2,272,1088,1088,0,0,0,816
西東京,7,1126,3102,2439,0,60,603,1112,3,142,313,311,0,2,0,128,0,0,0,0,0,0,0,0,4,984,2789,2128,0,58,603,984
９本部,6,924,1375,994,0,0,381,1003,2,63,73,73,0,0,0,32,0,0,0,0,0,0,0,0,4,861,1302,921,0,0,381,971
八王子,20,1088,4417,4325,3,68,21,1095,12,57,223,142,2,67,12,109,0,0,0,0,0,0,0,0,8,1031,4194,4183,1,1,9,986
青梅,9,424,1872,1853,0,0,19,860.5,7,50,266,249,0,0,17,44.5,0,0,0,0,0,0,0,0,2,374,1606,1604,0,0,2,816
町田,38,1514,3282,3250,0,8,24,1032,36,800,392,360,0,8,24,216,0,0,0,0,0,0,0,0,2,714,2890,2890,0,0,0,816
日野,7,444,1930,1908,0,0,22,899,4,48,271,259,0,0,12,49,0,0,0,0,0,0,0,0,3,396,1659,1649,0,0,10,850
福生,6,826,4012,3009,0,0,1003,1054,2,238,1167,867,0,0,300,121,0,0,0,0,0,0,0,0,4,588,2845,2142,0,0,703,933
多摩,10,510,2555,1948,0,2,605,1178,7,129,557,515,0,0,42,305,0,0,0,0,0,0,0,0,3,381,1998,1433,0,2,563,873
秋川,10,352,1862,1852,0,6,4,982,6,35,139,129,0,6,4,16,0,0,0,0,0,0,0,0,4,317,1723,1723,0,0,0,966
奥多摩,9,206,440,431,3,0,6,868,7,36,100,91,3,0,6,52,0,0,0,0,0,0,0,0,2,170,340,340,0,0,0,816
