区分,許可・設置,許可・変更,完成検査・設置,完成検査・変更,"仮使用承認","譲渡引渡届",品名、数量の倍数変更届,廃止届,資料提出
計,253,684,266,642,532,86,152,243,1090
製造所,2,16,0,17,13,0,2,3,19
貯蔵所,168,128,175,114,44,53,108,154,172
貯蔵所_屋内貯蔵所,18,5,22,5,3,7,55,35,18
貯蔵所屋外タンク貯蔵所,1,20,1,13,12,2,3,19,30
貯蔵所屋内タンク貯蔵所,22,23,27,23,6,8,0,18,13
貯蔵所地下タンク貯蔵所,70,47,65,45,23,19,7,46,46
貯蔵所簡易タンク貯蔵所,0,0,0,0,0,0,0,0,0
貯蔵所移動タンク貯蔵所,55,33,58,28,0,17,41,33,65
貯蔵所屋外貯蔵所,2,0,2,0,0,0,2,3,0
取扱所_取扱所,83,540,91,511,475,33,42,86,899
取扱所_給油取扱所,9,270,11,265,242,11,13,37,667
取扱所_給油取扱所_営業用,4,248,6,241,229,7,10,22,641
取扱所_給油取扱所_自家用,5,22,5,24,13,4,3,15,26
取扱所_販売取扱所,1,0,1,0,0,1,2,4,1
取扱所_販売取扱所_第１種,1,0,1,0,0,0,2,4,0
取扱所_販売取扱所_第２種,0,0,0,0,0,1,0,0,1
取扱所_移送取扱所,0,1,0,1,0,0,0,0,1
取扱所_一般取扱所,73,269,79,245,233,21,27,45,230
