出場先区市,件数(件),出場件数（百件）
千代田区,12583,126
中央区,14293,143
港区,22889,229
新宿区,36153,362
文京区,13775,138
台東区,19273,193
墨田区,19122,191
江東区,32247,322
品川区,23930,239
目黒区,15539,155
大田区,43457,435
世田谷区,48582,486
渋谷区,21008,210
中野区,19931,199
杉並区,30143,301
豊島区,22154,222
北区,24366,244
荒川区,14489,145
板橋区,36159,362
練馬区,41079,411
足立区,50038,500
葛飾区,31044,310
江戸川区,41500,415
八王子市,34131,341
立川市,13237,132
武蔵野市,8735,87
三鷹市,10027,100
青梅市,7133,71
府中市,13837,138
昭島市,6825,68
調布市,12688,127
町田市,24637,246
小金井市,6025,60
小平市,10968,110
日野市,9442,94
東村山市,9933,99
国分寺市,6207,62
国立市,4243,42
福生市,3571,36
狛江市,4303,43
東大和市,5136,51
清瀬市,4751,48
東久留米市,7258,73
武蔵村山市,4335,43
多摩市,8722,87
羽村市,2932,29
あきる野市,4078,41
西東京市,11489,115
瑞穂町,1906,19
日の出町,990,10
檜原村,226,2
奥多摩町,554,6
