,件数（件）,割合（%）
こんろ,347,21.6
たばこ,229,14.3
放火,122,7.6
ストーブ,105,6.5
コード,34,2.1
ロウソク,33,2.1
火遊び,6,0.4
その他,591,36.8
不明,139,8.7
