消防署, 損害額（ 円 ）・計, 損害額（ 円 ）・建物, 損害額（ 円 ）・建物内収容物, 損害額（ 円 ）・林野, 損害額（ 円 ）・車両, 損害額（ 円 ）・船舶, 損害額（ 円 ）・航空機, 損害額（ 円 ）・その他,死者,負傷者・計,負傷者・重症,負傷者・中等症,負傷者・軽症
平成30年,6070982850,3250076923,2580012203,9150000,92726732,27514925,0,111502067,86,798,135,197,466
令和元年,7688941420,3450624842,4060255809,1937750,85305686,13146600,0,77670733,108,705,112,168,425
令和2年,5601522177,4108272502,1384563019,198900,93445691,0,0,15042065,86,710,85,190,435
令和3年,4208012095,2502471988,1514319242,32322570,126669017,1456400,0,30772878,86,664,99,162,403
令和4年,5466720488,3357014410,1980952734,339600,83662167,33215,0,44718362,89,742,93,175,474
特別区,3056672836,1828497581,1131000485,0,59962949,33215,0,37178606,55,535,67,132,336
丸の内,3330040,6000,3322940,0,1000,0,0,100,0,3,0,0,3
麹町,30829400,17808100,12735300,0,285000,0,0,1000,1,3,1,0,2
神田,12042396,7702900,3791846,0,288500,0,0,259150,0,5,0,4,1
京橋,29343789,11498080,9726884,0,338260,0,0,7780565,1,5,0,1,4
日本橋,16940335,15861300,1011635,0,700,0,0,66700,0,1,0,1,0
臨港,20981120,5843044,15138076,0,0,0,0,0,0,3,0,1,2
芝,12213500,3055000,2790800,0,6268200,0,0,99500,1,4,0,1,3
麻布,6817420,5059182,797438,0,927000,0,0,33800,0,13,1,0,12
赤坂,18467600,10257900,5182900,0,3004400,0,0,22400,0,3,2,0,1
高輪,35234376,17674829,17418167,0,5300,0,0,136080,0,8,1,2,5
品川,17551298,5742550,10854498,0,920000,0,0,34250,1,15,3,4,8
大井,19679320,15331130,4322950,0,23840,0,0,1400,3,9,2,1,6
荏原,26384305,22101625,4215280,0,62000,0,0,5400,2,6,1,2,3
大森,48062867,27486582,20265810,0,285000,0,0,25475,3,9,1,3,5
田園調布,66722610,47522200,19155110,0,45000,0,0,300,1,8,1,1,6
蒲田,93475615,60667678,30871409,0,1747965,0,0,188563,0,14,1,2,11
矢口,11924200,8822500,3041500,0,39400,0,0,20800,0,5,0,0,5
目黒,55288700,35323200,18990700,0,910000,0,0,64800,2,24,6,4,14
世田谷,77547710,61291440,15531830,0,684800,0,0,39640,5,21,2,5,14
玉川,15355080,9772540,4675640,0,11300,0,0,895600,1,6,0,1,5
成城,57046813,44121165,10609764,0,2260000,0,0,55884,2,10,0,3,7
渋谷,32529611,19684490,12626821,0,900,0,0,217400,1,28,1,5,22
四谷,1349910,734300,602010,0,500,0,0,13100,0,2,1,0,1
牛込,16175910,2954500,13138200,0,80000,0,0,3210,1,8,0,0,8
新宿,43096607,29151300,11868907,0,895300,0,0,1181100,0,21,1,5,15
中野,20527900,18836600,1585300,0,0,0,0,106000,0,7,0,1,6
野方,43390100,26866700,15896300,0,510400,0,0,116700,1,12,1,6,5
杉並,50342316,27382105,21751097,0,700000,0,0,509114,0,20,3,3,14
荻窪,48671480,23471000,8253280,0,16940300,0,0,6900,0,9,1,5,3
小石川,21924920,8791150,12831770,0,278000,0,0,24000,0,3,1,1,1
本郷,4855802,3901852,866830,0,85600,0,0,1520,0,3,2,0,1
豊島,4786665,1528500,2899715,0,203030,0,0,155420,1,7,1,0,6
池袋,210737009,194154331,14623474,0,1874704,0,0,84500,2,9,2,0,7
王子,20295300,8886000,11318200,0,54250,0,0,36850,1,8,1,4,3
赤羽,49986031,28574400,20598031,0,790000,0,0,23600,0,5,0,3,2
滝野川,14560386,9885550,4649396,0,0,0,0,25440,0,5,0,2,3
板橋,31053138,21724300,9033338,0,200000,0,0,95500,0,13,2,4,7
志村,175587547,117555684,56389863,0,1381500,0,0,260500,2,16,4,3,9
練馬,11693307,9704880,1927797,0,40000,0,0,20630,0,9,1,4,4
光が丘,46823922,1843272,44975770,0,0,0,0,4880,2,13,2,2,9
石神井,117302520,106249260,9625720,0,958500,0,0,469040,2,10,1,3,6
上野,18556968,12178797,6140331,0,26150,0,0,211690,0,8,0,2,6
浅草,49835500,18059700,31449100,0,300000,0,0,26700,0,6,0,3,3
日本堤,636718,384300,42000,0,5000,0,0,205418,0,4,0,1,3
荒川,12719689,8068467,4650261,0,0,0,0,961,0,4,0,2,2
尾久,35306180,25046870,10079300,0,27110,0,0,152900,2,5,0,3,2
千住,20444140,5955600,14473230,0,0,0,0,15310,1,7,0,2,5
足立,130468400,90373200,38075200,0,1734600,0,0,285400,3,9,2,3,4
西新井,81379489,65553640,14686500,0,1021000,0,0,118349,1,10,2,4,4
本所,129339835,4623957,107032849,0,383000,11600,0,17288429,1,12,0,3,9
向島,482030100,219358222,261812660,0,238440,0,0,620778,0,6,0,3,3
深川,28785291,2395755,23576621,0,2733600,21615,0,57700,1,6,3,0,3
城東,97309397,46507711,50132036,0,1400,0,0,668250,1,10,0,6,4
本田,68875804,43649074,19655520,0,4864400,0,0,706810,3,25,5,6,14
金町,44877699,17631819,25030780,0,2213000,0,0,2100,2,8,2,2,4
江戸川,5488600,3223800,1958100,0,95000,0,0,211700,1,13,4,1,8
葛西,37034551,26082100,4219351,0,3216500,0,0,3516600,2,11,2,2,7
小岩,172655600,144575450,28074350,0,3100,0,0,2700,1,8,0,2,6
受託地区,2410047652,1528516829,849952249,339600,23699218,0,0,7539756,34,207,26,43,138
立川,157281860,120790500,36186860,0,202100,0,0,102400,6,11,3,1,7
武蔵野,21981135,19650800,2273235,0,0,0,0,57100,1,7,0,1,6
三鷹,62065122,51080340,10953832,0,26000,0,0,4950,3,11,1,1,9
府中,59649000,53147900,6162000,0,330500,0,0,8600,0,15,1,6,8
昭島,1721820,1139600,581820,0,0,0,0,400,0,2,0,1,1
調布,29402540,21324378,7340762,0,735000,0,0,2400,2,7,0,2,5
