消防署,計,消火栓・小計,消火栓・公設・上水,消火栓・公設・工業水,消火栓・私設,防火水槽・貯水池等・小計,防火水槽・貯水池等・所管内・防火水槽・100m3以上,防火水槽・貯水池等・所管内・防火水槽・40m3以上,防火水槽・貯水池等・所管内・防火水槽・40m3未満,防火水槽・貯水池等・所管内・貯水池・100m3以上,防火水槽・貯水池等・所管内・貯水池・40m3以上,防火水槽・貯水池等・所管内・貯水池・40m3未満,防火水槽・貯水池等・所管内・受水槽・飲料用,防火水槽・貯水池等・所管内・受水槽・その他,防火水槽・貯水池等・所管外・防火水槽・100m3以上,防火水槽・貯水池等・所管外・防火水槽・40m3以上,防火水槽・貯水池等・所管外・防火水槽・40m3未満,防火水槽・貯水池等・所管外・貯水池・100m3以上,防火水槽・貯水池等・所管外・貯水池・40m3以上,防火水槽・貯水池等・所管外・貯水池・40m3未満,防火水槽・貯水池等・所管外・受水槽・飲料用,防火水槽・貯水池等・所管外・受水槽・その他,その他小計,プール,"河川／みぞ","池／ほり",海,井戸,その他
矢口,1309,935,928,0,7,323,34,49,0,0,0,0,0,0,25,203,1,0,2,1,7,1,51,19,30,2,0,0,0
目黒,3195,2483,2479,0,4,660,75,118,2,0,0,0,0,0,75,359,6,3,1,0,11,10,52,39,5,6,0,0,2
世田谷,4937,3926,3916,0,10,947,113,155,1,1,0,0,0,0,51,589,13,1,2,0,12,9,64,62,0,2,0,0,0
玉川,3101,2381,2374,0,7,676,62,113,2,0,0,0,0,0,43,425,11,1,0,0,8,11,44,35,4,4,0,1,0
成城,3425,2619,2589,0,30,715,72,162,9,0,0,0,0,0,50,400,5,0,0,0,16,1,91,39,49,3,0,0,0
渋谷,3191,2313,2282,0,31,826,66,104,3,0,0,0,0,0,231,385,5,0,0,0,27,5,52,40,2,10,0,0,0
四谷,635,479,474,0,5,149,7,31,1,0,0,0,0,0,6,85,0,2,0,0,12,5,7,6,0,0,0,0,1
牛込,1108,813,802,0,11,267,13,69,0,0,0,0,0,0,21,139,3,0,0,0,21,1,28,18,5,5,0,0,0
新宿,2096,1644,1627,0,17,385,28,72,0,0,0,0,0,0,44,188,2,0,2,1,20,28,67,26,39,2,0,0,0
中野,1617,1253,1253,0,0,296,32,85,1,0,0,0,0,0,11,148,7,0,0,0,8,4,68,17,51,0,0,0,0
野方,2014,1680,1679,0,1,290,62,99,0,0,0,0,0,0,6,102,4,0,0,0,14,3,44,25,18,1,0,0,0
杉並,3612,2936,2933,0,3,562,123,216,1,1,0,0,0,0,19,186,5,0,0,0,9,2,114,43,63,5,0,3,0
荻窪,2881,2379,2379,0,0,429,95,191,6,0,0,0,0,0,9,111,5,0,0,0,6,6,73,34,32,6,0,1,0
小石川,1340,1009,1007,0,2,277,11,75,0,0,0,0,0,0,18,149,10,2,1,0,7,4,54,23,23,8,0,0,0
本郷,1150,892,872,0,20,244,12,74,0,0,0,0,0,0,15,114,4,0,0,0,15,10,14,12,0,2,0,0,0
豊島,1670,1286,1252,0,34,357,24,81,5,0,0,0,0,0,17,221,5,0,0,0,2,2,27,26,0,0,0,1,0
池袋,1467,1187,1187,0,0,257,29,66,0,0,0,0,0,0,16,137,2,0,0,0,5,2,23,23,0,0,0,0,0
王子,1220,911,901,0,10,267,34,48,4,0,0,0,0,0,10,146,3,0,0,1,19,2,42,26,14,1,0,1,0
赤羽,1582,1164,1147,0,17,361,31,74,0,0,1,0,0,0,12,190,7,2,0,1,39,4,57,26,30,1,0,0,0
滝野川,1205,970,970,0,0,217,21,58,10,0,0,0,0,0,10,94,4,0,2,1,15,2,18,17,0,0,0,1,0
板橋,2622,1888,1888,0,0,691,46,68,1,0,0,0,0,0,23,541,0,0,0,0,12,0,43,35,6,2,0,0,0
志村,4270,2988,2984,0,4,1205,80,155,0,0,0,0,0,0,26,877,11,1,3,1,49,2,77,50,22,5,0,0,0
練馬,3170,2621,2621,0,0,477,67,164,12,0,0,0,0,0,9,193,2,0,0,0,25,5,72,38,33,0,0,1,0
光が丘,1837,1463,1463,0,0,327,65,116,9,0,0,0,0,0,12,90,2,0,1,0,23,9,47,35,11,1,0,0,0
石神井,4130,3388,3376,0,12,636,169,267,2,0,0,0,0,0,13,153,1,0,0,0,31,0,106,52,47,6,0,1,0
上野,1243,1008,1008,0,0,208,20,64,0,0,0,0,0,0,16,81,3,2,0,1,11,10,27,13,0,14,0,0,0
浅草,788,614,614,0,0,157,7,37,0,0,0,0,0,0,4,96,7,0,0,0,6,0,17,10,7,0,0,0,0
日本堤,904,695,695,0,0,181,13,52,0,0,0,0,0,0,7,96,3,0,0,0,5,5,28,11,14,3,0,0,0
荒川,1584,1109,1108,0,1,449,26,84,1,0,0,0,0,0,39,260,17,0,1,0,17,4,26,22,3,0,0,1,0
尾久,1073,802,802,0,0,254,20,66,0,0,0,0,0,0,12,145,4,0,0,0,6,1,17,13,3,1,0,0,0
千住,1246,899,895,0,4,272,27,65,0,0,1,0,0,0,43,111,0,0,0,0,23,2,75,15,60,0,0,0,0
足立,4646,3737,3722,0,15,744,136,164,0,0,0,0,0,0,59,258,11,1,0,0,111,4,165,63,99,3,0,0,0
西新井,3242,2640,2639,0,1,545,106,168,1,0,0,0,0,0,29,178,4,0,1,0,41,17,57,41,12,1,0,3,0
本所,1907,1539,1539,0,0,309,17,70,0,0,0,0,0,0,16,180,2,0,0,0,14,10,59,20,36,3,0,0,0
向島,1630,1160,1151,0,9,409,41,54,1,0,0,0,0,0,31,246,11,1,1,0,17,6,61,23,37,1,0,0,0
深川,3085,1984,1978,0,6,779,77,78,0,0,0,0,0,0,65,463,12,0,5,1,65,13,322,40,105,9,168,0,0
城東,2429,1570,1561,0,9,622,55,74,0,0,0,0,0,0,33,362,15,6,0,0,67,10,237,47,134,4,52,0,0
本田,3974,2913,2908,0,5,867,72,147,1,0,0,0,0,0,21,572,10,0,1,0,38,5,194,48,145,1,0,0,0
金町,2437,1825,1817,0,8,522,47,117,1,0,0,0,0,0,27,272,2,5,3,0,46,2,90,32,52,6,0,0,0
江戸川,3087,2537,2537,0,0,384,63,107,1,0,0,0,0,0,7,165,6,0,0,0,32,3,166,35,130,1,0,0,0
?西,2322,1779,1778,0,1,462,50,31,0,0,0,0,0,0,13,331,5,1,0,1,28,2,81,32,47,2,0,0,0
小岩,2788,2327,2327,0,0,345,69,103,0,0,0,0,0,0,8,140,2,1,0,1,19,2,116,34,82,0,0,0,0
受託地区計,61674,46259,45632,0,627,13663,601,5331,256,4,4,5,24,23,578,5995,121,55,69,25,479,93,1752,880,723,149,0,0,0
立川,4248,3044,2958,0,86,1102,80,279,13,0,0,0,0,0,82,604,6,3,4,0,27,4,102,56,32,14,0,0,0
武蔵野,1443,976,964,0,12,441,71,176,13,1,0,1,1,4,40,122,2,0,1,0,6,3,26,26,0,0,0,0,0
三鷹,2220,1743,1702,0,41,437,29,141,4,1,0,0,7,2,10,178,4,4,9,1,42,5,40,30,5,5,0,0,0
府中,3945,3002,2943,0,59,859,30,267,5,0,0,0,0,5,28,466,11,2,2,4,35,4,84,59,19,6,0,0,0
昭島,2018,1529,1498,0,31,449,9,148,4,0,0,0,1,0,19,241,1,8,5,0,11,2,40,25,13,2,0,0,0
調布,2819,2047,2015,0,32,719,63,273,11,0,0,0,0,0,61,277,3,2,2,1,18,8,53,42,8,3,0,0,0
小金井,1451,1153,1151,0,2,266,7,135,2,0,0,0,0,0,5,97,0,3,10,0,6,1,32,23,7,2,0,0,0
小平,2383,1642,1611,0,31,654,26,255,4,0,0,0,2,1,37,274,5,0,0,0,49,1,87,41,40,6,0,0,0
東村山,1815,1273,1253,0,20,461,8,191,12,0,0,0,0,0,32,166,6,2,0,4,40,0,81,30,46,5,0,0,0
国分寺,1606,1208,1204,0,4,365,4,133,6,0,0,0,0,0,20,182,2,2,1,2,13,0,33,19,9,5,0,0,0
狛江,975,736,716,0,20,219,5,73,0,0,0,0,0,0,21,117,0,1,0,0,2,0,20,17,3,0,0,0,0
北多摩西部,2113,1607,1585,0,22,459,27,253,12,0,0,0,0,0,10,131,4,0,3,0,18,1,47,40,1,6,0,0,0
清瀬,910,625,606,0,19,244,15,112,1,0,0,0,0,1,10,70,0,0,1,2,32,0,41,16,25,0,0,0,0
東久留米,1315,1083,1076,0,7,208,14,120,10,0,0,1,2,0,8,52,1,0,0,0,0,0,24,23,1,0,0,0,0
西東京,2054,1563,1561,0,2,453,61,220,3,0,0,0,0,0,37,103,1,5,2,0,21,0,38,35,2,1,0,0,0
八王子,8955,7022,6969,0,53,1614,21,706,34,0,1,1,2,1,22,735,17,3,6,0,51,14,319,140,148,31,0,0,0
青梅,4404,3532,3524,0,8,765,3,188,4,0,1,0,0,0,4,530,16,8,3,2,2,4,107,37,51,19,0,0,0
町田,5905,4422,4353,0,69,1284,77,542,33,1,0,0,5,1,75,463,19,0,2,1,61,4,199,78,107,14,0,0,0
日野,2629,1991,1969,0,22,533,6,167,12,0,0,1,4,0,13,286,1,6,11,4,9,13,105,33,65,7,0,0,0
福生,2935,2151,2142,0,9,723,29,452,16,1,0,0,0,2,19,140,7,5,7,3,22,20,61,40,19,2,0,0,0
多摩,2474,1673,1629,0,44,691,1,7,1,0,0,0,0,0,19,643,7,0,0,0,12,1,110,34,69,7,0,0,0
秋川,2509,1874,1841,0,33,543,12,337,48,0,2,1,0,6,6,112,7,1,0,1,2,8,92,32,47,13,0,0,0
奥多摩,548,363,362,0,1,174,3,156,8,0,0,0,0,0,0,6,1,0,0,0,0,0,11,4,6,1,0,0,0
