年/前年比,令和４年,令和３年,前年比
火災件数_合計（件）,"3,953","3,939",14
火災種別_建物（件）,"2,850","2,812",38
火災種別_林野（件）,3,6,-3
火災種別_車両（件）,187,215,-28
火災種別_船舶（件）,3,1,2
火災種別_航空機（件）,0,0,0
火災種別_その他（件）,909,901,8
治外法権（件）,1,4,-3
管外からの延焼火災（件）,0,0,0
火災による死者（人）,89,86,3
火災による負傷者（人）,742,664,78
焼損床面積（?）,"21,974","16,448","5,526"
焼損棟数（棟）,"3,259","3,228",31
り災世帯数（世帯）,"2,499","2,382",117
損害額（円）,"5,466,894,388","4,208,012,095","1,258,882,293"
