消防署,出場・従事件数・計出場,出場・従事件数・計従事,出場・従事件数・火災・出場,出場・従事件数・火災・従事,出場・従事件数・交通・出場,出場・従事件数・交通・従事,出場・従事件数・水難・出場,出場・従事件数・水難・従事,出場・従事件数・機械・出場,出場・従事件数・機械・従事,出場・従事件数・工作物建物・出場,出場・従事件数・工作物建物・従事,出場・従事件数・崩壊・出場,出場・従事件数・崩壊・従事,出場・従事件数・墜落・出場,出場・従事件数・墜落・従事,出場・従事件数・ガス・出場,出場・従事件数・ガス・従事,出場・従事件数・電気・出場,出場・従事件数・電気・従事,出場・従事件数・山岳・出場,出場・従事件数・山岳・従事,出場・従事件数・爆発・出場,出場・従事件数・爆発・従事,出場・従事件数・その他・出場,出場・従事件数・その他・従事,救助人員・計・,救助人員・計・重症,救助人員・計・中等症,救助人員・計・軽症,救助人員・計・無症,救助人員・計・死亡,救助人員・誘導人員・,出場車両数誘導人員・計,誘導人員・計・ポンプ車,誘導人員・計・救助車,誘導人員・計・化学車,誘導人員・計・はしご車,誘導人員・計・救急車,誘導人員・計・照明車,"誘導人員・計・救出救助車、水難救助車、指揮統制車",誘導人員・計・ヘリコプター,誘導人員・計・消防艇,誘導人員・計・指揮隊車,誘導人員・計・その他,従事台数,出場人員,従事人員
平成30年,23543,17730,134,134,4304,3702,290,206,155,75,17227,12712,16,9,272,151,49,39,1,1,198,172,0,0,897,529,19381,2814,6095,6897,1724,1851,68,75639,24576,8207,3727,313,24710,74,262,79,365,12230,1096,43807,307763,176655
令和元年,24327,17852,133,133,4262,3674,266,185,149,74,18150,12959,12,5,301,152,58,53,2,1,144,121,0,0,850,495,19435,2899,5961,6718,1815,2042,82,78858,24999,9155,3918,310,25547,84,245,55,370,13152,1023,43432,320770,175718
令和2年,23856,17359,130,130,3622,3193,261,183,119,66,18397,12977,9,6,369,178,61,55,2,1,151,133,0,0,735,437,18197,2844,5858,5422,1794,2279,126,78152,24542,9444,3753,282,24798,94,261,57,331,13332,1258,40869,319565,168033
令和3年,25004,17642,114,114,3649,3199,246,168,129,75,19415,13209,19,17,335,154,80,72,1,1,171,128,0,0,845,505,18567,2828,5918,5340,2077,2404,93,81970,25165,10084,4040,254,25955,80,315,89,342,14218,1428,40139,336208,167319
令和4年,27158,18195,128,127,3847,3347,258,165,143,65,21285,13608,7,7,358,167,50,45,2,2,209,170,0,0,871,492,18358,2536,5629,5327,2201,2665,75,90590,27320,11702,4532,275,28007,89,353,99,375,16162,1676,40940,371787,173604
特別区,19047,12413,88,87,2861,2496,219,141,112,49,14850,9174,3,3,260,106,32,27,1,1,0,0,0,0,621,329,12493,1623,3665,3695,1642,1868,40,65495,19162,10330,3079,214,19540,79,298,18,375,11500,900,28519,271561,121790
丸の内,50,34,0,0,27,20,0,0,0,0,19,12,0,0,1,1,0,0,0,0,0,0,0,0,3,1,41,5,8,24,3,1,0,179,69,18,0,1,59,0,0,0,0,28,4,97,761,398
麹町,132,104,1,1,72,65,0,0,1,1,55,36,0,0,1,0,0,0,0,0,0,0,0,0,2,1,131,8,23,67,23,10,0,480,182,43,0,16,152,0,0,0,0,70,17,287,1910,1167
神田,106,73,0,0,29,28,0,0,0,0,70,44,0,0,1,0,0,0,0,0,0,0,0,0,6,1,84,12,20,30,18,4,0,366,131,53,1,1,115,1,0,0,2,56,6,172,1562,742
京橋,145,110,1,1,50,45,0,0,1,1,81,58,0,0,1,0,1,1,0,0,0,0,0,0,10,4,96,8,16,46,21,5,0,485,139,60,44,3,150,0,0,0,2,80,7,283,2026,1195
日本橋,179,127,0,0,69,62,1,0,0,0,94,56,0,0,2,1,0,0,0,0,0,0,0,0,13,8,164,13,32,97,15,7,0,597,210,68,4,1,197,1,0,0,2,77,37,358,2282,1324
臨港,140,91,0,0,13,11,34,27,0,0,83,50,0,0,3,1,1,0,0,0,0,0,0,0,6,2,82,16,26,15,7,18,0,702,91,99,107,0,137,7,21,6,100,132,2,318,3175,1442
芝,264,193,1,1,87,79,1,1,2,1,147,96,1,1,10,5,1,1,0,0,0,0,0,0,14,8,206,32,42,101,17,14,0,914,290,117,50,10,271,1,2,1,5,143,24,488,3831,2084
麻布,176,103,1,1,39,36,2,2,3,1,116,55,0,0,6,4,0,0,0,0,0,0,0,0,9,4,104,9,26,40,19,10,1,585,200,84,3,2,174,0,1,0,2,109,10,273,2453,1195
赤坂,111,80,0,0,35,35,0,0,2,1,65,42,0,0,1,1,1,1,0,0,0,0,0,0,7,0,92,12,22,44,9,5,0,351,122,48,0,1,116,0,0,0,0,56,8,156,1451,667
高輪,125,76,1,1,25,20,0,0,2,1,93,50,0,0,2,2,0,0,0,0,0,0,0,0,2,2,63,8,11,27,9,8,2,440,105,68,46,3,130,0,0,0,0,79,9,209,1923,968
品川,284,219,2,2,64,59,1,0,0,0,205,151,0,0,5,1,1,1,0,0,0,0,0,0,6,5,224,21,73,71,33,26,1,953,295,135,42,2,295,0,0,0,4,174,6,549,3930,2296
大井,217,170,3,3,78,62,0,0,0,0,123,96,0,0,1,0,1,1,0,0,0,0,0,0,11,8,157,22,38,63,15,19,0,868,306,113,24,17,236,0,2,1,0,135,34,533,3730,2321
荏原,251,126,3,3,23,20,0,0,3,2,217,97,0,0,4,3,0,0,0,0,0,0,0,0,1,1,121,13,39,32,7,30,4,880,297,147,3,4,253,0,2,0,0,160,14,344,3894,1605
大森,406,280,4,4,112,97,6,4,4,1,268,167,0,0,4,2,0,0,0,0,0,0,0,0,8,5,281,20,88,98,30,45,1,1481,390,216,127,10,429,1,6,0,8,266,28,768,6225,3248
