高速道路,出場件数・計,出場件数・搬送,出場件数・不搬送・小計,出場件数・不搬送・現場処置,出場件数・不搬送・不救護,救護人員・計,救護人員・搬送,救護人員・現場処置,程度別人員・死亡,程度別人員・重篤,程度別人員・重症,程度別人員・中等症,程度別人員・軽症
平成30年,1418,1230,188,3,185,1527,1523,4,5,25,73,316,1104
令和元年,1312,1117,195,3,192,1399,1396,3,2,13,66,282,1033
令和2年,1076,894,182,2,180,1066,1065,1,2,18,54,227,764
令和3年,1187,981,206,2,204,947,942,5,3,17,35,208,679
令和4年,1059,865,194,0,194,283,280,3,3,0,13,45,219
東名高速道路,19,13,6,0,6,2,2,0,0,0,0,0,2
中央自動車道,122,95,27,0,27,29,29,0,0,0,1,4,24
関越自動車道,13,10,3,0,3,4,4,0,1,0,0,1,2
東京外環自動車道,3,2,1,0,1,0,0,0,0,0,0,0,0
首都圏中央連絡自動車道路,50,42,8,0,8,9,9,0,0,0,0,5,4
第三京浜道路,1,1,0,0,0,0,0,0,0,0,0,0,0
京葉道路,3,3,0,0,0,2,2,0,0,0,0,1,1
国道１６号線八王子バイパス,16,13,3,0,3,3,3,0,0,0,0,1,2
首都高速湾岸線,128,108,20,0,20,46,46,0,0,0,2,8,36
首都高速都心環状線,142,118,24,0,24,46,43,3,0,0,2,6,35
首都高速１号線,72,57,15,0,15,25,25,0,1,0,1,4,19
首都高速２号線,16,11,5,0,5,4,4,0,0,0,0,1,3
首都高速３号線,47,41,6,0,6,8,8,0,0,0,0,1,7
首都高速４号線,74,60,14,0,14,15,15,0,0,0,0,2,13
首都高速５号線,75,61,14,0,14,20,20,0,1,0,0,1,18
首都高速６号線,73,62,11,0,11,12,12,0,0,0,2,1,9
首都高速７号線,35,30,5,0,5,10,10,0,0,0,0,1,9
首都高速８号線,0,0,0,0,0,0,0,0,0,0,0,0,0
首都高速９号線,6,6,0,0,0,1,1,0,0,0,0,0,1
首都高速中央環状線,134,104,30,0,30,35,35,0,0,0,2,6,27
首都高速川口線,12,12,0,0,0,3,3,0,0,0,1,0,2
首都高速１１号台場線,8,8,0,0,0,5,5,0,0,0,1,2,2
首都高速１０号晴海線,0,0,0,0,0,0,0,0,0,0,0,0,0
東京高速道路,3,2,1,0,1,1,1,0,0,0,0,0,1
その他高速道路,7,6,1,0,1,3,3,0,0,0,1,0,2
