区市町村,合計
千代田区,124
中央区,107
港区,199
新宿区,181
文京区,95
台東区,118
墨田区,95
江東区,155
品川区,108
目黒区,75
大田区,173
世田谷区,173
渋谷区,141
中野区,106
杉並区,113
豊島区,105
北区,80
荒川区,53
板橋区,136
練馬区,140
足立区,138
葛飾区,122
江戸川区,160
八王子市,166
立川市,63
武蔵野市,54
三鷹市,27
青梅市,41
府中市,50
昭島市,12
調布市,59
町田市,130
小金井市,30
小平市,40
日野市,43
東村山市,41
国分寺市,24
国立市,18
西東京市,33
福生市,20
狛江市,17
東大和市,23
清瀬市,16
東久留米市,41
武蔵村山市,18
多摩市,29
羽村市,12
あきる野市,32
瑞穂町,12
日の出町,3
檜原村,1
奥多摩町,1
,"3,953"
