資格,受験者,合格者,合格率（％）,交付
危険物取扱者,33088,16578,50.10,16459
甲種,2849,1118,39.20,1095
乙種,29599,15033,50.80,14957
乙種・第１類,825,661,80.10,670
乙種・第２類,857,696,81.20,703
乙種・第３類,1143,889,77.80,887
乙種・第４類,24730,11140,45.00,10995
乙種・第５類,1054,841,79.80,838
乙種・第６類,990,806,81.40,864
丙種,640,427,66.70,407
消防設備士,21901,8424,38.50,8311
甲種,11722,4050,34.60,4039
甲種・特類,370,117,31.60,116
甲種・第１類,3026,835,27.60,819
甲種・第２類,1018,337,33.10,368
甲種・第３類,1079,358,33.20,360
甲種・第４類,5258,2009,38.20,1992
甲種・第５類,971,394,40.60,384
乙種,10179,4374,43.00,4272
乙種・第１類,342,117,34.20,114
乙種・第２類,137,44,32.10,40
乙種・第３類,233,61,26.20,68
乙種・第４類,1899,713,37.50,704
乙種・第５類,225,103,45.80,103
乙種・第６類,6012,2471,41.10,2375
乙種・第７類,1331,865,65.00,868
自衛消防技術試験,6046,4633,76.60,4633
