危険物品名(kg),計,製造所,屋内貯蔵所,屋外タンク貯蔵所 ,屋内タンク貯蔵所,地下タンク貯蔵所,簡易タンク貯蔵所,移動タンク貯蔵所,屋外貯蔵所,給油取扱所,販売取扱所・第１種,販売取扱所・第２種,移送取扱所,一般取扱所
第一類_第一種酸化性固体,23.5398,0.04,10.09,-,-,-,-,-,-,-,1.5405,0.005,-,11.8643
第一類_第二種酸化性固体,21.2752,-,20.3451,-,-,-,-,-,-,-,0.45,-,-,0.4801
第一類_第三種酸化性固体,63.6531,0.329,42.3139,-,-,-,-,-,-,-,14.4465,-,-,6.5637
第二類_硫化りん,0.0687,-,0.05,-,-,-,-,-,-,-,-,-,-,0.0187
第二類_赤りん,5.9506,0.45,4.532,-,-,-,-,-,-,-,-,-,-,0.9686
第二類_硫黄,421.2482,-,0.9505,-,-,-,-,-,-,-,0.06,-,-,420.2377
第二類_第一種可燃性固体,5.007,-,4.945,-,-,-,-,-,-,-,-,-,-,0.062
第二類_鉄粉,35.5313,-,31.5,-,-,-,-,-,-,-,0.02,-,-,4.0113
第二類_第二種可燃性固体,8.2449,0.8693,6.502,-,-,-,-,-,-,-,-,-,-,0.8736
第二類_引火性固体,474.0753,0.584,46.1776,-,-,-,-,416.805,-,-,0.395,9.4508,-,0.6629
第三類_カリウム,0.0879,-,0.0841,-,-,-,-,-,-,-,-,-,-,0.0038
第三類_ナトリウム,200.937,-,0.1695,-,-,-,-,-,-,-,0.001,-,-,200.7665
第三類_アルキルアルミニウム,1.2965,-,0.008,-,-,-,-,1.2874,-,-,-,-,-,0.0011
第三類_アルキルリチウム,0.0201,-,0.02,-,-,-,-,-,-,-,-,-,-,0.0001
第三類_第一種自然発火性物質及び禁水性物質,0.0875,0.0179,0.0588,-,-,-,-,-,-,-,-,-,-,0.0108
第三類_黄りん,0.025,-,0.025,-,-,-,-,-,-,-,-,-,-,-
第三類_第二種自然発火性物質及び禁水性物質,0.8157,0.015,0.6071,-,-,-,-,-,-,-,0.1612,-,-,0.0324
第三類_第三種自然発火性物質及び禁水性物質,11.37,0.114,0.03,-,-,-,-,-,-,-,0.0003,-,-,11.22
第四類_特殊引火物,884.9,0.165,22.0897,-,-,-,-,860.41,-,-,1.216,0.14,-,0.8833
"第四類_第一石油類・非水溶性液体	","76,593.76",329.2347,2859.8312,17303,-,1057.8,4.051,"7,665.82",11,36988.115,199.9582,402.8213,-,"9,772.12"
"第四類_第一石油類・水溶性液体	","2,546.28",22.5547,312.3246,-,-,23.3,-,"1,987.84",-,48,16.4587,10.8318,-,124.9762
第四類_アルコール類,"5,795.91",314.9714,913.7301,173,0.3,405.97,-,3703.399,5.132,-,19.848,9.0908,-,250.46
第四類_第二石油類・非水溶性液体,284281.6958,545.2165,3942.665,112590.427,2327.662,45510.664,0.576,13262.279,164.962,53795.324,250.7714,361.7921,25150,26379.3568
"第四類_第二石油類・水溶性液体	",3840.4621,57.6971,596.9861,-,-,60.2,-,2566.291,17.2,-,11.9232,0.697,-,529.4677
第四類_第三石油類・非水溶性液体,155496.0459,319.6221,2708.8544,18022.803,9089.367,85287.217,-,6034.654,2312.591,1146.616,84.114,33.665,-,30456.5424
"第四類_第三石油類・水溶性液体	",5146.2962,136.2609,694.1144,47.5,4.42,144.5,-,2489.627,445.85,50.95,9.5207,9.49,-,1114.0632
第四類_第四石油類　,14813.7827,197.9414,3380.0508,2913.004,93.377,336.262,-,3074.525,752.516,42.023,45.569,18.42,-,3960.0945
第四類_動植物油類,3743.9225,1.551,88.0281,28,-,9.6,-,846.473,1,-,5.283,15.399,-,2748.5884
第五類_第一種自己反応性物質,0.4309,0.0003,0.3927,-,-,-,-,-,-,-,0.0102,0.0177,-,0.01
第五類_第二種自己反応性物質,64.7461,11.1546,11.0207,20.295,-,-,-,11.628,-,-,0.0016,0.0365,-,10.6097
第六類,176.8556,-,4.355,17.851,-,-,-,149.65,-,-,1.21,-,-,3.7896
