多摩地区,平成30年,,令和元年,,令和２年,,令和３年,,令和４年,
,市町村,件数,市町村,件数,市町村,件数,市町村,件数,市町村,件数
1,八王子市,148,八王子市,159,八王子市,147,八王子市,173,八王子市,166
2,町田市,108,町田市,104,町田市,103,町田市,112,町田市,130
3,立川市,66,"調布市
府中市",59,立川市,57,立川市,73,立川市,63
4,府中市,65,三鷹市,53,"調布市
三鷹市",53,府中市,69,調布市,59
5,三鷹市,50,立川市,50,西東京市,48,調布市,53,武蔵野市,54
