製造所等,対象物数(数）,百分率（％）
製造所,62,0.5
屋内貯蔵所,1632,13.1
屋外タンク貯蔵所,311,2.5
屋内タンク貯蔵所,1162,9.4
地下タンク貯蔵所,2975,24
簡易タンク貯蔵所,8,0.1
移動タンク貯蔵所,1509,12.2
屋外貯蔵所,149,1.2
給油取扱所,1583,12.8
販売取扱所,268,2.2
移送取扱所,11,0.1
一般取扱所,2724,21.9
合計,12394,100
