消防署,計,工事種別処理件数・新築,工事種別処理件数・増築,工事種別処理件数・改築,工事種別処理件数・移転,工事種別処理件数・修繕,工事種別処理件数・模様替,工事種別処理件数・用途変更,工事種別処理件数・その他,"同意・不同意別処理件数・同意",同意・不同意別処理件数・不同意
平成30年,49480,46693,1966,8,10,10,7,683,103,49480,0
令和元年,50068,47269,2185,11,6,7,27,459,104,50068,0
令和2年,44704,42797,1522,12,5,14,13,252,89,44704,0
令和3年,46667,44755,1520,10,6,16,12,251,97,46667,0
令和4年,44995,42977,1650,9,0,7,1,232,119,44995,0
特別区,34518,33161,1058,5,0,2,0,194,98,34518,0
丸の内,60,42,11,2,0,0,0,4,1,60,0
麹町,72,56,15,0,0,0,0,1,0,72,0
神田,140,127,6,0,0,0,0,6,1,140,0
京橋,132,117,10,0,0,0,0,4,1,132,0
日本橋,128,118,7,0,0,0,0,3,0,128,0
臨港,98,92,4,0,0,0,0,2,0,98,0
芝,287,209,70,0,0,0,0,5,3,287,0
麻布,201,187,12,0,0,0,0,1,1,201,0
赤坂,151,133,11,0,0,0,0,5,2,151,0
高輪,162,143,18,0,0,0,0,0,1,162,0
品川,368,341,23,0,0,0,0,4,0,368,0
大井,378,349,29,0,0,0,0,0,0,378,0
荏原,588,571,16,0,0,0,0,0,1,588,0
大森,786,753,28,0,0,0,0,5,0,786,0
田園調布,859,846,12,0,0,0,0,1,0,859,0
蒲田,522,495,22,0,0,0,0,5,0,522,0
矢口,470,449,20,0,0,0,0,1,0,470,0
目黒,1069,1030,35,0,0,0,0,4,0,1069,0
世田谷,1737,1693,42,0,0,0,0,2,0,1737,0
玉川,1146,1073,60,0,0,0,0,7,6,1146,0
成城,974,956,17,0,0,1,0,0,0,974,0
渋谷,737,690,27,0,0,0,0,17,3,737,0
四谷,128,114,5,0,0,0,0,8,1,128,0
牛込,334,319,11,0,0,0,0,4,0,334,0
新宿,572,538,14,2,0,0,0,10,8,572,0
中野,481,467,11,0,0,0,0,3,0,481,0
野方,724,713,10,0,0,0,0,1,0,724,0
杉並,1340,1290,43,0,0,1,0,5,1,1340,0
荻窪,1183,1161,22,0,0,0,0,0,0,1183,0
小石川,422,393,26,0,0,0,0,3,0,422,0
本郷,338,321,16,0,0,0,0,1,0,338,0
豊島,433,415,12,0,0,0,0,5,1,433,0
池袋,561,551,7,0,0,0,0,3,0,561,0
王子,416,400,13,0,0,0,0,1,2,416,0
赤羽,484,456,27,0,0,0,0,1,0,484,0
滝野川,381,367,14,0,0,0,0,0,0,381,0
板橋,787,769,14,0,0,0,0,3,1,787,0
志村,997,936,43,1,0,0,0,2,15,997,0
練馬,907,879,23,0,0,0,0,4,1,907,0
光が丘,561,552,3,0,0,0,0,6,0,561,0
石神井,1500,1473,24,0,0,0,0,3,0,1500,0
上野,247,233,8,0,0,0,0,5,1,247,0
浅草,187,187,0,0,0,0,0,0,0,187,0
日本堤,211,206,1,0,0,0,0,3,1,211,0
荒川,406,391,10,0,0,0,0,5,0,406,0
尾久,316,306,7,0,0,0,0,2,1,316,0
千住,359,342,8,0,0,0,0,2,7,359,0
足立,1439,1400,11,0,0,0,0,3,25,1439,0
西新井,1148,1130,17,0,0,0,0,0,1,1148,0
本所,323,296,15,0,0,0,0,8,4,323,0
向島,686,670,14,0,0,0,0,2,0,686,0
深川,635,572,52,0,0,0,0,9,2,635,0
城東,599,574,18,0,0,0,0,7,0,599,0
本田,1186,1171,13,0,0,0,0,2,0,1186,0
金町,808,784,22,0,0,0,0,2,0,808,0
江戸川,930,915,15,0,0,0,0,0,0,930,0
葛西,599,583,8,0,0,0,0,2,6,599,0
小岩,825,817,6,0,0,0,0,2,0,825,0
受託地区,10477,9816,592,4,0,5,1,38,21,10477,0
立川,862,806,44,0,0,0,1,4,7,862,0
武蔵野,393,337,52,0,0,0,0,4,0,393,0
三鷹,495,474,19,0,0,0,0,1,1,495,0
府中,751,705,38,4,0,0,0,3,1,751,0
昭島,430,416,8,0,0,0,0,3,3,430,0
調布,477,444,27,0,0,0,0,2,4,477,0
小金井,225,216,9,0,0,0,0,0,0,225,0
小平,581,468,106,0,0,5,0,2,0,581,0
東村山,190,180,10,0,0,0,0,0,0,190,0
国分寺,538,512,24,0,0,0,0,2,0,538,0
狛江,124,123,1,0,0,0,0,0,0,124,0
北多摩西部,359,357,2,0,0,0,0,0,0,359,0
清瀬,377,373,4,0,0,0,0,0,0,377,0
東久留米,245,235,10,0,0,0,0,0,0,245,0
西東京,677,655,20,0,0,0,0,2,0,677,0
八王子,1165,1090,69,0,0,0,0,6,0,1165,0
青梅,468,449,18,0,0,0,0,1,0,468,0
町田,611,577,28,0,0,0,0,6,0,611,0
日野,291,246,40,0,0,0,0,1,4,291,0
福生,720,676,43,0,0,0,0,0,1,720,0
多摩,221,212,8,0,0,0,0,1,0,221,0
秋川,277,265,12,0,0,0,0,0,0,277,0
奥多摩,0,0,0,0,0,0,0,0,0,0,0
