消防署,消火設備・屋内消火栓設備・対象物数,消火設備・屋内消火栓設備・設備数,消火設備・スプリンクラー設備・対象物数,消火設備・スプリンクラー設備・設備数,消火設備・水噴霧消火設備・対象物数,消火設備・水噴霧消火設備・設備数,消火設備・泡消火設備・対象物数,消火設備・泡消火設備・設備数,消火設備・二酸化炭素消火設備・対象物数,消火設備・二酸化炭素消火設備・設備数,消火設備・ハロゲン化物消火設備・対象物数,消火設備・ハロゲン化物消火設備・設備数,消火設備・粉末消火設備・対象物数,消火設備・粉末消火設備・設備数,消火設備・屋外消火栓設備・対象物数,消火設備・屋外消火栓設備・設備数,消火設備・動力消防ポンプ設備・対象物数,消火設備・動力消防ポンプ設備・設備数
平成30年度,47786,43751,17689,18095,178,326,4414,4932,4073,5789,7136,11012,15372,31533,1362,1219,1081,580
令和元年度,47797,38969,18322,15875,176,138,4447,4375,4016,4632,7151,9259,15739,21715,1381,1200,1013,591
令和2年度,47892,38964,18841,16425,179,142,4457,4386,3985,4526,7110,8974,15996,21587,1386,1221,1034,605
令和3年度,48090,38943,19349,16953,179,142,4469,4412,3903,4399,7087,8812,16276,21423,1383,1225,1038,607
令和4年度,48266,39021,19887,17476,176,139,4469,4411,3731,4178,7070,8735,16524,21545,1371,1212,1008,575
特別区,37096,31277,16307,14361,141,92,3808,3783,3322,3743,6143,7595,12158,16074,826,756,374,263
丸の内,188,206,167,211,15,13,86,86,37,69,94,182,46,64,1,0,0,0
麹町,742,680,392,454,4,1,164,161,109,139,281,366,186,179,10,9,2,0
神田,950,870,568,534,2,2,85,82,200,199,277,285,224,216,0,0,0,0
京橋,928,842,755,680,3,3,123,130,179,198,276,346,278,300,5,5,0,0
日本橋,975,964,588,559,3,2,111,109,182,219,277,328,226,236,2,2,0,0
臨港,266,325,171,147,2,2,62,61,43,54,27,32,88,146,1,1,6,6
芝,1100,1098,707,709,6,5,217,217,227,252,393,472,396,542,8,8,14,6
麻布,619,538,352,309,8,6,124,110,76,73,159,180,139,141,5,5,0,0
赤坂,573,552,298,296,6,9,135,130,90,93,148,153,147,136,4,3,2,1
高輪,595,475,287,244,7,3,99,99,84,123,129,155,146,209,16,18,16,5
品川,894,749,421,324,2,2,144,140,130,169,199,239,244,280,4,4,2,4
大井,484,384,212,162,0,0,44,48,27,26,94,101,193,203,39,29,0,0
荏原,289,243,142,119,1,0,23,22,14,14,45,45,89,113,4,4,0,0
大森,893,773,234,194,3,2,70,67,94,83,97,101,354,623,83,86,17,11
田園調布,525,356,104,86,0,0,42,42,11,10,59,71,216,263,0,0,3,3
蒲田,642,487,204,172,3,2,58,61,53,64,77,100,282,377,54,62,4,4
矢口,382,322,148,128,2,1,18,19,21,21,34,30,150,178,6,7,1,1
目黒,949,873,245,208,1,1,107,101,65,63,151,191,286,302,5,5,0,0
世田谷,1073,797,268,230,0,0,107,106,62,53,114,156,323,380,13,12,12,2
玉川,702,539,154,158,0,0,81,99,20,22,101,165,301,395,7,8,0,0
成城,643,430,208,199,1,1,64,64,16,19,57,67,274,286,25,18,9,2
渋谷,1869,1696,780,699,9,8,303,284,245,273,459,626,494,532,9,8,1,1
四谷,487,476,229,219,4,3,42,42,62,63,131,128,101,102,6,6,0,0
牛込,641,552,274,264,1,1,57,59,66,66,98,90,134,125,7,6,0,0
新宿,1202,1169,615,590,3,0,165,166,103,115,240,428,317,357,5,4,2,2
中野,525,399,197,156,0,0,45,41,26,30,55,64,136,140,5,5,0,0
野方,261,214,85,78,0,0,21,21,10,11,28,22,90,115,4,6,1,1
杉並,688,571,229,189,4,2,65,61,33,31,66,87,226,284,15,14,0,0
荻窪,493,343,171,140,0,0,41,35,26,25,50,64,157,239,6,3,0,0
小石川,675,628,310,268,0,0,83,80,61,68,140,158,121,128,9,8,2,2
本郷,662,578,370,306,2,2,38,38,65,66,126,131,138,136,9,5,11,2
豊島,781,679,371,314,1,0,53,51,78,80,186,202,193,185,4,3,0,0
池袋,434,377,198,163,0,0,27,26,25,31,61,70,146,150,6,5,1,1
王子,330,293,140,105,0,0,20,18,22,20,47,64,121,194,11,7,6,4
赤羽,438,297,165,123,4,3,24,23,31,47,33,41,167,235,8,11,4,3
滝野川,270,234,138,120,0,0,21,20,22,21,48,64,69,99,2,1,6,6
板橋,525,420,225,188,1,0,36,34,39,37,71,64,200,175,12,9,9,0
志村,1230,821,327,244,4,1,67,66,36,41,94,107,480,480,37,22,18,16
練馬,636,390,179,150,1,0,38,45,19,20,54,63,239,300,15,16,3,2
光が丘,399,275,141,76,1,0,37,36,14,14,27,24,186,266,3,3,6,4
石神井,542,278,209,176,0,0,28,25,10,10,28,36,183,189,6,3,5,0
上野,656,580,515,354,2,2,44,38,81,86,160,185,145,157,18,18,2,3
浅草,398,332,323,318,1,1,19,19,47,46,83,80,100,98,0,0,1,1
日本堤,262,220,231,163,0,0,16,16,18,17,36,44,69,70,2,2,4,4
荒川,445,346,234,167,0,0,29,28,33,35,40,36,139,148,5,5,1,1
尾久,182,138,80,66,0,0,2,2,11,11,12,12,69,69,1,1,2,1
千住,379,411,174,118,5,0,25,59,16,16,26,52,133,418,20,17,13,12
足立,1040,540,328,234,1,0,35,32,21,22,50,69,383,600,13,12,15,14
西新井,457,294,160,145,1,0,24,23,8,6,15,14,184,233,28,25,47,30
本所,727,580,413,309,4,2,68,67,57,76,94,106,163,168,6,6,3,2
向島,327,290,141,123,0,0,19,21,14,13,24,28,103,138,18,23,4,4
深川,1177,1540,456,764,8,4,165,165,114,194,182,341,535,1571,91,94,15,12
城東,1086,822,482,246,5,2,72,78,68,81,104,134,463,937,68,58,50,46
本田,478,428,177,167,5,5,22,23,15,13,37,21,291,280,6,5,10,10
金町,355,219,124,134,0,0,11,11,19,27,23,22,128,183,6,5,5,5
江戸川,511,417,145,106,1,1,31,29,13,14,21,23,257,255,22,21,14,13
葛西,761,655,212,145,4,0,35,31,42,44,76,98,345,587,31,15,18,11
小岩,355,272,134,111,0,0,16,16,12,10,29,32,165,162,20,18,7,5
受託地区,11170,7744,3580,3115,35,47,661,628,409,435,927,1140,4366,5471,545,456,634,312
立川,947,728,274,270,3,3,57,54,70,69,121,125,365,396,29,27,98,48
武蔵野,527,412,155,149,2,0,43,40,23,26,66,75,166,192,7,5,0,0
三鷹,390,349,146,126,0,0,26,24,18,20,42,46,209,302,17,13,15,7
府中,816,480,250,183,6,1,71,62,41,56,76,130,339,460,91,65,35,26
昭島,341,270,101,70,1,1,17,16,9,8,23,22,149,345,30,29,56,23
調布,611,444,174,138,1,3,45,40,26,25,43,49,276,331,21,13,10,7
小金井,256,195,66,59,1,1,12,12,6,5,22,24,92,115,4,4,2,0
小平,554,361,142,126,5,16,11,11,16,19,34,46,153,258,26,19,9,10
東村山,388,282,124,98,2,5,11,10,10,18,21,26,151,217,16,15,22,19
国分寺,231,174,84,74,0,0,15,15,8,8,26,23,101,80,5,4,3,3
狛江,164,89,42,38,1,0,11,13,1,1,8,16,64,85,5,3,9,2
北多摩西部,318,246,98,81,2,1,12,12,5,5,18,18,119,126,22,21,19,19
清瀬,243,131,73,51,0,0,4,4,9,9,16,21,39,25,6,7,4,2
東久留米,234,175,78,70,0,0,13,13,11,13,8,9,84,87,18,14,10,8
西東京,425,220,132,103,0,0,15,15,11,10,22,17,222,285,4,2,10,10
八王子,1927,1180,612,559,1,0,102,98,54,52,170,244,670,632,94,63,225,28
青梅,362,265,134,117,2,2,14,12,7,5,40,30,136,232,34,27,27,24
町田,887,644,349,335,3,3,66,64,31,33,60,72,407,535,32,33,8,6
日野,456,276,140,115,0,0,17,16,22,23,34,39,159,177,16,13,7,6
福生,369,336,103,110,3,10,28,26,9,8,21,29,124,189,40,45,44,43
多摩,568,311,187,120,1,0,66,66,18,20,48,72,286,315,11,9,2,1
秋川,143,164,108,115,0,0,5,5,4,2,6,7,51,82,17,25,16,17
奥多摩,13,12,8,8,1,1,0,0,0,0,2,0,4,5,0,0,3,3
