消防署,事業所,計,製造所,貯蔵所・屋内,貯蔵所・屋外タンク,貯蔵所・屋内タンク,貯蔵所・地下タンク,貯蔵所・簡易タンク,貯蔵所・移動タンク,貯蔵所・屋外,取扱所・給油・営業用・自動車,取扱所・給油・営業用・その他,取扱所・給油・自家用・自動車,取扱所・給油・自家用・その他,取扱所・販売・第１種,取扱所・販売・第２種,取扱所・移送,取扱所・一般,危険物保安監督者,危険物取扱者,少量危険物貯蔵取扱所,指定可燃物貯蔵取扱所
平成30年度,8220,12599,68,1724,352,1165,2958,7,1546,162,969,67,654,-,216,91,12,2608,6887,26123,27334,5965
令和元年度,8034,12516,65,1695,345,1146,2971,7,1497,158,945,66,650,-,207,89,11,2664,6806,25603,27388,6004
令和2年度,7919,12492,64,1666,338,1141,2970,10,1512,159,928,66,645,-,197,87,11,2698,6688,25172,27502,6032
令和3年度,7798,12414,64,1650,329,1151,2961,8,1510,150,907,68,638,-,189,86,11,2692,6653,24747,27514,6061
令和4年度,7742,12394,62,1632,311,1162,2975,8,1509,149,886,68,629,-,183,85,11,2724,6567,24346,27641,6245
特別区,5183,8337,43,976,123,1031,1978,3,950,61,562,38,397,-,162,70,1,1942,3966,15730,18612,4812
丸の内,200,384,-,-,-,96,106,-,-,-,-,-,4,-,-,-,-,178,64,741,195,4
麹町,138,250,-,5,-,51,102,-,1,-,4,-,4,-,-,-,-,83,55,335,566,18
神田,110,148,-,12,-,27,47,-,-,-,8,-,2,-,10,-,-,42,46,159,206,19
京橋,119,203,-,1,-,71,53,-,-,-,4,-,-,-,1,-,-,73,23,567,372,23
日本橋,119,208,-,-,-,88,49,-,-,-,8,-,1,-,7,-,-,55,30,211,457,13
臨港,56,77,-,5,1,12,27,-,3,-,4,1,1,-,-,-,-,23,20,51,199,39
芝,234,414,1,7,-,102,137,-,-,1,10,1,5,-,1,-,-,149,56,209,700,81
麻布,82,98,-,-,-,19,34,-,1,-,7,-,3,-,-,-,-,34,28,72,136,6
赤坂,72,130,-,-,-,21,51,-,-,-,5,-,3,-,-,-,-,50,32,337,258,15
高輪,96,153,-,11,1,30,52,-,3,-,5,2,4,-,-,-,-,45,49,250,153,28
