着火物,計,出火に至った時間・0分以上～15分未満,出火に至った時間・15分以上～30分未満,出火に至った時間・30分以上～45分未満,出火に至った時間・45分以上～1時間未満,出火に至った時間・1時間以上～2時間未満,出火に至った時間・2時間以上～3時間未満,出火に至った時間・3時間以上～4時間未満,出火に至った時間・4時間以上～5時間未満,出火に至った時間・5時間以上～6時間未満,出火に至った時間・6時間以上～7時間未満,出火に至った時間・7時間以上～8時間未満,出火に至った時間・8時間以上～9時間未満,出火に至った時間・9時間以上～10時間未満,"出火に至った時間・10時間以上",出火に至った時間・不明
平成30年,344,63,34,33,18,33,22,14,13,4,1,0,0,2,4,103
令和元年,338,78,32,38,7,43,26,11,7,1,2,1,0,1,3,88
令和2年,267,59,22,24,11,29,15,7,4,2,0,2,1,0,1,90
令和3年,280,64,30,36,11,27,15,8,6,2,1,1,0,0,2,77
令和4年,292,66,36,42,5,35,12,6,6,3,1,1,0,0,0,79
ごみくず,150,34,25,28,2,17,7,2,4,1,0,1,0,0,0,29
ふとん,47,9,3,7,2,8,1,0,2,2,0,0,0,0,0,13
その他の紙・紙製品,11,4,0,0,0,1,0,2,0,0,0,0,0,0,0,4
ﾀﾞﾝﾎﾞｰﾙ・ﾎﾞｰﾙ紙,11,3,2,4,1,1,0,0,0,0,0,0,0,0,0,0
衣類,10,1,1,1,0,3,1,1,0,0,0,0,0,0,0,2
紙くず,7,1,4,1,0,0,0,0,0,0,0,0,0,0,0,1
繊維製品・しゅろほうき,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2
新聞紙・ちらし,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
その他,48,8,1,1,0,5,3,1,0,0,1,0,0,0,0,28
