消防署,4階以上の建築物数・計,"4階以上の建築物数・4階建",4階以上の建築物数・5階建,4階以上の建築物数・6階建,4階以上の建築物数・7階建,4階以上の建築物数・8階建,4階以上の建築物数・9階建,"4階以上の建築物数・10階建",4階以上の建築物数・11階建,4階以上の建築物数・12階建,4階以上の建築物数・13階建,4階以上の建築物数・14階建,4階以上の建築物数・15階建,4階以上の建築物数・16階建,4階以上の建築物数・17階建,4階以上の建築物数・18階建,4階以上の建築物数・19階建,4階以上の建築物数・20階建,4階以上の建築物数・21階建,4階以上の建築物数・22階建,4階以上の建築物数・23階建,4階以上の建築物数・24階建,4階以上の建築物数・25階建,4階以上の建築物数・26階建,4階以上の建築物数・27階建,4階以上の建築物数・28階建,4階以上の建築物数・29階建,4階以上の建築物数・30階建,4階以上の建築物数・31階建,4階以上の建築物数・32階建,4階以上の建築物数・33階建,4階以上の建築物数・34階建,4階以上の建築物数・35階建,4階以上の建築物数・36階建,4階以上の建築物数・37階建,4階以上の建築物数・38階建,4階以上の建築物数・39階建,4階以上の建築物数・40階建,4階以上の建築物数・41階建,4階以上の建築物数・42階建,4階以上の建築物数・43階建,4階以上の建築物数・44階建,4階以上の建築物数・45階建,4階以上の建築物数・46階建,4階以上の建築物数・47階建,4階以上の建築物数・48階建,4階以上の建築物数・49階建,4階以上の建築物数・50階建,4階以上の建築物数・51階建,4階以上の建築物数・52階建,4階以上の建築物数・53階建,4階以上の建築物数・54階建,4階以上の建築物数・55階建,4階以上の建築物数・56階建,4階以上の建築物数・57階建,4階以上の建築物数・58階建,4階以上の建築物数・59階建,4階以上の建築物数・60階建,地階を有する建築物数・計,地階を有する建築物数・地下１階,地階を有する建築物数・地下２階,地階を有する建築物数・地下３階,地階を有する建築物数・地下４階,地階を有する建築物数・地下５階,地階を有する建築物数・地下６階,地階を有する建築物数・地下７階,地階を有する建築物数・地下８階
日本橋,3826,306,557,499,489,486,488,433,184,174,77,67,27,5,9,6,1,5,2,2,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1748,1449,212,58,21,7,0,1,0
臨港,690,116,95,57,57,108,43,42,17,37,20,29,8,5,3,10,3,3,0,0,1,1,0,2,0,1,0,1,1,5,1,1,0,0,2,1,0,3,0,0,2,0,3,0,0,1,3,1,0,1,2,1,1,0,0,2,0,0,221,172,37,8,4,0,0,0,0
芝,3971,455,610,465,426,485,527,334,165,133,68,94,47,14,9,10,6,5,9,9,10,11,8,6,6,2,4,5,1,5,6,2,2,6,3,2,3,3,2,1,2,0,0,0,2,4,1,0,0,1,0,1,0,1,0,0,0,0,2065,1650,296,77,30,12,0,0,0
麻布,2522,574,502,312,280,251,200,115,75,59,39,51,24,3,4,7,0,4,2,0,1,1,2,0,4,2,2,0,0,1,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1803,1533,219,33,11,1,5,0,1
赤坂,1985,422,368,252,202,205,187,139,56,38,29,21,8,8,2,4,2,6,3,4,2,2,7,2,0,1,2,2,0,0,0,0,1,0,2,1,2,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1662,1357,230,59,12,3,1,0,0
高輪,1357,330,273,130,122,120,84,77,44,39,14,41,18,4,1,2,5,6,6,1,0,3,2,3,2,0,4,4,2,5,0,1,2,1,0,0,1,3,0,2,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,830,682,106,31,7,3,0,1,0
品川,2671,651,530,256,226,237,186,159,117,79,50,72,23,5,5,6,5,7,3,6,8,4,9,2,4,3,4,4,3,0,1,0,0,1,0,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,1183,184,20,6,1,1,0,1
大井,1725,459,386,195,145,136,95,68,48,49,32,62,33,1,1,4,0,3,1,0,2,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,509,465,36,4,2,0,2,0,0
荏原,2230,961,575,173,146,79,58,55,54,39,29,39,15,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,792,752,36,4,0,0,0,0,0
大森,3080,1184,715,345,246,186,110,104,74,34,32,34,10,0,1,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1020,923,85,7,4,1,0,0,0
田園調布,1932,854,494,220,158,87,43,28,19,9,5,10,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,867,819,42,6,0,0,0,0,0
蒲田,2479,873,622,275,159,157,96,91,55,47,37,38,17,2,2,3,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,519,481,30,6,2,0,0,0,0
矢口,1865,736,418,245,147,100,65,45,31,13,19,23,12,0,0,1,1,1,0,1,1,0,2,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,414,384,26,2,2,0,0,0,0
目黒,4132,1645,1062,448,340,179,126,132,62,50,28,27,14,3,2,1,2,1,0,1,1,0,2,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2389,2202,158,26,2,1,0,0,0
世田谷,4583,2066,1236,426,263,191,110,124,38,40,34,39,9,0,0,1,1,1,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2434,2312,112,8,1,1,0,0,0
玉川,2408,1046,742,241,176,87,47,25,15,9,6,5,2,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1504,1421,71,11,1,0,0,0,0
成城,1822,801,562,168,115,60,44,39,8,7,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,848,801,42,5,0,0,0,0,0
渋谷,7876,2185,1708,932,776,705,546,400,165,125,105,112,40,10,7,14,3,7,6,5,5,2,2,1,2,1,0,0,0,1,0,3,0,3,0,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5495,4665,703,89,29,3,3,3,0
四谷,2141,452,440,245,192,204,218,182,83,32,35,36,12,3,0,2,0,0,0,0,1,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1301,1099,167,33,2,0,0,0,0
牛込,2842,784,756,332,246,175,136,138,68,67,63,47,11,2,3,1,2,1,1,0,0,2,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1422,1265,132,17,6,1,0,1,0
新宿,5395,1638,1195,574,412,371,357,309,139,112,78,102,29,4,2,4,0,6,0,3,3,2,4,2,2,4,3,5,5,2,3,1,2,1,2,2,0,1,0,0,1,2,1,0,1,3,0,1,0,1,1,3,1,0,0,0,0,1,3033,2487,421,75,34,10,6,0,0
中野,2998,1176,756,264,218,174,116,112,68,46,21,26,6,0,0,4,0,1,1,1,0,2,0,0,1,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1304,1202,87,11,2,2,0,0,0
野方,1704,848,375,178,117,88,43,20,15,8,4,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,767,740,23,2,2,0,0,0,0
杉並,3329,1405,847,368,250,190,93,69,38,24,20,20,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1569,1494,66,8,1,0,0,0,0
荻窪,2253,1018,607,244,138,100,57,36,17,14,5,13,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1101,1057,40,4,0,0,0,0,0
小石川,2685,746,600,287,223,170,168,145,117,69,50,62,27,3,0,1,2,2,2,1,3,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1211,1049,134,18,5,4,1,0,0
本郷,2778,594,560,316,246,250,194,192,106,87,80,97,39,4,4,0,2,0,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1327,1167,127,23,8,2,0,0,0
豊島,3813,781,846,492,376,373,289,226,121,101,62,82,30,1,0,1,3,4,3,3,4,0,1,1,0,1,1,1,2,0,1,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1707,1519,158,26,3,1,0,0,0
池袋,2626,1008,563,286,192,180,127,119,42,36,19,29,13,0,0,1,4,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1193,1062,96,28,5,0,0,2,0
王子,1600,559,408,147,106,113,49,71,42,33,20,34,11,1,0,3,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,529,495,31,3,0,0,0,0,0
赤羽,1627,492,386,188,143,108,67,58,51,35,26,43,16,1,1,3,1,5,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,372,342,24,4,1,1,0,0,0
滝野川,1955,751,478,188,137,90,65,71,54,39,29,34,12,3,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,554,529,23,2,0,0,0,0,0
板橋,3389,1319,878,354,196,156,101,100,88,54,37,74,24,0,0,2,2,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1031,972,53,3,3,0,0,0,0
志村,3598,1364,1003,395,257,164,95,86,97,46,26,41,14,3,1,2,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1213,1123,81,8,1,0,0,0,0
練馬,2535,1031,576,303,221,144,74,76,22,23,17,39,5,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,849,804,37,8,0,0,0,0,0
光が丘,1054,355,284,140,76,54,26,28,14,11,6,53,1,0,0,0,0,0,0,0,0,1,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363,344,14,2,2,0,1,0,0
石神井,1736,696,544,181,120,97,33,30,13,5,4,4,4,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,648,624,24,0,0,0,0,0,0
上野,3678,641,751,484,395,358,299,254,132,111,93,98,47,1,0,2,3,2,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1388,1243,120,11,10,1,3,0,0
浅草,3297,633,739,408,286,266,273,228,133,92,87,99,48,1,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,871,822,38,10,1,0,0,0,0
日本堤,2068,587,446,235,148,143,127,143,76,55,57,41,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,342,17,6,1,0,0,0,0
荒川,2406,733,495,276,202,163,119,138,82,53,25,66,29,0,0,3,0,7,0,1,0,0,1,0,0,2,2,0,1,1,2,1,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,471,24,3,3,0,0,0,0
尾久,1021,391,217,103,79,57,29,51,30,22,7,16,17,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,136,5,2,1,0,1,0,0
千住,1135,402,245,113,64,64,36,33,34,42,21,52,19,0,1,1,1,0,2,1,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258,239,14,2,1,1,0,1,0
足立,3232,910,1055,340,305,198,143,104,47,32,33,49,14,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318,297,15,4,0,2,0,0,0
西新井,1312,455,384,129,98,95,52,33,29,9,2,16,6,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,156,6,3,0,0,0,0,0
本所,5695,1396,1251,685,844,374,376,280,176,137,60,78,16,1,0,3,3,0,1,3,0,1,1,0,1,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,733,680,41,10,0,2,0,0,0
向島,1218,397,248,99,105,62,112,56,31,38,21,32,11,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,159,20,3,0,0,0,0,0
深川,4639,1056,1078,573,467,368,234,232,161,131,72,135,42,2,6,2,7,10,7,5,1,4,1,1,3,0,0,1,2,6,9,0,2,6,1,0,0,1,1,1,2,3,1,0,0,2,0,0,0,2,0,1,0,0,0,0,0,0,785,687,71,18,7,2,0,0,0
城東,2801,684,608,265,210,237,163,165,136,70,65,140,34,0,3,4,3,8,1,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,467,431,32,2,2,0,0,0,0
本田,2508,1037,551,253,214,121,75,68,48,40,33,47,18,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321,299,19,3,0,0,0,0,0
金町,1355,503,383,151,102,53,33,28,24,17,16,24,15,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,208,13,6,1,0,0,0,0
江戸川,1746,669,382,182,151,98,55,65,39,26,21,41,11,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273,252,17,4,0,0,0,0,0
葛西,2508,564,474,342,316,221,141,155,95,52,37,90,14,0,0,0,2,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392,380,9,2,1,0,0,0,0
小岩,1441,579,328,156,130,64,49,44,24,19,17,20,3,0,0,3,0,1,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,236,12,4,0,0,0,0,0
受託地区,26230,9400,8537,2499,1683,1290,708,706,511,251,158,311,100,8,14,7,8,8,6,2,0,2,2,3,2,2,1,3,1,1,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10399,9684,627,67,16,5,0,0,0
立川,2584,855,859,276,178,132,92,75,21,37,18,29,7,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,942,890,48,4,0,0,0,0,0
武蔵野,1607,624,396,159,141,109,50,57,24,22,5,14,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1068,971,87,8,2,0,0,0,0
三鷹,1139,413,268,131,105,90,41,27,25,18,8,10,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,555,515,37,3,0,0,0,0,0
府中,1797,593,456,200,155,124,60,89,42,17,22,18,13,1,1,0,1,1,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,660,620,36,3,1,0,0,0,0
昭島,582,247,150,39,42,24,13,14,36,2,6,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,187,7,3,0,0,0,0,0
調布,1654,610,516,184,109,79,37,48,25,16,7,13,4,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,723,689,31,3,0,0,0,0,0
小金井,607,225,165,66,53,28,15,19,14,5,4,11,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,310,14,1,0,0,0,0,0
小平,1105,456,420,92,48,36,20,8,12,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371,358,11,1,0,1,0,0,0
東村山,809,277,270,92,48,23,23,20,24,7,6,15,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292,278,14,0,0,0,0,0,0
国分寺,784,276,228,103,50,47,24,15,9,10,2,11,3,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471,434,35,1,1,0,0,0,0
狛江,412,142,167,43,22,12,9,4,7,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,157,3,0,0,0,0,0,0
北多摩西部,599,240,193,43,23,30,21,17,12,5,1,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,151,5,1,0,0,0,0,0
清瀬,452,182,183,20,28,14,9,4,3,1,1,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,107,11,0,0,0,0,0,0
東久留米,561,129,285,38,35,18,11,20,8,9,1,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,161,2,0,0,0,0,0,0
西東京,1088,406,312,104,78,83,23,28,18,14,2,11,3,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399,371,28,0,0,0,0,0,0
八王子,3861,1370,1104,372,253,218,140,122,93,45,32,81,19,1,1,1,0,1,2,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1382,1273,90,12,6,1,0,0,0
青梅,601,272,164,62,36,23,9,10,13,6,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,224,18,2,0,1,0,0,0
町田,2369,778,1018,175,98,84,42,57,23,20,15,28,21,2,2,2,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,980,888,77,9,5,1,0,0,0
日野,1000,384,347,85,50,36,22,24,19,7,12,8,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345,316,20,8,0,1,0,0,0
福生,836,418,262,66,33,26,13,3,6,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,200,7,1,0,0,0,0,0
