,年/前年比,25,26,27,28,29,30,元,2,3,4,前年比
1,放火(疑い含む),"1,622","1,381","1,027",881,896,705,641,641,590,601,11
2,たばこ,737,710,664,586,691,651,689,508,583,569,-14
3,ガステーブル等,418,415,457,363,360,305,347,399,361,331,-30
4,大型ガスこんろ,102,110,118,110,95,98,110,72,90,96,6
5,コンセント,66,48,53,59,59,56,56,59,86,89,3
6,電気ストーブ,105,104,75,85,100,71,85,69,85,89,4
7,差込みプラグ,69,59,47,64,64,64,85,62,82,81,-1
8,コード,49,45,57,61,74,57,62,60,53,68,15
9,屋内線,46,41,46,41,40,39,56,28,42,48,6
10,配電線,32,18,36,29,33,36,38,23,29,42,13
