年次,計,１月,２月,３月,４月,５月,６月,７月,８月,９月,１０月,１１月,１２月
平成３０年・講習回数,309,19,31,27,15,32,34,27,20,22,28,34,20
平成３０年・修了証交付者数,44961,3154,3899,3732,2631,4913,4843,4272,3644,3816,3887,3772,2398
令和元年・講習回数,298,22,29,23,15,28,32,29,25,25,21,27,22
令和元年・修了証交付者数,43346,2985,3689,3673,2618,4444,4794,4502,3773,3376,3413,3442,2637
令和２年・講習回数,282,24,33,7,3,0,35,25,27,28,31,36,33
令和２年・修了証交付者数,33443,3615,3966,952,172,0,2754,2358,2578,3189,4455,4548,4856
令和３年・講習回数,340,32,33,40,21,27,28,29,24,25,26,32,23
令和３年・修了証交付者数,43640,2913,4035,5205,3107,4612,4397,3542,3345,3126,3255,3458,2645
令和４年・講習回数,327,24,31,36,23,24,28,32,18,20,31,31,29
令和４年・修了証交付者数,37083,2862,3000,3852,2625,3554,3603,3862,1364,1334,4025,3540,3462
