消防署,計,（一）・イ,（一）・ロ,（二）・イ,（二）・ロ,（二）・ハ,（二）・ニ,（三）・イ,（三）・ロ,（四）,（五）・イ,（五）・ロ,（六）・イ・（１）,（六）・イ・（２）,（六）・イ・（３）,（六）・イ・（４）,（六）・ロ・（１）,（六）・ロ・（２）,（六）・ロ・（３）,（六）・ロ・（４）,（六）・ロ・（５）,（六）・ハ・（１）,（六）・ハ・（２）,（六）・ハ・（３）,（六）・ハ・（４）,（六）・ハ・（５）,（六）ニ,（七）,（八）,（九）・イ,（九）・ロ,（十）,十一,十二・イ,十二・ロ,十三・イ,十三・ロ,十四,十五・①,十五・②,十五・③,十六・イ,十六・ロ,十六の二,十六の三,十七
三鷹,5820,0,2,0,1,0,0,0,66,131,3,2220,1,0,16,22,45,0,0,1,7,17,0,61,2,34,34,125,9,0,1,2,51,87,1,37,1,123,40,154,378,460,1680,0,0,8
府中,6929,13,2,0,3,0,0,0,76,145,18,2779,5,7,15,29,52,0,0,0,9,20,0,77,4,34,38,219,13,1,3,12,74,216,0,39,0,211,82,249,434,635,1406,0,0,9
昭島,3018,3,2,0,6,0,1,0,68,104,11,1069,3,2,10,25,19,2,0,0,1,13,1,39,2,27,19,70,1,0,4,4,18,184,1,30,0,119,21,113,245,249,525,0,0,7
調布,6875,8,2,1,2,0,0,0,92,119,6,2892,3,2,7,29,42,0,0,0,11,12,0,74,5,51,22,199,9,0,4,10,77,86,15,36,3,182,29,134,499,780,1425,0,0,7
小金井,3278,0,0,0,2,0,1,0,48,69,1,1185,2,0,8,15,16,0,0,0,7,7,0,50,3,22,12,169,33,0,0,2,33,16,0,5,0,38,10,53,169,316,978,0,0,8
小平,5176,0,0,0,5,0,0,1,96,151,4,1988,5,3,8,38,56,2,0,1,19,14,0,70,5,44,34,249,9,0,2,5,29,90,0,30,0,166,16,128,389,466,1048,0,0,5
東村山,3756,0,1,0,6,0,2,0,68,99,11,1270,15,4,11,26,27,1,0,1,7,10,1,68,1,32,24,91,4,0,0,9,41,141,0,22,0,117,47,109,273,425,790,0,0,2
国分寺,3484,0,0,0,0,0,0,0,57,82,5,1280,2,2,2,21,19,1,0,0,9,5,0,42,3,32,10,64,3,0,1,1,29,17,0,16,0,80,49,81,227,418,917,0,0,9
狛江,2576,0,0,0,1,0,0,0,22,33,4,1084,4,0,3,9,17,0,0,0,2,6,0,21,0,14,4,41,0,0,2,0,24,33,0,16,0,38,26,36,103,215,810,0,0,8
北多摩西部,4108,0,1,1,8,0,4,1,112,194,19,1004,1,1,16,41,34,0,0,1,11,14,0,53,10,44,22,97,7,0,4,4,29,367,0,30,0,254,20,168,325,337,866,0,0,8
清瀬,2305,0,0,0,3,0,0,0,47,51,0,770,6,2,20,12,14,1,0,0,10,6,0,34,5,17,20,65,4,0,0,0,33,38,0,12,0,88,29,47,179,231,556,0,0,5
東久留米,2971,0,1,0,4,0,1,0,40,117,7,979,0,0,5,18,21,0,0,0,13,7,0,29,5,26,18,91,2,0,2,0,45,124,0,24,0,147,23,100,245,263,610,0,0,4
西東京,4391,1,1,0,5,0,0,0,57,114,8,1852,2,0,9,27,40,0,0,0,5,18,0,53,2,38,29,123,1,0,2,2,40,55,0,69,0,81,21,84,185,599,864,0,0,4
八王子,13879,9,0,5,23,1,3,18,328,476,98,5403,24,23,56,86,131,1,0,7,70,83,2,133,12,150,55,658,7,0,7,12,201,691,0,135,0,393,115,495,739,1406,1809,0,0,14
青梅,4173,1,0,0,7,0,1,0,116,167,51,991,7,3,23,43,42,0,0,3,8,22,0,78,8,62,13,88,14,0,0,16,82,402,1,32,0,267,121,150,483,298,535,0,0,38
町田,9663,9,4,1,7,0,5,0,237,387,29,3625,5,18,29,66,103,0,2,1,34,57,0,129,11,89,62,370,10,0,10,7,135,221,3,60,0,210,53,261,634,1080,1678,0,0,21
日野,5076,0,1,0,4,0,1,0,63,103,3,1951,2,4,11,32,30,0,0,7,33,12,0,48,3,50,20,121,9,0,0,11,67,179,0,38,0,84,33,155,344,427,1222,0,0,8
福生,5261,2,3,0,12,0,4,2,182,236,17,1467,7,31,1,11,32,0,0,0,10,15,1,51,4,34,23,89,8,0,0,5,42,676,0,33,0,329,56,228,382,471,783,0,0,14
多摩,3563,1,0,1,2,1,2,0,35,59,3,1824,2,0,14,11,17,0,0,2,4,7,0,28,2,17,12,118,5,0,2,1,27,31,0,38,0,48,12,97,195,320,623,0,0,2
秋川,3085,0,2,1,3,0,1,1,90,127,181,420,6,12,4,16,44,0,0,0,26,19,0,38,5,42,15,100,11,3,4,7,73,338,1,18,0,315,40,126,430,185,359,0,0,22
奥多摩,444,0,0,0,0,0,0,0,26,5,179,5,0,0,0,1,5,0,0,0,2,1,0,2,0,3,0,7,4,0,2,5,5,24,0,1,0,11,10,8,96,26,8,0,0,8
