月別,計,火災・小計,火災・従事・延焼阻止,火災・従事・充水,火災・従事・残火処理,火災・従事・警戒等,火災・不従事,水災・従事,水災・不従事,訓練・放水演習,訓練・その他,その他
平成30年度,16939,14,2,0,4,8,72,1,12,5259,2988,8593
令和元年度,15348,17,7,0,4,6,90,5,3,5367,2729,7137
令和2年度,10039,13,3,0,1,9,109,0,0,781,1348,7788
令和3年度,9635,20,10,0,1,9,86,0,1,761,1664,7103
令和4年度,14182,40,17,1,7,15,74,0,0,3507,3002,7559
4月,1619,4,3,0,0,1,5,0,0,251,599,760
5月,2604,1,0,0,1,0,6,0,0,1211,604,782
6月,1624,1,1,0,0,0,8,0,0,794,274,547
7月,827,1,0,0,0,1,3,0,0,139,175,509
8月,724,0,0,0,0,0,4,0,0,75,130,515
9月,1035,0,0,0,0,0,7,0,0,232,216,580
10月,1157,6,2,0,3,1,9,0,0,353,190,599
11月,1133,6,2,0,0,4,5,0,0,228,170,724
12月,817,6,2,1,2,1,2,0,0,51,112,646
1月,705,9,6,0,1,2,7,0,0,49,122,518
2月,783,3,0,0,0,3,14,0,0,58,144,564
3月,1154,3,1,0,0,2,4,0,0,66,266,815
