消防団,団数,分団数,定員,現員,現員（女性）,分団施設,消防団用可搬ポンプ,可搬ポンプ等積載車,ホース（本）,防火服
平成30年度,58,439,16000,13415,2530,990,990,285,19800,16000
令和元年度,58,439,16000,13563,2734,990,990,300,19800,16000
令和2年度,58,439,16000,13786,2809,990,990,310,19800,16000
令和3年度,58,439,16000,13817,2875,990,990,315,19800,16000
令和4年度,58,439,16000,13865,3028,990,990,320,19800,16000
丸の内,1,2,100,102,20,2,2,2,40,100
麹町,1,3,120,99,15,3,3,3,60,120
神田,1,3,150,124,34,7,7,3,140,150
京橋,1,7,150,143,37,7,7,7,140,150
日本橋,1,7,150,156,18,7,7,3,140,150
臨港,1,4,100,83,20,4,4,2,80,100
芝,1,8,220,200,75,16,16,4,320,220
麻布,1,4,120,100,25,8,8,2,160,120
赤坂,1,3,130,113,23,6,6,2,120,130
高輪,1,4,110,107,29,9,9,3,180,110
品川,1,6,270,225,57,12,12,5,240,270
大井,1,4,200,171,48,9,9,4,180,200
荏原,1,7,230,217,42,15,15,5,300,230
大森,1,8,300,230,51,20,20,5,400,300
田園調布,1,9,300,236,56,18,18,7,360,300
蒲田,1,7,300,260,76,15,15,7,300,300
矢口,1,7,270,226,50,16,16,6,320,270
目黒,1,12,500,472,231,36,36,8,720,500
世田谷,1,18,700,739,206,50,50,12,1000,700
玉川,1,11,300,238,47,15,15,5,300,300
成城,1,7,250,264,43,20,20,4,400,250
渋谷,1,11,450,391,92,25,25,5,500,450
四谷,1,3,100,83,19,3,3,3,60,100
牛込,1,4,150,132,26,4,4,4,80,150
新宿,1,12,300,278,74,16,16,9,320,300
中野,1,8,250,204,51,16,16,7,320,250
野方,1,8,250,204,42,21,21,6,420,250
杉並,1,9,400,340,62,37,37,9,740,400
荻窪,1,7,350,264,74,16,16,5,320,350
小石川,1,6,200,176,35,8,8,3,160,200
本郷,1,6,200,186,38,7,7,3,140,200
豊島,1,7,220,207,40,9,9,3,180,220
池袋,1,6,230,208,58,12,12,3,240,230
王子,1,8,200,204,31,16,16,5,320,200
赤羽,1,7,200,185,52,18,18,3,360,200
滝野川,1,8,210,158,21,17,17,6,340,210
板橋,1,8,350,258,57,21,21,7,420,350
志村,1,10,350,327,47,27,27,10,540,350
練馬,1,8,280,259,44,17,17,4,340,280
光が丘,1,5,180,171,28,11,11,5,220,180
石神井,1,10,330,297,38,17,17,9,340,330
上野,1,8,280,245,51,16,16,8,320,280
浅草,1,4,130,111,21,5,5,3,100,130
日本堤,1,4,140,130,28,7,7,4,140,140
荒川,1,8,300,257,72,17,17,7,340,300
尾久,1,6,200,159,48,14,14,5,280,200
千住,1,8,380,354,51,17,17,8,340,380
足立,1,12,520,444,66,45,45,10,900,520
西新井,1,9,360,310,49,31,31,8,620,360
本所,1,8,300,244,39,16,16,5,320,300
向島,1,9,350,273,56,19,19,10,380,350
深川,1,10,290,267,50,20,20,6,400,290
城東,1,8,280,259,49,18,18,7,360,280
本田,1,16,700,474,97,51,51,13,1020,700
金町,1,11,500,383,72,23,23,8,460,500
江戸川,1,10,350,284,33,32,32,4,640,350
葛西,1,8,300,237,49,15,15,3,300,300
小岩,1,8,450,397,65,31,31,3,620,450
