区分,ポンプ車,化学車,特殊災害対策車,はしご車,空中作業車,屈折放水塔車,救急車,救助車,ホース延長車,送水車,10t水槽車,救援車,指揮統制車,救出救助車,水難救助車,山岳救助車,照明電源車,指揮隊車,補給車,資材搬送車,工作車,方面警防車,査察広報車,貨物車,人員輸送車,司令車,指揮車,消防艇,消防活動二輪車,その他車両
平成30年,402355,30653,1000,36935,1260,217,866909,16324,61,97,213,86,87,60,640,520,273,45594,210,401,282,813,48842,814,5260,386,870,1534,3188,1236
令和元年,413810,31775,985,36734,1267,166,889944,17103,51,68,195,85,147,99,531,333,282,47745,198,374,314,825,45822,830,5091,352,914,1566,3425,1261
令和2年,349106,27081,1027,35665,1231,169,791033,16492,70.5,70.5,130,141,281,287,532,327,353,42746,195,343,241,667,33944,486,3236,527,563,1322,2731,1766
令和3年,344577,27573,875,35031,1134,149,806350,17342,76,76,163,231,315,272,484,370,321,43154,202,365,203,706,34295,455,3766,1019,223,1209,2811,1287
令和4年,378250,31381,892,33933,1168,202,905856,18191,57,57,163,259,360,206,518,404,316,45414,245,372,224,627,37854,555,4762,346,224,1160,3673,1662
総走行距離(km),1957441,160319,19353,120031,5874,3351,10551757,164214,1830,1830,5247,6259,14790,3568,12697,10803,6012,282483,5473,7835,6623,14190,793210,20390,125799,14451,7190,17930,37928,34072
災害出場回数,202518,19871,530,2169,68,12,865144,12566,0,0,39,64,147,60,221,347,123,29383,190,107,5,80,3847,12,670,19,0,493,1094,504
火災出場回数,17483,1282,27,1972,51,8,121,1823,0,0,39,62,122,7,0,2,31,3900,172,97,0,77,1389,10,201,12,0,98,23,47
火災出場回数_附属装置の使用_出場回数,3538,349,2,99,4,4,24,45,0,0,12,22,11,1,0,0,14,168,8,18,0,5,205,1,12,3,0,10,3,9
火災出場回数_附属装置の使用_走行距離(km),18036,2087,23,544,8,68,68,333,0,0,261,1050,348,0,0,0,384,888,162,441,0,55,2685,13,141,157,0,140,0,243
火災出場回数_附属装置の使用_附属装置運用時間_ポンプ運用(時間：分）,267162,29234,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,0,0
火災出場回数_附属装置の使用_附属装置運用時間_はしご架梯(時間：分）,0,0,0,4418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
火災出場回数_附属装置の使用_附属装置運用時間_塔体運用(時間：分）,0,0,0,0,130,320,0,0,0,0,0,0,0,0,0,0,1580,0,0,0,0,0,0,0,0,0,0,0,0,0
火災出場回数_附属装置の使用_附属装置運用時間_照明作業(時間：分）,0,0,0,0,0,0,0,2065,0,0,0,0,0,0,0,0,1905,0,0,0,0,0,0,0,0,0,0,0,0,0
火災出場回数_附属装置の使用_附属装置運用時間_無線開局(時間：分）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
火災出場回数_附属装置の使用_附属装置運用時間_救援作業(時間：分）,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
火災出場回数_附属装置の使用_附属装置運用時間_その他(時間：分）,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180
火災出場回数_附属装置の未使用_出場回数,13945,933,25,1873,47,4,97,1778,0,0,27,40,111,6,0,2,17,3732,164,79,0,72,1184,9,189,9,0,88,20,38
火災出場回数_附属装置の未使用_走行距離(km),89743,6074,591,12136,232,139,777,15572,0,0,540,1670,4701,145,0,86,374,23251,3410,1649,0,1144,17265,253,2505,282,0,882,326,855
火災以外の出場回数,185035,18589,503,197,17,4,865023,10743,0,0,0,2,25,53,221,345,92,25483,18,10,5,3,2458,2,469,7,0,395,1071,457
火災以外の出場回数_附属装置の使用_出場回数,851,66,35,61,3,0,96,102,0,0,0,0,0,2,0,4,12,611,6,2,2,0,82,1,6,0,0,14,13,4
火災以外の出場回数_附属装置の使用_走行距離(km),3472,297,314,290,15,0,1126,919,0,0,0,0,0,2,0,137,210,2705,153,16,126,0,664,30,68,0,0,230,216,179
火災以外の出場回数_附属装置の使用_附属装置運用時間_ポンプ運用(時間：分）,6889,958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
火災以外の出場回数_附属装置の使用_附属装置運用時間_はしご架梯(時間：分）,0,0,0,2080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
火災以外の出場回数_附属装置の使用_附属装置運用時間_塔体運用(時間：分）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,563,0,0,0,0,0,0,0,0,0,0,0,0,0
火災以外の出場回数_附属装置の使用_附属装置運用時間_照明作業(時間：分）,0,0,0,0,0,0,0,1729,0,0,0,0,0,0,0,0,659,0,0,0,0,0,0,0,0,0,0,0,0,0
火災以外の出場回数_附属装置の使用_附属装置運用時間_無線開局(時間：分）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
火災以外の出場回数_附属装置の使用_附属装置運用時間_救援作業(時間：分）,0,0,0,0,0,0,0,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
火災以外の出場回数_附属装置の使用_附属装置運用時間_その他(時間：分）,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,0,0,0,0,0,0,0,0,70
火災以外の出場回数_附属装置の未使用_出場回数,184184,18523,468,136,14,4,864927,10641,0,0,0,2,25,51,221,341,80,24872,12,8,3,3,2376,1,463,7,0,381,1058,453
火災以外の出場回数_附属装置の未使用_走行距離(km),607054,67097,6794,894,60,52,10286977,86877,0,0,0,43,585,692,4175,8404,1170,131251,185,152,208,59,16482,17,5103,60,0,6387,14685,1073
