年,25,26,27,28,29,30,元年,2年,3年,4年
放火（疑い含む）,"1,622","1,381","1,027",881,896,705,641,641,590,601
たばこ,737,710,664,586,691,651,689,508,583,569
ガステーブル等,418,415,457,363,360,305,347,399,361,331
