発火源,火災件数
合計,3952
電気を使用する道具・装置,1567
電気を使用する道具・装置・電熱器,255
電気を使用する道具・装置・電熱器・電気こんろ,18
電気を使用する道具・装置・電熱器・電気クッキングヒーター,16
電気を使用する道具・装置・電熱器・電気ポット,5
電気を使用する道具・装置・電熱器・電気ロースター,2
電気を使用する道具・装置・電熱器・電気トースター,26
電気を使用する道具・装置・電熱器・電子ジャー・ジャー炊飯器,3
電気を使用する道具・装置・電熱器・電気オーブン,4
電気を使用する道具・装置・電熱器・ホットプレート,2
電気を使用する道具・装置・電熱器・電気なべ,4
電気を使用する道具・装置・電熱器・電気コーヒー沸器,2
電気を使用する道具・装置・電熱器・電気蒸器,2
電気を使用する道具・装置・電熱器・コーヒー焙煎器,3
電気を使用する道具・装置・電熱器・電気のり焼器,1
電気を使用する道具・装置・電熱器・電気焼鳥器,1
電気を使用する道具・装置・電熱器・電気温水機,1
電気を使用する道具・装置・電熱器・電気フライヤー,2
電気を使用する道具・装置・電熱器・電気ストーブ,60
電気を使用する道具・装置・電熱器・温風機,7
電気を使用する道具・装置・電熱器・電気こたつ,2
電気を使用する道具・装置・電熱器・電気布団,1
電気を使用する道具・装置・電熱器・カーペット類,2
電気を使用する道具・装置・電熱器・オイルヒーター,5
電気を使用する道具・装置・電熱器・電熱線,3
電気を使用する道具・装置・電熱器・電気温床線（床暖房等）,1
電気を使用する道具・装置・電熱器・電気足温器,2
電気を使用する道具・装置・電熱器・便所用温水温風機（洗浄含む）,4
電気を使用する道具・装置・電熱器・電気アイロン,1
電気を使用する道具・装置・電熱器・ヘアードライヤー,21
電気を使用する道具・装置・電熱器・鑑賞魚用ヒーター,2
電気を使用する道具・装置・電熱器・電気乾燥機,3
電気を使用する道具・装置・電熱器・サウナヒーター,4
電気を使用する道具・装置・電熱器・電気プレス器,1
電気を使用する道具・装置・電熱器・電気温水循環器,1
電気を使用する道具・装置・電熱器・電撃殺虫器,1
電気を使用する道具・装置・電熱器・電気滅菌器,2
電気を使用する道具・装置・電熱器・電気消毒器,1
電気を使用する道具・装置・電熱器・ラミネータ,3
電気を使用する道具・装置・電熱器・半田ごて,1
電気を使用する道具・装置・電熱器・電気溶接器,12
電気を使用する道具・装置・電熱器・小型電気炉,2
電気を使用する道具・装置・電熱器・投込湯沸器,12
電気を使用する道具・装置・電熱器・電気接着器,3
電気を使用する道具・装置・電熱器・電気恒温器,2
電気を使用する道具・装置・電熱器・電気工業用炉,1
電気を使用する道具・装置・電熱器・自動半田付機,1
電気を使用する道具・装置・電熱器・電気切断器（レーザー等含む）,2
電気を使用する道具・装置・電気機器,669
電気を使用する道具・装置・電気機器・電気冷蔵庫,6
電気を使用する道具・装置・電気機器・電磁調理器,36
電気を使用する道具・装置・電気機器・電子レンジ,84
電気を使用する道具・装置・電気機器・換気扇,4
電気を使用する道具・装置・電気機器・冷凍庫,8
電気を使用する道具・装置・電気機器・冷蔵ショーケース,14
電気を使用する道具・装置・電気機器・冷凍機,1
電気を使用する道具・装置・電気機器・冷水機,1
電気を使用する道具・装置・電気機器・製氷機,1
電気を使用する道具・装置・電気機器・ジューサー,6
電気を使用する道具・装置・電気機器・食器洗器,10
電気を使用する道具・装置・電気機器・電気温蔵庫,1
電気を使用する道具・装置・電気機器・扇風機,6
電気を使用する道具・装置・電気機器・冷房機,3
電気を使用する道具・装置・電気機器・冷暖房機,20
電気を使用する道具・装置・電気機器・サーキュレーター,3
電気を使用する道具・装置・電気機器・ベンチレーター,1
電気を使用する道具・装置・電気機器・空気清浄機,1
電気を使用する道具・装置・電気機器・除湿機,1
電気を使用する道具・装置・電気機器・加湿機,1
電気を使用する道具・装置・電気機器・ハロゲンヒータ－（暖房器具）,4
電気を使用する道具・装置・電気機器・カーボンヒータ,19
電気を使用する道具・装置・電気機器・白熱電球,2
電気を使用する道具・装置・電気機器・白熱灯スタンド,3
電気を使用する道具・装置・電気機器・蛍光灯,21
電気を使用する道具・装置・電気機器・ブラケット,4
