用途別,甲種防火対象物・訓練実施状況・実施対象物数,甲種防火対象物・訓練実施状況・延べ回数合計,"甲種防火対象物・訓練参加延べ人員（単位・百人）",甲種防火対象物・職員等出向・延べ件数,甲種防火対象物・職員等出向・延べ人員,乙種防火対象物・訓練実施状況・実施対象物数,乙種防火対象物・訓練実施状況・延べ回数合計,乙種防火対象物・訓練参加延べ人員（単位・百人）,乙種防火対象物・職員等出向・延べ件数,乙種防火対象物・職員等出向・延べ人員
平成30年,43864,135824,82618,8711,42911,3810,8272,2122,490,2376
令和元年,44767,143029,84127,7928,38327,4070,8831,2078,501,2284
令和2年,39384,126803,66516,3070,10318,3631,8028,1684,234,638
令和3年,41331,142119,79683,2405,11401,3762,8709,2170,210,926
令和4年,44272,155123,81147,4145,27104,3996,9469,2043,274,1652
（一）イ,63,147,42,11,60,3,5,1,1,4
（一）ロ,31,69,21,5,30,1,2,0,0,0
（二）イ,4,10,0,0,0,5,6,0,0,0
（二）ロ,266,631,43,6,42,6,12,0,1,12
（二）ハ,1,3,0,0,0,2,2,0,0,0
（二）ニ,130,297,13,0,0,14,28,1,0,0
（三）イ,17,28,1,2,4,3,3,0,0,0
（三）ロ,966,1990,138,53,575,1031,1836,86,50,238
（四）,2037,4496,570,61,607,504,860,37,44,223
（五）イ,1021,2641,131,65,178,30,50,1,1,2
（五）ロ,5822,9644,3740,296,1221,160,277,96,9,51
（六）イ（１）,176,537,292,18,91,1,1,0,0,0
（六）イ（２）,73,143,22,5,10,1,3,0,0,0
（六）イ（３）,317,1011,600,38,132,1,5,0,1,4
（六）イ（４）,173,347,82,8,21,6,9,1,0,0
（六）ロ（１）,1636,5119,953,143,435,0,0,-,0,0
（六）ロ（２）,6,45,12,3,13,0,0,-,0,0
（六）ロ（３）,2,40,23,0,0,0,0,-,0,0
（六）ロ（４）,11,115,43,0,0,0,0,-,0,0
（六）ロ（５）,119,525,217,9,29,0,0,-,0,0
（六）ハ（１）,138,331,93,8,26,48,93,14,2,7
（六）ハ（２）,10,103,23,0,0,0,0,0,0,0
（六）ハ（３）,1794,21884,16947,418,1635,150,1540,533,29,209
（六）ハ（４）,24,185,78,3,11,6,29,5,0,0
（六）ハ（５）,252,1360,580,27,86,52,178,39,2,6
（六）ニ,566,2959,4209,130,538,23,89,109,1,5
（七）,1265,4386,13807,297,1177,21,65,151,3,9
（八）,139,259,53,25,73,12,22,1,0,0
（九）イ,63,110,5,0,0,73,108,3,1,2
（九）ロ,14,22,2,1,4,21,25,0,2,5
（十）,19,75,18,2,7,52,150,27,4,16
（十一）,194,263,60,13,74,66,105,28,7,30
（十二）イ,256,482,361,32,161,30,42,18,2,2
（十二）ロ,4,7,3,2,5,1,2,3,1,4
（十三）イ,2,4,2,0,0,8,9,1,0,0
（十三）ロ,0,0,-,0,0,0,0,-,0,0
（十四）,183,335,131,8,47,20,35,23,3,14
十五①,431,878,526,73,312,27,52,8,3,10
十五②,3515,6675,4117,184,744,121,231,95,6,22
十五③,1147,2416,1042,119,725,333,1156,507,28,192
（十六）イ,19164,79494,29768,1913,16847,1067,2276,213,71,571
（十六）ロ,2204,4975,2357,159,1077,88,151,42,1,4
（十六の二）,8,62,20,4,6,0,0,-,0,0
（十七）,9,20,2,4,101,9,12,0,1,10
