消防署,クラブ数,クラブ員数,指導者数,消防少年団員数・指導者数計,消防少年団員数・学年別・小学生・小計,消防少年団員数・学年別・小学生・1年,消防少年団員数・学年別・小学生・2年,消防少年団員数・学年別・小学生・3年,消防少年団員数・学年別・小学生・4年,消防少年団員数・学年別・小学生・5年,消防少年団員数・学年別・小学生・6年,消防少年団員数・学年別・中学生・小計,消防少年団員数・学年別・中学生・1年,消防少年団員数・学年別・中学生・2年,消防少年団員数・学年別・中学生・3年,消防少年団員数・学年別・高校生・小計,消防少年団員数・学年別・高校生・1年,消防少年団員数・学年別・高校生・2年,消防少年団員数・学年別・高校生・3年,消防少年団員数・性別・男・小計,消防少年団員数・性別・男・小学生,消防少年団員数・性別・男・中学生,消防少年団員数・性別・男・高校生,消防少年団員数・性別・女・小計,消防少年団員数・性別・女・小学生,消防少年団員数・性別・女・中学生,消防少年団員数・性別・女・高校生,指導者数・指導者,指導者数・準指導者・一般,指導者数・準指導者・高校生,組織数,人員
令和元年,1554,193082,0,4369,2899,173,299,631,678,555,563,990,368,344,278,480,188,145,147,2235,1483,511,241,2134,1416,479,239,1028,947,0,81,15742
令和2年,1572,194007,0,3986,2533,79,243,494,652,590,475,1063,419,329,315,390,203,181,130,2091,1277,546,268,2019,1256,517,246,1012,973,0,81,15405
令和3年,1577,190893,0,4163,2595,200,231,552,553,565,494,1003,328,379,296,565,224,181,160,2065,1256,503,306,2098,1339,500,259,1033,833,0,81,14893
令和4年,1547,186570,0,4198,2586,155,289,508,619,517,498,1012,379,299,334,600,244,192,164,2082,1255,513,314,2116,1331,499,286,1020,825,0,81,14226
令和5年,1681,186593,0,4049,2462,161,246,523,561,534,437,965,350,350,265,622,238,215,169,1977,1207,463,307,2072,1255,502,315,1066,706,0,81,13911
特別区,1158,119464,0,3038,1885,145,216,405,409,388,322,692,260,258,174,461,180,158,123,1470,925,319,226,1568,960,373,235,709,556,0,57,11223
丸の内,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
麹町,14,1214,0,66,44,10,11,9,1,10,3,16,3,9,4,6,5,1,0,31,24,4,3,35,20,12,3,10,4,0,1,143
神田,13,950,0,33,29,10,6,2,5,4,2,4,1,3,0,0,0,0,0,16,12,4,0,17,17,0,0,8,2,0,1,262
京橋,9,675,0,93,57,3,21,15,4,6,8,18,8,5,5,18,3,14,1,45,30,8,7,48,27,10,11,17,12,0,1,50
日本橋,6,992,0,121,92,6,24,28,15,11,8,22,8,13,1,7,3,3,1,62,49,9,4,59,43,13,3,11,136,0,1,142
臨港,42,3452,0,52,37,9,4,8,4,4,8,9,2,1,6,6,3,2,1,30,24,4,2,22,13,5,4,23,6,0,1,124
芝,1,295,0,155,139,48,38,34,10,4,5,10,5,2,3,6,3,0,3,67,63,2,2,88,76,8,4,8,13,0,1,50
麻布,4,508,0,43,25,1,4,8,5,5,2,11,4,5,2,7,3,1,3,23,12,7,4,20,13,4,3,5,11,0,1,90
赤坂,3,142,0,29,21,0,6,4,4,3,4,6,0,4,2,2,1,1,0,10,7,3,0,19,14,3,2,13,0,0,1,152
高輪,3,263,0,69,54,3,6,24,4,8,9,9,5,4,0,6,6,0,0,39,33,4,2,30,21,5,4,9,4,0,1,58
品川,50,3940,0,30,20,0,1,2,8,4,5,6,5,1,0,4,3,1,0,16,12,1,3,14,8,5,1,9,0,0,1,468
大井,57,4534,0,17,4,0,0,0,2,1,1,8,4,2,2,5,3,1,1,9,2,4,3,8,2,4,2,9,1,0,1,65
荏原,9,1149,0,69,52,0,5,16,11,12,8,10,4,3,3,7,0,3,4,37,29,4,4,32,23,6,3,10,2,0,1,113
大森,57,6013,0,62,44,0,11,11,12,6,4,9,7,2,0,9,2,5,2,28,20,4,4,34,24,5,5,12,8,0,1,350
田園調布,34,4817,0,42,14,0,0,0,1,12,1,12,6,5,1,16,5,6,5,11,3,3,5,31,11,9,11,6,36,0,1,274
蒲田,17,2013,0,29,14,0,1,6,3,3,1,7,3,3,1,8,7,1,0,8,3,2,3,21,11,5,5,12,15,0,1,402
矢口,18,2018,0,49,24,0,0,5,7,3,9,15,4,5,6,10,3,5,2,23,11,7,5,26,13,8,5,13,0,0,1,166
目黒,30,3639,0,47,22,0,0,5,5,1,11,18,3,6,9,7,1,3,3,25,10,10,5,22,12,8,2,10,8,0,1,442
世田谷,22,2640,0,22,8,1,0,3,1,2,1,8,5,2,1,6,3,2,1,12,5,6,1,10,3,2,5,15,12,0,1,77
玉川,13,1468,0,48,24,0,0,0,10,6,8,15,3,5,7,9,5,2,2,23,12,10,1,25,12,5,8,12,14,0,1,103
成城,45,5789,0,79,33,0,0,0,12,11,10,27,10,7,10,19,6,11,2,24,11,9,4,55,22,18,15,7,11,0,1,77
渋谷,3,180,0,49,38,0,1,8,11,12,6,5,3,2,0,6,3,2,1,23,19,2,2,26,19,3,4,9,1,0,1,151
四谷,3,335,0,35,19,0,1,3,0,5,10,10,4,3,3,6,4,1,1,16,9,4,3,19,10,6,3,6,5,0,1,60
牛込,34,3128,0,43,34,3,6,8,6,7,4,2,0,2,0,7,0,4,3,27,21,2,4,16,13,0,3,6,0,0,1,133
新宿,48,1667,0,46,29,0,1,7,5,7,9,11,4,5,2,6,1,3,2,23,15,5,3,23,14,6,3,25,7,0,1,176
中野,6,890,0,34,23,0,5,3,5,5,5,7,3,3,1,4,2,0,2,16,11,3,2,18,12,4,2,8,71,0,1,247
野方,8,1747,0,42,27,2,0,2,12,3,8,9,4,1,4,6,4,1,1,23,13,5,5,19,14,4,1,8,6,0,1,175
杉並,4,341,0,33,16,0,1,1,2,6,6,11,3,5,3,6,4,2,0,22,11,7,4,11,5,4,2,2,3,0,1,418
