業態,火災件数・計,火災件数・建物・小計,火災件数・建物・全焼,火災件数・建物・半焼,火災件数・建物・部分焼,火災件数・建物・ぼや,火災件数・林野,火災件数・車両,火災件数・船舶,火災件数・航空機,火災件数・その他,"焼損床面積(㎡)",損害額（円）・建物(収容物含む),損害額（円）・建物以外,死者,負傷者
平成30年,3972,2696,64,87,447,2098,2,225,3,0,1046,18604,5830089126,240893724,86,798
令和元年,4085,2904,81,83,455,2285,5,206,1,0,969,18295,7510880651,178060769,108,705
令和2年,3693,2667,63,73,404,2127,1,216,0,0,809,16136,5479257521,108686656,86,710
令和3年,3935,2812,71,76,349,2316,6,215,1,0,901,16448,4016791230,191220865,86,664
令和4年,3952,2850,80,75,387,2308,3,187,3,0,909,21974,5337967144,128753344,89,742
業態別計,1359,1030,23,10,106,891,0,102,3,0,224,9538,2944124028,61509895,6,183
農業,3,1,1,0,0,0,0,0,0,0,2,36,2265500,800000,0,0
農業・農業,3,1,1,0,0,0,0,0,0,0,2,36,2265500,800000,0,0
鉱業,2,2,0,0,0,2,0,0,0,0,0,0,415000,0,0,1
鉱業・鉱業,2,2,0,0,0,2,0,0,0,0,0,0,415000,0,0,1
建設業,65,35,4,1,11,19,0,10,2,0,18,553,58703395,4132760,0,10
建設業・総合工事業,31,14,2,0,6,6,0,2,2,0,13,319,34685260,2033850,0,6
建設業・職別工事業（設備工事業を除く）,23,13,2,1,2,8,0,6,0,0,4,231,16254500,1721910,0,4
建設業・設備工事業,11,8,0,0,3,5,0,2,0,0,1,3,7763635,377000,0,0
製造業,96,86,9,3,11,63,0,2,0,0,8,4850,850094804,2730168,1,25
製造業・食料品製造業,12,10,0,0,3,7,0,1,0,0,1,17,8545118,505100,0,3
製造業・飲料・たばこ・飼料製造業,7,4,0,0,0,4,0,0,0,0,3,0,51800,102450,0,0
製造業・繊維工業（衣服，その他の繊維製品を除く）,3,3,0,1,0,2,0,0,0,0,0,104,128414080,0,0,0
製造業・木材・木製品製造業,5,3,2,0,0,1,0,1,0,0,1,303,24616180,701500,1,2
製造業・家具・装備品製造業,6,5,0,0,1,4,0,0,0,0,1,0,85240,800,0,0
製造業・パルプ・紙・紙加工品製造業,2,2,0,0,0,2,0,0,0,0,0,0,700,0,0,0
製造業・印刷・同関連業,6,5,0,1,1,3,0,0,0,0,1,403,20513100,300,0,0
製造業・化学工業,7,7,1,0,0,6,0,0,0,0,0,1904,341016729,446618,0,6
製造業・プラスチック製品製造業（別掲を除く）,6,6,2,0,0,4,0,0,0,0,0,467,69240885,36500,0,4
製造業・ゴム製品製造業,1,1,0,0,0,1,0,0,0,0,0,0,11400,0,0,0
製造業・なめし革・同製品・毛皮製造業,2,2,1,0,0,1,0,0,0,0,0,324,101989860,0,0,1
製造業・窯業・土石製品製造業,1,1,0,0,0,1,0,0,0,0,0,0,2500,0,0,0
製造業・鉄鋼業,3,3,1,0,0,2,0,0,0,0,0,415,21035346,145000,0,2
製造業・非鉄金属製造業,1,1,0,0,0,1,0,0,0,0,0,0,44350000,0,0,0
製造業・金属製品製造業,6,6,0,0,1,5,0,0,0,0,0,4,2620700,0,0,1
製造業・一般機械器具製造業,9,9,0,0,4,5,0,0,0,0,0,25,8100920,0,0,3
製造業・電気機械器具製造業,7,6,1,0,1,4,0,0,0,0,1,656,42454720,187400,0,1
製造業・情報通信機械器具製造業,3,3,0,0,0,3,0,0,0,0,0,0,59600,0,0,0
製造業・電子部品・デバイス製造業,1,1,0,0,0,1,0,0,0,0,0,0,2250000,0,0,0
製造業・輸送用機械器具製造業,5,5,1,0,0,4,0,0,0,0,0,153,15856200,604500,0,1
製造業・精密機械器具製造業,2,2,0,0,0,2,0,0,0,0,0,0,274026,0,0,0
製造業・その他の製造業,1,1,0,1,0,0,0,0,0,0,0,75,18605700,0,0,1
電気・ガス・熱供給・水道業,60,10,0,0,0,10,0,0,0,0,50,0,69150,17261990,0,3
電気・ガス・熱供給・水道業・電気業,49,3,0,0,0,3,0,0,0,0,46,0,61000,17063490,0,0
電気・ガス・熱供給・水道業・ガス業,5,4,0,0,0,4,0,0,0,0,1,0,6150,100,0,0
電気・ガス・熱供給・水道業・熱供給業,1,1,0,0,0,1,0,0,0,0,0,0,500,0,0,0
電気・ガス・熱供給・水道業・水道業,5,2,0,0,0,2,0,0,0,0,3,0,1500,198400,0,3
情報通信業,25,21,0,0,1,20,0,1,0,0,3,0,9127359,16200,0,0
情報通信業・通信業,4,2,0,0,0,2,0,0,0,0,2,0,100500,6100,0,0
情報通信業・放送業,2,1,0,0,0,1,0,1,0,0,0,0,10000,9800,0,0
情報通信業・情報サービス業,12,11,0,0,1,10,0,0,0,0,1,0,8787464,300,0,0
情報通信業・インターネット附随サービス業,3,3,0,0,0,3,0,0,0,0,0,0,31595,0,0,0
情報通信業・映像・音声・文字情報制作業,4,4,0,0,0,4,0,0,0,0,0,0,197800,0,0,0
運輸業,115,66,1,1,0,64,0,18,1,0,30,67,16931408,19403200,1,2
運輸業・鉄道業,84,52,0,0,0,52,0,4,0,0,28,0,4684905,93830,0,0
運輸業・道路旅客運送業,5,2,0,0,0,2,0,3,0,0,0,0,8300,3187900,1,0
