夏季以外順位,年月日,出場件数（件）,最低気温（℃）
1,2022-01ｰ7（金）,3140,最低気温-3.5℃（積雪9cm）
2,2019-01ｰ15（火）,2906,最低気温0.4℃
3,2019-12ｰ27（金）,2894,最低気温4.5℃
4,2018-01ｰ24（水）,2826,最低気温-1.8℃（積雪9cm）
5,2014-12ｰ30（火）,2806,最低気温0℃
