月別,計・回数,計・聴衆数,本庁行事・回数,本庁行事・聴衆数,消防署行事・回数,消防署行事・聴衆数,東京都関係・回数,東京都関係・聴衆数,官公庁行事・回数,官公庁行事・聴衆数,学校関係・回数,学校関係・聴衆数,一般・回数,一般・聴衆数
平成30年,330,389290,78,39550,70,22900,35,63500,59,60520,4,1600,84,316085
令和元年,288,504155,74,43690,57,14650,30,44450,57,39090,3,1500,67,117050
令和2年,36,260430,20,20420,8,2800,0,0,8,3050,0,0,0,0
令和3年,26,26270,12,1490,8,3470,1,3000,1,40,0,0,4,2150
令和4年,87,10150,33,10367,21,6760,0,0,11,7700,2,330,20,64540
1月,7,0,3,3450,0,0,0,0,3,1450,1,200,0,0
2月,3,0,3,100,0,0,0,0,0,0,0,0,0,0
3月,8,520,7,3310,1,60,0,0,0,0,0,0,0,0
4月,3,550,3,720,0,0,0,0,0,0,0,0,0,0
5月,5,0,1,0,1,500,0,0,0,0,0,0,3,20500
6月,4,200,2,91,1,100,0,0,0,0,0,0,1,2000
7月,7,3140,4,1506,0,0,0,0,1,0,0,0,2,900
8月,5,0,1,100,0,0,0,0,4,5600,0,0,0,0
9月,8,0,1,150,6,2300,0,0,0,0,0,0,1,0
10月,14,740,4,690,1,50,0,0,1,50,0,0,8,38500
11月,17,3870,0,0,10,3650,0,0,2,600,1,130,4,2600
12月,6,1130,4,250,1,100,0,0,0,0,0,0,1,40
