地域,救急出場件数・計,救急出場件数・交通事故,救急出場件数・火災事故,救急出場件数・運動競技事故,救急出場件数・自然災害事故,救急出場件数・水難事故,救急出場件数・労働災害事故,救急出場件数・一般負傷,救急出場件数・自損行為,救急出場件数・加害,救急出場件数・急病,救急出場件数・転院搬送,救急出場件数・資器材等輸送,救急出場件数・医師搬送,救急出場件数・その他,救護人員・総数,救護人員・交通事故,救護人員・火災事故,救護人員・運動競技事故,救護人員・自然災害事故,救護人員・水難事故,救護人員・労働災害事故,救護人員・一般負傷,救護人員・自損行為,救護人員・加害,救護人員・急病,救護人員・転院搬送
全庁計,872075,41101,3354,4616,8,565,5241,150587,6664,5257,599469,42990,712,181,11330,710381,36767,584,4551,4,263,5146,129964,4544,3723,483190,41645
特別区,633581,29257,2469,3077,5,436,3981,108592,4682,4233,435996,31636,569,136,8512,513399,26027,420,3025,3,193,3911,93503,3206,2968,349515,30628
千代田区,12585,632,63,89,0,2,185,2343,73,112,8295,623,7,0,161,10536,574,8,85,0,2,182,2067,58,79,6878,603
中央区,14332,727,55,44,0,12,155,2354,81,100,9339,1290,0,0,175,12110,677,7,43,0,3,153,2120,50,73,7815,1169
港区,22938,1179,114,104,1,13,304,4077,141,280,15483,909,7,0,326,19009,1072,18,102,0,7,295,3606,88,197,12743,881
新宿区,36163,1348,157,184,0,6,250,6107,413,600,24461,1898,17,1,721,26706,1162,14,182,0,2,248,5037,286,377,17571,1827
文京区,13781,537,41,105,0,7,69,2330,92,63,8704,1670,6,0,157,11556,481,6,103,0,4,67,2083,67,50,7107,1588
台東区,19258,815,71,61,0,15,130,3556,161,195,13399,596,2,0,257,14878,670,17,61,0,7,129,2957,120,133,10201,583
墨田区,19114,877,67,78,0,26,113,3193,110,132,12798,1494,7,2,217,15932,780,14,76,0,14,110,2762,78,99,10543,1456
江東区,32071,1636,110,191,1,44,325,5328,172,185,21970,1551,12,96,450,26442,1491,15,191,1,20,329,4619,119,132,18016,1509
品川区,23929,1036,122,122,0,6,152,4254,141,140,16364,1273,3,0,316,20094,911,31,121,0,4,146,3732,105,99,13714,1231
目黒区,15550,748,81,73,0,2,88,2836,118,83,10506,782,28,1,204,12842,668,20,72,0,2,88,2528,82,64,8552,766
大田区,43440,2181,160,185,1,45,319,7689,293,204,29967,1868,27,7,494,36388,1947,35,184,0,13,308,6685,202,156,25022,1836
世田谷区,48574,2351,154,414,0,22,234,8720,311,218,33327,2009,155,13,646,39376,2075,31,412,0,10,229,7548,203,169,26729,1970
渋谷区,21016,1073,91,141,0,0,242,3692,152,247,14087,926,18,13,334,16434,953,20,137,0,,237,3190,101,169,10729,898
中野区,19927,685,87,71,1,4,71,3383,166,112,14283,754,5,0,305,15823,602,11,68,1,2,67,2879,121,75,11270,727
杉並区,30128,1417,114,146,0,12,127,5411,234,148,21036,935,76,2,470,24529,1290,18,143,0,6,127,4681,154,104,17088,918
豊島区,22132,829,92,112,0,5,129,3966,205,202,15493,782,3,0,314,17254,714,14,112,0,4,129,3358,144,132,11886,761
北区,24366,845,90,124,0,26,92,4129,184,113,17247,1213,11,0,292,19906,771,17,121,0,11,90,3567,121,92,13944,1172
荒川区,14476,573,55,37,0,7,63,2433,98,80,10150,744,62,0,174,11621,489,7,34,0,3,63,2078,72,56,8085,734
板橋区,36150,1560,160,139,0,23,180,5778,312,171,25406,1942,37,0,442,29332,1417,24,133,0,11,177,4993,212,134,20311,1920
練馬区,41072,1910,150,136,0,23,150,6984,316,170,28513,2209,27,0,484,33761,1692,21,136,0,11,147,6061,211,118,23197,2167
足立区,50057,2647,148,184,0,46,263,7933,383,291,34377,3145,29,1,610,40965,2379,22,180,0,22,259,6809,251,199,27839,3005
葛飾区,31058,1551,138,136,0,29,131,5098,209,158,21519,1755,11,0,323,25296,1362,29,136,0,13,128,4342,149,108,17363,1666
江戸川区,41464,2100,149,201,1,61,209,6998,317,229,29272,1268,19,0,640,32609,1850,21,193,1,22,203,5801,212,153,22912,1241
受託地区,238245,11806,883,1539,3,128,1259,41992,1981,1024,163469,11173,143,27,2818,196909,10708,164,1526,1,70,1234,36459,1337,755,133673,10982
八王子市,34139,1723,138,251,0,13,224,5840,329,168,23317,1687,63,0,386,28085,1583,36,248,0,8,223,5115,226,129,18872,1645
立川市,13167,594,65,92,0,4,91,2274,107,64,9012,683,8,19,154,11066,523,9,94,0,2,88,1979,67,50,7576,678
武蔵野市,8737,362,35,78,0,1,37,1625,35,46,5665,742,4,0,107,7076,311,8,78,0,1,37,1382,25,22,4478,734
三鷹市,10031,481,47,59,0,4,49,1789,88,27,6826,561,0,0,100,8266,422,10,61,0,3,49,1537,62,19,5551,552
青梅市,7131,409,40,31,0,9,51,1212,77,32,4823,361,0,0,86,6074,394,8,30,0,2,51,1079,51,24,4084,351
府中市,13837,688,47,102,2,12,57,2318,116,55,9488,764,4,5,179,11492,617,8,99,0,8,57,2040,76,38,7804,745
昭島市,6832,432,12,33,0,1,37,1102,65,24,4764,276,0,0,86,5624,417,1,35,0,0,36,962,49,21,3837,266
調布市,12690,620,47,166,0,4,62,2310,108,63,8581,569,1,0,159,10297,540,5,165,0,2,60,1943,69,41,6909,563
町田市,24628,1237,78,142,1,5,111,4538,214,123,17008,824,17,0,330,19813,1115,16,135,1,2,110,3863,142,82,13538,809
小金井市,6025,275,22,42,0,1,21,1042,54,29,4161,318,2,1,57,4992,264,5,42,0,1,20,923,40,24,3360,313
小平市,10969,507,38,40,0,5,61,1899,73,20,7487,709,21,0,109,9264,441,4,39,0,5,57,1684,50,15,6269,700
日野市,9445,384,29,51,0,14,45,1714,72,32,6609,377,3,0,115,7932,352,5,51,0,9,42,1509,50,28,5518,368
東村山市,9933,411,34,26,0,11,31,1738,66,42,7081,377,0,0,116,8146,368,6,24,0,4,31,1499,42,34,5766,372
国分寺市,6203,258,27,36,0,2,41,1141,46,23,4438,105,0,0,86,5095,229,4,36,0,1,39,983,34,16,3649,104
