消防署,木造・防火造・準耐火造・計画件数,木造・防火造・準耐火造・棟数,"木造・防火造・準耐火造・建築面積(㎡)","木造・防火造・準耐火造・延べ面積（㎡）",耐火造・計画件数,耐火造・棟数,"耐火造・建築面積(㎡)","耐火造・延べ面積（㎡）","危険物等関係施設・計画件数","危険物等関係施設・棟数","放射性物質関係施設・計画件数","放射性物質関係施設・棟数",その他の対象物計画件数
計,55,60,35423.87,52742.61,3083,3189,10344807.75,75573181.98,88,94,65,76,239
特別区,35,36,22619.46,34867.62,2252,2296,7502332.81,64430661.07,66,71,52,62,177
丸の内,0,0,0,0,71,71,325564.64,5471402.44,4,4,0,0,10
麹町,1,1,1625,1928,51,51,191733.42,2240248.27,0,0,0,0,3
神田,0,0,0,0,38,38,88761.39,1224287.97,0,0,1,1,8
京橋,1,1,1462,2278,74,74,125406.3,1688872.62,1,1,2,2,1
日本橋,0,0,0,0,49,49,133644.38,2122839.86,0,0,0,0,3
臨港,0,0,0,0,38,38,103722.04,1468080.21,0,0,0,0,0
芝,0,0,0,0,60,62,362844.77,4488441.86,7,7,0,0,2
麻布,0,0,0,0,46,46,142233.07,1740266.07,0,0,0,0,0
赤坂,1,1,168,398.94,48,48,196182.18,2774833.45,0,0,0,0,3
高輪,0,0,0,0,49,49,194501.36,2358079.85,0,0,3,3,2
品川,0,0,0,0,50,50,252462.37,3152048.78,7,7,0,0,4
大井,0,0,0,0,31,33,105883.76,709444.65,1,1,0,0,3
荏原,1,1,102,204,15,17,35299.38,262055.07,0,0,0,0,1
大森,0,0,0,0,58,58,211513.85,1011545.57,1,1,0,0,23
田園調布,0,0,0,0,18,18,33512.1,172110.94,1,1,0,0,1
蒲田,0,0,0,0,48,48,545796.55,2204712.73,3,3,0,0,1
矢口,0,0,0,0,27,27,38278.62,202717.82,0,0,0,0,12
目黒,0,0,0,0,26,30,79383.33,568647.87,0,0,6,15,2
世田谷,1,1,309,320,30,31,65929.58,349353.79,1,1,1,1,4
玉川,1,1,789,473,13,13,52794.96,375035.46,0,0,0,0,3
成城,0,0,0,0,39,41,88896.92,380440.46,0,0,0,0,2
渋谷,2,2,2449,2528,99,100,358877.9,3508563.9,0,0,1,1,4
四谷,1,1,480,480,39,39,51931.51,482266.32,0,0,4,4,0
牛込,1,1,588.23,769.28,30,33,93333.43,620306.43,3,6,2,2,0
新宿,0,0,0,0,152,152,414310.17,6638555.6,0,0,0,0,2
中野,0,0,0,0,30,31,73450.84,674744.38,0,0,0,0,1
野方,0,0,0,0,18,18,31670.44,169959.97,1,1,0,0,0
杉並,0,0,0,0,29,29,63138.48,267868.8,2,2,0,0,0
荻窪,0,0,0,0,26,26,44505.2,204445.55,0,0,0,0,2
小石川,3,3,1679.69,2201.36,42,42,168407.24,1140379.86,0,0,2,3,2
本郷,2,2,1161.5,2629,32,33,117462.65,949565.98,6,6,23,23,6
豊島,1,1,317.16,317.16,44,44,120724.16,1573636.64,0,0,0,0,1
池袋,2,2,3514.57,7502.26,42,42,83100.85,705366.68,0,0,1,1,1
王子,0,0,0,0,17,17,55496.82,209268.05,1,1,0,0,1
赤羽,0,0,0,0,27,28,71704.29,368802.05,4,4,1,1,0
滝野川,0,0,0,0,10,10,17147.3,87876.23,1,1,0,0,0
板橋,0,0,0,0,22,23,66189.06,408581.09,2,2,0,0,0
志村,0,0,0,0,68,68,137568.93,502447.76,2,2,1,1,5
練馬,0,0,0,0,27,27,26257.19,167855.74,0,0,0,0,3
光が丘,1,1,748.22,1268.86,21,21,67442.32,357763.5,0,0,0,0,0
石神井,2,2,312,516,51,57,104085.83,420021.52,0,0,0,0,3
上野,6,7,3757,6303,26,28,89719.6,427158.14,0,0,0,0,0
浅草,0,0,0,0,12,12,6729.64,69913.79,0,0,0,0,0
日本堤,2,2,455,869,22,22,36493.86,274553.42,0,0,0,0,0
荒川,2,2,800,1615,26,27,39074.76,347288.21,1,1,0,0,1
尾久,0,0,0,0,11,11,12341.54,51267,0,0,0,0,2
千住,0,0,0,0,26,26,79435.58,420076.83,1,1,0,0,2
足立,2,2,1199.92,1173.35,54,59,113294.36,435740.3,0,0,0,0,7
西新井,0,0,0,0,46,46,94751.67,394192.92,2,4,0,0,5
本所,0,0,0,0,20,21,95202.04,575514.35,0,0,0,0,22
向島,0,0,0,0,23,23,54302.52,358293.32,1,1,0,0,0
深川,1,1,418,822,94,94,778031.37,4070541.42,9,9,2,2,9
城東,0,0,0,0,36,37,151089.57,906394.49,3,3,1,1,4
本田,0,0,0,0,34,34,73023.25,292343.59,0,0,0,0,0
金町,0,0,0,0,27,30,93059.76,415080.77,1,1,1,1,4
江戸川,1,1,284.17,271.41,37,37,52951.12,221893.97,0,0,0,0,0
葛西,0,0,0,0,32,32,127512.87,550441.45,0,0,0,0,1
小岩,0,0,0,0,21,25,64169.72,196225.31,0,0,0,0,1
受託地区,20,24,12804.41,17874.99,831,893,2842474.94,11142520.91,22,23,13,14,62
立川,0,0,0,0,56,56,230674.78,1167821.13,0,0,0,0,4
武蔵野,0,0,0,0,38,38,96314.67,638552.68,1,1,0,0,4
三鷹,0,0,0,0,18,20,44707.53,205909.88,0,0,0,0,0
府中,0,0,0,0,50,50,206157.14,965199.72,0,0,1,1,5
昭島,0,0,0,0,27,28,123777.27,429503.81,0,0,0,0,0
調布,1,2,1192,1654,45,45,153399.21,644649.75,1,1,0,0,1
小金井,2,2,1683,2911,20,20,53523.93,335429.69,2,2,1,1,0
小平,1,1,1399,1399,27,33,81034.47,261201.98,2,3,1,1,1
東村山,5,5,2691.91,4113.24,35,48,92482.14,301251.48,1,1,2,2,1
国分寺,1,1,291,291,23,23,55832.39,290953.98,1,1,0,0,1
狛江,0,0,0,0,10,10,26872.08,94727.32,0,0,1,1,1
北多摩西部,2,2,1109,1839,22,24,113931.7,318430.49,0,0,0,0,4
清瀬,0,0,0,0,20,23,68179.79,190079.45,0,0,0,0,0
東久留米,0,0,0,0,19,21,80649.34,261393.89,0,0,0,0,0
西東京,0,0,0,0,33,33,73294.62,340093.55,2,2,0,0,0
八王子,3,6,1419.5,2010.75,101,114,337587.54,1346586.67,3,3,4,5,2
青梅,0,0,0,0,40,40,80990.92,254805.13,1,1,0,0,3
町田,2,2,473,657,80,86,211247.75,786108.71,3,3,1,1,19
日野,1,1,320,320,31,37,194958.61,544970.11,0,0,2,2,1
福生,0,0,0,0,38,38,127592.56,342345.36,4,4,0,0,1
多摩,0,0,0,0,43,47,209839.74,938160.64,0,0,0,0,0
秋川,2,2,2226,2680,50,54,169735.95,463672.89,0,0,0,0,8
奥多摩,0,0,0,0,5,5,9690.81,20672.6,1,1,0,0,6
