年次,計,計（うち自損放火）,建物・小計,建物・小計（うち自損放火）,建物・全焼,建物・全焼（うち自損放火）,建物・半焼,建物・半焼（うち自損放火）,建物・部分焼,建物・部分焼（うち自損放火）,建物・ぼや,建物・ぼや（うち自損放火）,林野,林野（うち自損放火）,車両,車両（うち自損放火）,船舶,船舶（うち自損放火）,航空機,航空機（うち自損放火）,その他,その他（うち自損放火）
平成30年,86,12,80,6,14,0,10,1,48,4,8,1,0,0,0,0,0,0,0,0,6,6
令和元年,108,17,103,12,25,4,17,0,50,7,11,1,0,0,1,1,0,0,0,0,4,4
令和2年,86,10,81,5,30,0,14,1,30,1,7,3,0,0,1,1,0,0,0,0,4,4
令和3年,86,14,79,8,23,1,15,0,39,7,2,0,0,0,1,1,0,0,0,0,6,5
令和4年,89,14,80,7,24,1,16,1,31,4,9,1,0,0,1,1,0,0,0,0,8,6
