時間帯(時台),出場件数,構成比
0,26795,3.1
1,22292,2.6
2,19664,2.3
3,17793,2.0
4,17270,2.0
5,19641,2.3
6,24023,2.8
7,30682,3.5
8,39829,4.6
9,48514,5.6
10,51048,5.9
11,48542,5.6
12,47698,5.5
13,46930,5.4
14,45157,5.2
15,44611,5.1
16,45377,5.2
17,45034,5.2
18,44513,5.1
19,42509,4.9
20,40626,4.7
21,37911,4.3
22,34849,4.0
23,30767,3.5
合計,872075,100
