出火階,火災件数計,火災件数・地下階層・地下1階,火災件数・地下階層・地下2階,火災件数・地下階層・地下3階,火災件数・地下階層・地下4階,火災件数・地下階層・地下5階,"火災件数・地下階層・地下6階以上","火災件数・地上階層・地上階なし",火災件数・地上階層・1階建,火災件数・地上階層・2階建,火災件数・地上階層・3階建,火災件数・地上階層・4階建,火災件数・地上階層・5階建,火災件数・地上階層・6階建,火災件数・地上階層・7階建,火災件数・地上階層・8階建,火災件数・地上階層・9階建,火災件数・地上階層・10階建,火災件数・地上階層・11階建,火災件数・地上階層・12階建,火災件数・地上階層・13階建,火災件数・地上階層・14階建,火災件数・地上階層・15階以上,火災件数・焼損程度・全焼,火災件数・焼損程度・半焼,部分焼,ぼや,焼損棟数,り災世帯数,り災人員,焼損床面積（㎡）,損害額（円）,死者,負傷者
平成30年,755,440,143,59,67,36,10,1,5,33,59,49,55,47,45,58,53,33,40,18,20,32,207,-,3,69,683,762,257,483,1455,2960909311,13,190
令和元年,898,487,197,88,74,38,14,4,9,34,67,50,59,61,56,66,63,45,32,24,22,36,270,3,3,83,809,915,286,547,1517,805188338,9,121
令和2年,787,463,142,90,57,28,7,3,17,36,44,60,55,64,50,44,54,41,23,21,19,41,215,1,3,63,720,795,276,529,3651,2865722988,3,94
令和3年,862,493,155,99,70,33,12,1,15,51,48,50,53,52,56,71,78,47,30,19,14,37,240,2,2,48,810,866,270,544,646,1100536541,1,104
令和4年,834,437,194,89,72,27,15,4,16,30,50,45,70,74,64,45,53,46,23,25,22,32,235,0,1,61,772,844,286,605,785,707071169,6,124
55階,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,700,0,0
52階,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,1830,0,0
48階,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,2,0,14400,0,0
46階,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0
44階,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,1000,0,0
42階,4,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,4,0,0,0,1900,0,0
39階,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,800,0,0
38階,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,1,4,0,733,0,0
37階,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,1,2,0,1110,0,0
35階,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,20900,0,1
34階,4,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,4,1,5,0,269400,0,0
32階,4,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,4,0,0,0,7700,0,0
31階,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,3,0,9500,0,0
30階,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,3880,0,0
29階,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1890,0,0
28階,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,800,0,0
27階,3,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,67100,0,0
26階,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,900,0,0
25階,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,102800,0,1
24階,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,532000,0,0
23階,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,4100,0,0
22階,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,2,0,0,0,188300,0,0
21階,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,1,1,0,5930,0,0
20階,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,3400,0,0
19階,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,12519,0,0
18階,5,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,4,5,2,6,0,4759500,0,4
17階,5,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,5,2,7,0,85740,0,0
16階,4,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,4,0,0,0,54000,0,0
15階,7,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,7,0,0,0,39500,0,2
14階,11,2,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,11,11,5,12,0,83840,0,1
13階,8,3,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,0,0,1,7,8,7,20,0,3230510,0,3
12階,13,4,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,8,0,0,0,13,13,4,9,0,126843,0,1
11階,17,4,8,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,2,9,0,0,0,17,17,8,16,0,1090460,0,3
10階,10,4,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,5,0,0,1,9,10,5,10,0,426700,0,0
9階,16,10,2,3,1,0,0,0,0,0,0,0,0,0,0,0,4,3,1,2,1,2,3,0,0,1,15,16,7,25,16,2833160,0,3
8階,18,12,3,2,1,0,0,0,0,0,0,0,0,0,0,5,1,1,4,3,0,2,2,0,0,2,16,18,7,19,2,10264650,0,4
7階,28,17,5,4,0,1,1,0,0,0,0,0,0,0,2,7,2,2,0,0,2,3,10,0,0,2,26,28,44,86,90,71855999,2,7
6階,34,21,9,4,0,0,0,0,0,0,0,0,0,6,7,4,3,4,1,1,0,0,8,0,0,4,30,34,14,23,5,8198080,0,8
5階,31,17,9,0,4,1,0,0,0,0,0,0,6,4,5,2,4,2,0,1,1,1,5,0,0,1,30,31,12,21,2,2445435,0,3
4階,64,46,14,2,1,1,0,0,0,0,1,4,17,5,4,6,5,6,2,2,2,3,7,0,0,10,54,64,44,82,108,58334715,2,14
3階,85,59,17,4,4,0,1,0,0,0,7,13,6,13,11,4,6,9,0,1,2,0,13,0,0,7,78,86,34,85,79,116315850,0,18
2階,108,71,24,5,6,1,1,0,0,7,15,13,11,9,10,4,4,6,5,3,0,6,15,0,1,10,97,114,46,90,173,63636298,0,9
1階,174,119,29,13,10,0,3,0,1,16,18,11,22,28,16,9,11,8,4,3,3,4,20,0,0,15,159,177,31,60,168,159858148,2,33
地下1階,97,45,23,13,8,6,2,2,6,6,8,3,7,7,8,3,11,2,2,3,4,2,23,0,0,4,93,97,6,14,22,13782138,0,8
地下2階,29,0,13,12,3,0,1,1,5,1,0,1,1,2,1,1,2,2,1,1,1,0,9,0,0,1,28,29,1,2,120,179371976,0,1
地下3階,13,0,0,3,9,1,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,13,13,0,0,0,8950935,0,0
地下4階,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,15000,0,0
地下5階,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,3,3,0,0,0,12500,0,0
地下6階,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,45600,0,0
