"年月[西暦]","回収方法","種類","回収量[kg]","対前年同月比[%]"
201704,"集積所回収","資源プラスチック",213510,-6
201704,"集積所回収","古紙",593830,-5
201704,"集積所回収","びん・缶",350933,-4
201704,"集積所回収","ペットボトル",87320,+4
201704,"拠点回収","紙パック",140,-18
201704,"拠点回収","使用済み乾電池",0,"-"
201704,"拠点回収","使用済み小型家電製品",133,-6
201704,"拠点回収","古着",4784,+27
201704,"拠点回収","蛍光灯",9,-36
201704,"拠点回収","ペットボトルキャップ",42,+10
201704,"拠点回収","廃食用油",0,"-"
201704,"ピックアップ回収","金属製品等(不燃ごみからの回収)",48980,+5
201704,"ピックアップ回収","コード類(不燃ごみからの回収)",2660,-23
201704,"ピックアップ回収","蛍光灯(不燃ごみからの回収)",1437,"-"
201704,"ピックアップ回収","金属製品等(粗大ごみからの回収)",27010,+14
201704,"ピックアップ回収","羽毛布団(粗大ごみからの回収)",0,"-"
201704,"ピックアップ回収","ふとん(粗大ごみからの回収)",0,"-"
201704,"ピックアップ回収","木材(粗大ごみからの回収)",28010,+48
201705,"集積所回収","資源プラスチック",222440,+1
201705,"集積所回収","古紙",597790,-2
201705,"集積所回収","びん・缶",370851,+2
201705,"集積所回収","ペットボトル",100180,+11
201705,"拠点回収","紙パック",100,-17
201705,"拠点回収","使用済み乾電池",1967,+9
201705,"拠点回収","使用済み小型家電製品",179,+16
201705,"拠点回収","古着",5915,-7
201705,"拠点回収","蛍光灯",6,-63
201705,"拠点回収","ペットボトルキャップ",38,+18
201705,"拠点回収","廃食用油",0,"-"
201705,"ピックアップ回収","金属製品等(不燃ごみからの回収)",50230,+11
201705,"ピックアップ回収","コード類(不燃ごみからの回収)",3180,"-"
201705,"ピックアップ回収","蛍光灯(不燃ごみからの回収)",3042,"-"
201705,"ピックアップ回収","金属製品等(粗大ごみからの回収)",26950,+3
201705,"ピックアップ回収","羽毛布団(粗大ごみからの回収)",0,"-"
201705,"ピックアップ回収","ふとん(粗大ごみからの回収)",0,"-"
201705,"ピックアップ回収","木材(粗大ごみからの回収)",30460,+52
201706,"集積所回収","資源プラスチック",206470,-5
201706,"集積所回収","古紙",568700,-4
201706,"集積所回収","びん・缶",350777,-4
201706,"集積所回収","ペットボトル",102910,+6
201706,"拠点回収","紙パック",110,+10
201706,"拠点回収","使用済み乾電池",0,"-"
201706,"拠点回収","使用済み小型家電製品",169,+77
201706,"拠点回収","古着",3570,+40
201706,"拠点回収","蛍光灯",6,-40
201706,"拠点回収","ペットボトルキャップ",52,+4
201706,"拠点回収","廃食用油",0,"-"
201706,"ピックアップ回収","金属製品等(不燃ごみからの回収)",45820,+9
201706,"ピックアップ回収","コード類(不燃ごみからの回収)",3410,+23
201706,"ピックアップ回収","蛍光灯(不燃ごみからの回収)",1751,-14
201706,"ピックアップ回収","金属製品等(粗大ごみからの回収)",28830,+2
201706,"ピックアップ回収","羽毛布団(粗大ごみからの回収)",0,"-"
201706,"ピックアップ回収","ふとん(粗大ごみからの回収)",0,"-"
201706,"ピックアップ回収","木材(粗大ごみからの回収)",28850,+7
201707,"集積所回収","資源プラスチック",207590,-3
201707,"集積所回収","古紙",588570,-2
201707,"集積所回収","びん・缶",350167,-3
201707,"集積所回収","ペットボトル",111000,+11
201707,"拠点回収","紙パック",150,-25
201707,"拠点回収","使用済み乾電池",0,"-"
201707,"拠点回収","使用済み小型家電製品",151,+52
