委員会,区分,現員数[人]
常任委員会,企画総務,8
常任委員会,区民文教,8
常任委員会,産業都市,8
常任委員会,福祉保健,8
議会運営委員会,,9
特別委員会,都市開発･災害対策,10
特別委員会,行財政改革等,10
特別委員会,観光対策等調査,12
特別委員会,予算,16
特別委員会,決算,16
