区分,,平成24年,平成25年,平成26年,平成27年,平成28年,関係課
町会・自治会,,167,167,168,168,169,区民活動推進課
社会教育関係登録団体,青少年団体,246,217,172,165,170,生涯学習課
社会教育関係登録団体,その他の団体,634,562,471,388,389,生涯学習課
社会教育関係登録団体,計,880,779,643,553,559,生涯学習課
防火協会,,2,2,2,2,2,防災課
消防団,団体数,2,2,2,2,2,防災課
消防団,定数,650,650,650,650,650,防災課
消防団,現員数,592,568,566,538,535,防災課
防犯協会,,2,2,2,2,2,安全支援課
交通安全協会,,2,2,2,2,2,土木管理課
老人クラブ,団体数,151,153,154,151,152,高齢者福祉課
老人クラブ,会員数,13452,13678,13404,13119,12865,高齢者福祉課
保健衛生協力員会,団体数,2,2,2,2,2,"向島・本所保健
センター"
保健衛生協力員会,会員数,176,177,176,174,175,"向島・本所保健
センター"
