,議員数　条例定数,議員数　現員数,所属会派等議員数　墨田区議会自由民主党,所属会派等議員数　墨田区議会公明党,所属会派等議員数　日本共産党墨田区議会議員団,所属会派等議員数　地域連合「すみだの絆」,所属会派等議員数　墨田区議会民進党,所属会派等議員数　墨田オンブズマン,所属会派等議員数　新しいすみだ,所属会派等議員数　墨田区議会民進党墨田の会
合計,32,32,13,7,5,2,2,1,1,1
男性,,22,9,4,4,2,1,1,,1
女性,,10,4,3,1,,1,,1,
