区分,,委員数[人]法定数,委員数[人]現員数,平成27年度開催回数
教育委員会,,4,4,31
選挙管理委員会,,4,4,20
監査委員,識見者,2,2,
監査委員,議員,1,1,
監査委員,計,3,3,46
