,魚町・南町地区,鹿折地区,南気仙沼地区
事業認可,平成26年3月27日第3回平成28年（変更認可8月5日）,平成25年3月28日第3回平成28年（変更認可5月30日）,平成25年3月28日(変更認可第3回平成28年5月30日）
地区面積（ha）,11.3,42.0,32.5
計画人口(人),527,約2500,約2400
施行期間,平成26年3月28日～平成31年3月31日,平成25年3月29日～平成30年3月31日,平成25年3月29日～平成30年3月31日
事業費(億円),163.1,170.5,214.2
