年次,Year,月次,Month,区分,Classification,総数 Total,北海道 Hokkaido,九州 Kyushu,四国 Shikoku,沖縄 Okinawa,伊豆諸島 Izu islands,伊豆諸島 Izu islands／うち of which／大島 Oshima,伊豆諸島 Izu islands／うち of which／三宅島 Miyakejima,伊豆諸島 Izu islands／うち of which／八丈島 Hachijojima,小笠原 Ogasawara,その他 Others,外国 Overseas
平成19,2007,,,総数, Total,1596778,8,27179,-,2518,530725,251133,93943,23249,51473,980108,4767
平成20,2008,,,総数, Total,1619739,-,22334,-,2337,510394,248050,84981,21038,54246,1030326,102
平成21,2009,,,総数, Total,1587819,-,20021,-,2164,535777,249432,86726,24172,48639,980123,1095
平成22,2010,,,総数, Total,1671311,-,18835,-,2065,512813,253790,84985,22719,47584,1088601,1413
平成23,2011,,,総数, Total,1517014,-,23315,-,1931,458233,231269,75137,22906,55833,977667,35
平成23,2011,1,Jan.,総数, Total,70057,-,825,-,78,27248,18576,4910,794,3324,38582,-
平成23,2011,2,Feb.,総数, Total,72662,-,578,-,53,26272,19079,3631,1117,3035,42724,-
平成23,2011,3,Mar.,総数, Total,53341,-,1905,-,384,22833,15104,4292,696,3819,24400,-
平成23,2011,4,Apr.,総数, Total,55905,-,2337,-,210,23098,12503,4608,1007,2590,27670,-
平成23,2011,5,May,総数, Total,101205,-,2972,-,126,35834,15867,6310,2389,3627,58646,-
平成23,2011,6,June,総数, Total,86782,-,1830,-,134,30990,15541,7135,1693,3545,50283,-
平成23,2011,7,July,総数, Total,204009,-,1926,-,242,49542,21142,6759,2250,6035,146264,-
平成23,2011,8,Aug.,総数, Total,304474,-,4904,-,193,105734,40390,11961,6920,9453,184190,-
平成23,2011,9,Sept.,総数, Total,197480,-,1437,-,117,43706,18219,6551,2761,5958,146262,-
平成23,2011,10,Oct.,総数, Total,134365,-,1345,-,122,37019,19365,8199,1249,5171,90705,3
平成23,2011,11,Nov.,総数, Total,119888,-,1635,-,153,27758,16734,5345,1185,4302,86040,-
平成23,2011,12,Dec.,総数, Total,116846,-,1621,-,119,28199,18749,5436,845,4974,81901,32
平成19,2007,,,乗船者, Boarding passengers,853598,5,13730,-,1570,277672,126252,47610,14256,25952,532790,1879
平成20,2008,,,乗船者, Boarding passengers,886404,-,11524,-,1377,268401,123490,46392,13149,30255,574755,92
