年次(平成),Year,地域階層,地域コード,地域,District,総数 Total,個人 Individual management,会社 Companies,漁業協同組合 Fishery cooperatives,その他 Others
10,1998,0,13000,総数,Tokyo-to,1037,1013,9,4,11
15,2003,0,13000,総数,Tokyo-to,804,784,7,4,9
20,2008,0,13000,総数,Tokyo-to,669,654,6,6,3
20,2008,1,13100,区部,All ku ,148,142,6,-,-
20,2008,1,13350,島部,All islands,521,512,-,6,3
20,2008,2,13361,大島町,Oshima-machi,108,106,-,1,1
20,2008,2,13362,利島村,Toshima-mura,18,18,-,-,-
20,2008,2,13363,新島村,Niijima-mura,78,75,-,2,1
20,2008,2,13364,神津島村,Kozushima-mura,97,96,-,-,1
20,2008,2,13381,三宅村,Miyake-mura,48,47,-,1,-
20,2008,2,13382,御蔵島村,Mikurajima-mura,7,7,-,-,-
20,2008,2,13401,八丈町,Hachijo-machi,112,111,-,1,-
20,2008,2,13402,青ヶ島村,Aogashima-mura,8,8,-,-,-
20,2008,2,13421,小笠原村,Ogasawara-mura,45,44,-,1,-
,,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 ) 9　農林水産業 9 AGRICULTURE， FORESTRY， AND FISHERIES,,,,,,,,,,
9-5 漁業経営体数 （平成10～20年）9-5 FISHERY MANAGEMENT ENTITIES  ( 1998-2008 ),,,,,,,,,,
各年11月1日現在の「漁業センサス」による。,,,,,,,,,,
Data are based on the Fishery Census taken as of November 1 of the year stated.,,,,,,,,,,
注) 2003年は三宅村を含まず。,,,,,,,,,,
Note: Excluding 2003 year Miyake-mura．,,,,,,,,,,
資料：農林水産省 「2008年漁業センサス」 Source: Agriculture，Forestry and Fisheries ,,,,,,,,,,
地域階層(0:東京都総数　1:区部・島部　2:区市町村),,,,,,,,,,
