年次,Year,月次 ,Month,交換高 Clearings／枚数 (千枚) Number (thousand),交換高 Clearings／金額 (億円) Value (hundred million yen),交換高 Clearings／差額 (億円) Balance (hundred million yen),手形1枚の平均金額 (千円) Average value of a bill (thousand yen),交換日数 Transaction days,1日平均交換高 Daily average clearings／枚数 (千枚) Number (thousand),1日平均交換高 Daily average clearings／金額 (億円)Value (hundred  million yen)
平成19,2007,総数,Total,40707,3171287,1090116,7791,245,166,12944
平成20,2008,総数,Total,36647,2983338,1049523,8141,245,149,12176
平成21,2009,総数,Total,31167,2602687,996301,8351,243,128,10710
平成22,2010,総数,Total,28512,2734096,1126628,9589,245,116,11159
平成23,2011,総数,Total,26635,2807245,1121807,10540,245,108,11458
平成23,2011,1,Jan.,2286,196697,71098,8604,19,120,10352
平成23,2011,2,Feb.,2108,185783,72618,8813,19,110,9778
平成23,2011,3,Mar.,2312,251019,93547,10857,22,105,11409
平成23,2011,4,Apr.,1887,217630,96071,11533,20,94,10881
平成23,2011,5,May,2476,258790,102243,10452,19,130,13620
平成23,2011,6,June,2322,284040,120370,12233,22,105,12910
平成23,2011,7,July,2167,223539,93547,10316,20,108,11176
平成23,2011,8,Aug.,2458,246085,93841,10012,23,106,10699
平成23,2011,9,Sept.,2114,236158,90241,11171,20,105,11807
平成23,2011,10,Oct.,2084,243685,98259,11693,20,104,12184
平成23,2011,11,Nov.,2111,220553,94347,10448,20,105,11027
平成23,2011,12,Dec.,2305,243258,95620,10553,21,109,11583
,,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 )　15  金融 15  FINANCE,,,,,,,,,,
15-8  東京手形交換所扱い手形交換高 (平成19～23年) 15-8  AMOUNT OF BILLS CLEARED AT THE TOKYO CLEARING HOUSE ( 2007-2011 ),,,,,,,,,,
資料：（一社）全国銀行協会 「決済統計年報」 Source: Japanese Bankers Association,,,,,,,,,,
