年,Year,項目,Item,総数 Total／頭数 Number（頭 Number）,総数 Total／重量 Weight（kg）,総数 Total／金額 Value（千円 in thousands of yen）
平成21,2009,総数,Total,361231,83410915,97750498
平成22,2010,総数,Total,335633,80540673,97131414
平成23,2011,総数,Total,329483,79068955,87629630
平成23,2011,牛,Cattle,143880,63546201,80926724
平成23,2011,豚,Pig,185374,15478087,6549604
平成23,2011,馬,Horse,1,265,42
平成23,2011,こ牛,Calf,228,23916,6069
平成23,2011,山羊・緬羊,Goat and sheep,0,0,0
平成23,2011,その他,Others,-,20486,147191
,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 ) 10　卸売市場取引 10  WHOLESALE MARKET TRANSACTIONS,,,,,,
10-3  畜産物の畜種別取扱高 （平成21～23年） 10-3 TOTAL TRANSACTIONS IN LIVESTOCK PRODUCTS BY TYPE OF LIVESTOCK （ 2009-2011 ）,,,,,,
資料：都中央卸売市場事業部業務課 「東京都中央卸売市場年報」 Source: Tokyo Metropolitan Central Wholesale Market,,,,,,
（単位　重量　kg，金額　千円） （Weight in kg ， Value in thousands of yen),,,,,,
