年次,Year,地域階層,地域コード,項番 Item number,地域,District,総数 Total／延長 Length,総数 Total／面積 Area,コンクリート Concrete／延長 Length,コンクリート Concrete／面積 Area,コンクリート平板 Concrete slabs／延長 Length,コンクリート平板 Concrete slabs／面積 Area,ブロック Blocks／延長 Length,ブロック Blocks／面積 Area,高級アスファルト Top-grade asphalt／延長 Length,高級アスファルト Top-grade asphalt／面積 Area,簡易 Base-grade asphalt／延長 Length,簡易 Base-grade asphalt／面積 Area,砂利 Gravel roads／延長 Length,砂利 Gravel roads／面積 Area,その他 Others／延長 Length,その他 Others／面積 Area
平成20,2008,0,13000,,総数,Tokyo-to,"24,255,451","179,403,296","541,562","8,185,895","45,925","2,424,521","157,452","5,251,785","14,237,478","108,189,660","6,471,661","42,056,064","2,709,274","5,752,127","92,099","7,543,244"
平成21,2009,0,13000,,総数,Tokyo-to,"24,316,116","181,134,050","542,119","8,368,489","46,255","2,387,856","160,280","5,302,312","14,293,694","109,271,541","6,488,398","42,393,484","2,694,204","5,713,776","91,166","7,696,592"
平成22,2010,0,13000,,総数,Tokyo-to,"24,327,936","181,967,523","541,366","8,279,448","49,223","2,423,626","169,550","5,437,490","14,429,039","110,426,923","6,435,377","42,156,111","2,678,226","5,667,058","25,155","7,576,867"
平成23,2011,0,13000,,総数,Tokyo-to,"24,341,542","182,542,404","535,962","8,287,860","49,266","2,466,548","171,839","6,086,360","14,424,003","110,348,260","6,495,043","42,147,812","2,641,204","5,526,082","24,225","7,679,482"
平成24,2012,0,13000,,総数,Tokyo-to,"24,405,945","183,598,991","541,132","8,296,590","48,562","2,504,708","172,931","6,183,114","14,511,073","110,553,152","6,495,081","42,170,123","2,613,470","5,457,586","23,695","8,433,717"
平成24,2012,1,13100,,区部,All ku,"11,863,272","101,687,762","78,929","3,078,539","28,102","1,703,048","128,628","4,433,791","8,814,581","70,269,051","2,797,094","19,745,917","14,214","46,690","1,723","2,410,725"
平成24,2012,2,13101,1,千代田区,Chiyoda-ku,"176,188","2,792,224",910,"148,715",394,"54,536","1,318","165,083","173,507","2,072,076",-,"251,201",-,-,59,"100,613"
平成24,2012,2,13102,2,中央区,Chuo-ku,"195,295","2,991,989",21,"187,240",78,"63,036","6,373","332,366","188,156","2,079,498",501,"180,844",-,-,166,"149,005"
平成24,2012,2,13103,3,港区,Minato-ku,"304,790","4,393,789","4,618","183,675",-,"45,586","1,035","258,851","286,834","3,135,724","12,193","538,186",-,-,110,"231,767"
平成24,2012,2,13104,4,新宿区,Shinjuku-ku,"354,902","3,355,655","12,471","151,705",-,"24,303",116,"104,828","342,215","2,782,228",100,"207,523",-,-,-,"85,068"
