地域階層,地域コード,項番 Item number,地域,District,登録自動車 Motor vehicles registered／総数 Total,登録自動車 Motor vehicles registered／貨物自動車 Trucks／計 Total,登録自動車 Motor vehicles registered／貨物自動車 Trucks／普通車 Ordinary,登録自動車 Motor vehicles registered／貨物自動車 Trucks／小型車 Small,登録自動車 Motor vehicles registered／貨物自動車 Trucks／被けん引車 Trailers,登録自動車 Motor vehicles registered／乗用車 Passenger cars／計 Total,登録自動車 Motor vehicles registered／乗用車 Passenger cars／普通車 Ordinary,登録自動車 Motor vehicles registered／乗用車 Passenger cars／小型車 Small,登録自動車 Motor vehicles registered／乗合自動車 Buses,登録自動車 Motor vehicles registered／特種用途車 Special use motor vehicles,登録自動車 Motor vehicles registered／大型特殊車 Heavy special type motor vehicles,1)小型二輪車（検査） Light two-wheeled motor vehicles ( Inspected ),2)課税登録台数軽自動車(四輪車) Light four-wheeled motor vehicles registered,有料駐車場 Pay parking lots／駐車場数 Quantity,有料駐車場 Pay parking lots／収容台数 Capacity,
0,13000,,総数,Tokyo-to,3223281,400477,123569,268874,8034,2719711,1453350,1266361,14862,74510,13721,170378,1023438,1308,242783,
1,13100,,区部,All ku,2002010,293738,89743,196572,7423,1641378,950507,690871,9351,48397,9146,114673,…,1035,186869,
5,13101,1,千代田区,Chiyoda-ku,29506,4878,485,4389,4,23816,15645,8171,63,686,63,871,…,128,17003,
5,13102,2,中央区,Chuo-ku,40078,7476,1019,6407,50,31235,20830,10405,86,1004,277,1512,…,104,13297,
5,13103,3,港区,Minato-ku,71199,9008,2005,6624,379,60073,44718,15355,262,1253,603,3476,…,158,23581,
5,13104,4,新宿区,Shinjuku-ku,53154,7446,1232,6204,10,44160,27122,17038,172,1340,36,3797,…,82,15195,
5,13105,5,文京区,Bunkyo-ku,33461,4433,589,3844,-,28550,17893,10657,66,404,8,2147,…,26,2862,
5,13106,6,台東区,Taito-ku,35301,7565,887,6663,15,26996,15169,11827,48,646,46,1862,…,41,4006,
5,13107,7,墨田区,Sumida-ku,50721,10679,2405,8248,26,38439,20703,17736,162,1070,371,2638,…,22,4445,
5,13108,8,江東区,Koto-ku,109286,26855,11254,13901,1700,75332,42721,32611,604,4775,1720,5283,…,90,27799,
5,13109,9,品川区,Shinagawa-ku,72584,13248,3303,8022,1923,57023,33988,23035,468,1530,315,4694,…,55,9799,
5,13110,10,目黒区,Meguro-ku,54345,4051,873,3164,14,49180,32723,16457,205,850,59,3645,…,17,1530,
5,13111,11,大田区,Ota-ku,161672,28810,9776,17079,1955,126513,72767,53746,1229,4154,966,9582,…,40,18729,
5,13112,12,世田谷区,Setagaya-ku,200363,14636,4066,10552,18,181192,116243,64949,706,3457,372,13809,…,21,4123,
5,13113,13,渋谷区,Shibuya-ku,50525,4611,674,3931,6,45008,31626,13382,158,707,41,3428,…,63,8965,
5,13114,14,中野区,Nakano-ku,47963,4940,893,4043,4,41906,24173,17733,262,803,52,4429,…,12,1276,
5,13115,15,杉並区,Suginami-ku,100198,8123,1998,6119,6,89724,52507,37217,478,1757,116,6698,…,7,669,
5,13116,16,豊島区,Toshima-ku,42985,5740,851,4882,7,36212,21127,15085,214,811,8,3163,…,38,6535,
5,13117,17,北区,Kita-ku,56431,7534,1758,5756,20,47460,24496,22964,374,985,78,3777,…,10,1449,
5,13118,18,荒川区,Arakawa-ku,35795,6804,1674,5061,69,27865,14986,12879,107,830,189,1926,…,12,1175,
5,13119,19,板橋区,Itabashi-ku,114181,17733,6242,11460,31,92961,49671,43290,475,2783,229,6875,…,23,5055,
5,13120,20,練馬区,Nerima-ku,168856,18073,5396,12648,29,146443,79394,67049,797,3319,224,9048,…,22,6364,
5,13121,21,足立区,Adachi-ku,187630,34284,13810,20332,142,144871,73298,71573,1009,6548,918,8232,…,29,6414,
5,13122,22,葛飾区,Katsushika-ku,107777,15304,4864,10353,87,88335,45134,43201,476,2899,763,5413,…,16,3750,
5,13123,23,江戸川区,Edogawa-ku,177999,31507,13689,16890,928,138084,73573,64511,930,5786,1692,8368,…,19,2848,
2,13200,,市部,All shi,1182348,98673,30191,68107,375,1051445,492414,559031,5116,23854,3260,54268,…,273,55914,
5,13201,1,八王子市,Hachioji-shi,181147,16750,5803,10888,59,158590,72601,85989,1075,4182,550,8672,…,55,11546,
5,13202,2,立川市,Tachikawa-shi,57387,6022,1401,4614,7,49408,22527,26881,240,1551,166,2500,…,24,4078,
5,13203,3,武蔵野市,Musashino-shi,28281,1693,306,1387,-,25727,14097,11630,328,465,68,1338,…,21,2593,
5,13204,4,三鷹市,Mitaka-shi,42836,3687,1064,2616,7,38286,19926,18360,56,725,82,2444,…,5,615,
5,13205,5,青梅市,Ome-shi,50155,4075,1346,2633,96,44703,19026,25677,215,965,197,2411,…,3,323,
5,13206,6,府中市,Fuchu-shi,67763,6701,2091,4593,17,59045,28636,30409,272,1534,211,3244,…,12,3361,
5,13207,7,昭島市,Akishima-shi,34975,3322,1142,2172,8,30622,13633,16989,141,743,147,1524,…,5,752,
5,13208,8,調布市,Chofu-shi,54035,4814,1472,3337,5,47692,24686,23006,250,1111,168,2688,…,27,4157,
5,13209,9,町田市,Machida-shi,131592,9008,2609,6385,14,119578,56347,63231,693,2071,242,5141,…,32,7154,
5,13210,10,小金井市,Koganei-shi,25895,1386,331,1054,1,24022,11820,12202,64,362,61,1342,…,6,1111,
5,13211,11,小平市,Kodaira-shi,50274,3894,1048,2839,7,45071,21068,24003,188,939,182,2344,…,2,96,
5,13212,12,日野市,Hino-shi,50389,2987,777,2205,5,46008,21332,24676,244,1016,134,2312,…,8,1239,
