項番 Item number,地域,District,消防署,Fire Station,マーク Mark,4階以上の建築物数 Buildings with 4 stories and more／総数 Total,4階以上の建築物数 Buildings with 4 stories and more／4階 4 Stories,4階以上の建築物数 Buildings with 4 stories and more／5階 5 Stories,4階以上の建築物数 Buildings with 4 stories and more／6階 6 Stories,4階以上の建築物数 Buildings with 4 stories and more／7階 7 Stories,4階以上の建築物数 Buildings with 4 stories and more／8階 8 Stories,4階以上の建築物数 Buildings with 4 stories and more／9階 9 Stories,4階以上の建築物数 Buildings with 4 stories and more／10階 10 Stories,4階以上の建築物数 Buildings with 4 stories and more／11階 11 Stories,4階以上の建築物数 Buildings with 4 stories and more／12階 12 Stories,4階以上の建築物数 Buildings with 4 stories and more／13～29階 13-29 Stories,4階以上の建築物数 Buildings with 4 stories and more／30階以上 30 Stories and higher,地階を有する建築物数 Buildings with basements／総数 Total,地階を有する建築物数 Buildings with basements／地下1階 1 Basement level,地階を有する建築物数 Buildings with basements／地下2階 2 Basement levels,地階を有する建築物数 Buildings with basements／地下3階 3 Basement levels,地階を有する建築物数 Buildings with basements／地下4階以下 4 Basement levels and lower
,総数,Total,,,,156051,46225,38558,18280,14261,11576,8746,6720,3713,2405,5285,282,68432,60480,6375,1088,489
,区部,All ku,,,,131625,37482,30202,15972,12742,10439,8115,6139,3255,2202,4802,275,58448,51184,5770,1023,471
1,千代田区,Chiyoda-ku,丸の内署,Marunouchi F. Sta.,,204,16,13,5,4,11,25,20,13,4,74,19,251,66,57,43,85
2,千代田区,Chiyoda-ku,麹町署,Kojimachi F. Sta.,,1914,169,284,295,274,273,253,174,52,33,98,9,1308,946,276,56,30
3,千代田区,Chiyoda-ku,神田署,Kanda F. Sta.,,4188,359,672,651,634,667,597,329,75,78,122,4,2230,1865,312,43,10
4,中央区,Chuo-ku,京橋署,Kyobashi F. Sta.,,3510,274,473,459,470,543,551,349,125,113,151,2,2256,1678,458,81,39
5,中央区,Chuo-ku,日本橋署,Nihonbashi F. Sta.,,3651,288,531,550,517,516,515,340,141,118,132,3,1930,1572,264,71,23
6,中央区,Chuo-ku,臨港署,Rinko F. Sta.,,590,95,86,67,58,86,37,31,18,30,58,24,209,166,29,6,8
7,港区,Minato-ku,芝署,Shiba F. Sta.,,3927,468,633,502,488,499,542,306,136,100,214,39,2182,1743,319,80,40
8,港区,Minato-ku,麻布署,Azabu F. Sta.,,2373,535,497,320,279,230,181,108,61,45,111,6,1727,1468,211,35,13
9,港区,Minato-ku,赤坂署,Akasaka F. Sta.,,1895,384,374,263,213,203,182,120,46,25,74,11,1619,1314,230,57,18
10,港区,Minato-ku,高輪署,Takanawa F. Sta.,,1240,294,248,129,126,107,79,66,45,31,94,21,776,637,98,30,11
11,新宿区,Shinjuku-ku,四谷署,Yotsuya F. Sta.,,1954,391,387,245,198,206,208,165,75,24,55,-,1258,1065,158,33,2
12,新宿区,Shinjuku-ku,牛込署,Ushigome F. Sta.,,2218,552,574,294,224,155,115,104,56,50,90,4,1236,1085,126,19,6
13,新宿区,Shinjuku-ku,新宿署,Shinjuku F. Sta.,,4943,1498,1110,543,393,362,337,264,123,91,188,34,2900,2355,416,77,52
14,文京区,Bunkyo-ku,小石川署,Koishikawa F. Sta.,,2394,647,551,278,201,159,161,115,100,56,124,2,1168,1022,120,16,10
15,文京区,Bunkyo-ku,本郷署,Hongo F. Sta.,,2369,470,460,294,248,243,174,163,89,72,156,-,1277,1124,127,20,6
16,台東区,Taito-ku,上野署,Ueno F. Sta.,,2962,479,564,447,382,348,275,194,99,65,106,3,1325,1178,123,10,14
17,台東区,Taito-ku,浅草署,Asakusa F. Sta.,,2738,521,624,384,299,255,247,175,98,50,85,-,891,841,40,9,1
18,台東区,Taito-ku,日本堤署,Nihonzutsumi F. Sta.,,1548,448,340,208,145,115,94,81,41,28,48,-,355,336,12,6,1
19,墨田区,Sumida-ku,本所署,Honjo F. Sta.,,4184,1033,961,573,551,305,247,201,110,84,115,4,710,661,38,9,2
