年次,Year,地域階層,地区コード,地域,District,総数 Total,男 Male,女 Female
平成20,2008,0,13000,東京都,Tokyo-to,10549923,5210030,5339893
平成21,2009,0,13000,東京都,Tokyo-to,10628472,5247216,5381256
平成22,2010,0,13000,東京都,Tokyo-to,10669672,5260382,5409290
平成23,2011,0,13000,東京都,Tokyo-to,10708899,5273506,5435393
平成24,2012,0,13000,東京都,Tokyo-to,10743373,5285004,5458369
平成24,2012,1,13100,区部,All ku,7345272,3604408,3740864
平成24,2012,3,13101,千代田区,Chiyoda-ku,42086,20659,21427
平成24,2012,3,13102,中央区,Chuo-ku,105690,49582,56108
平成24,2012,3,13103,港区,Minato-ku,181313,83529,97784
平成24,2012,3,13104,新宿区,Shinjuku-ku,254201,126780,127421
平成24,2012,3,13105,文京区,Bunkyo-ku,166244,78331,87913
平成24,2012,3,13106,台東区,Taito-ku,150866,77525,73341
平成24,2012,3,13107,墨田区,Sumida-ku,208161,104298,103863
平成24,2012,3,13108,江東区,Koto-ku,387271,192022,195249
平成24,2012,3,13109,品川区,Shinagawa-ku,308049,150235,157814
平成24,2012,3,13110,目黒区,Meguro-ku,222906,103208,119698
平成24,2012,3,13111,大田区,Ota-ku ,578267,289283,288984
平成24,2012,3,13112,世田谷区,Setagaya-ku,718255,337711,380544
平成24,2012,3,13113,渋谷区,Shibuya-ku,178284,83949,94335
平成24,2012,3,13114,中野区,Nakano-ku,266486,133652,132834
平成24,2012,3,13115,杉並区,Suginami-ku,460849,219432,241417
平成24,2012,3,13116,豊島区,Toshima-ku,221167,111415,109752
平成24,2012,3,13117,北区,Kita-ku,277287,137348,139939
平成24,2012,3,13118,荒川区,Arakawa-ku,161876,80674,81202
平成24,2012,3,13119,板橋区,Itabashi-ku,443474,219745,223729
平成24,2012,3,13120,練馬区,Nerima-ku,579500,282706,296794
平成24,2012,3,13121,足立区,Adachi-ku,539029,271042,267987
平成24,2012,3,13122,葛飾区,Katsushika-ku,363304,181756,181548
平成24,2012,3,13123,江戸川区,Edogawa-ku,530707,269526,261181
平成24,2012,1,13200,市部,All shi,3326027,1644366,1681661
平成24,2012,3,13201,八王子市,Hachioji-shi,455392,227876,227516
平成24,2012,3,13202,立川市,Tachikawa-shi,145309,72428,72881
平成24,2012,3,13203,武蔵野市,Musashino-shi,116836,55278,61558
平成24,2012,3,13204,三鷹市,Mitaka-shi,148149,72326,75823
平成24,2012,3,13205,青梅市,Ome-shi,113061,56676,56385
平成24,2012,3,13206,府中市,Fuchu-shi,203624,103466,100158
平成24,2012,3,13207,昭島市,Akishima-shi,92201,46159,46042
平成24,2012,3,13208,調布市,Chofu-shi,183154,89846,93308
平成24,2012,3,13209,町田市,Machida-shi,343597,167787,175810
平成24,2012,3,13210,小金井市,Koganei-shi,95346,47035,48311
平成24,2012,3,13211,小平市,Kodaira-shi,148539,73038,75501
平成24,2012,3,13212,日野市,Hino-shi,144961,72936,72025
平成24,2012,3,13213,東村山市,Higashimurayama-shi,124403,60899,63504
平成24,2012,3,13214,国分寺市,Kokubunji-shi,96878,47662,49216
平成24,2012,3,13215,国立市,Kunitachi-shi,61609,30273,31336
平成24,2012,3,13218,福生市,Fussa-shi,47592,23911,23681
平成24,2012,3,13219,狛江市,Komae-shi,64939,31586,33353
平成24,2012,3,13220,東大和市,Higashiyamato-shi,68223,33745,34478
平成24,2012,3,13221,清瀬市,Kiyose-shi,60396,28929,31467
平成24,2012,3,13222,東久留米市,Higashikurume-shi,94439,46230,48209
平成24,2012,3,13223,武蔵村山市,Musashimurayama-shi,56533,28387,28146
平成24,2012,3,13224,多摩市,Tama-shi,120622,59319,61303
平成24,2012,3,13225,稲城市,Inagi-shi,67487,34063,33424
平成24,2012,3,13227,羽村市,Hamura-shi,45465,23216,22249
平成24,2012,3,13228,あきる野市,Akiruno-shi,66075,32886,33189
平成24,2012,3,13229,西東京市,Nishitokyo-shi,161197,78409,82788
平成24,2012,1,13300,郡部,All gun,48816,24447,24369
平成24,2012,3,13303,瑞穂町,Mizuho-machi,27276,13885,13391
平成24,2012,3,13305,日の出町,Hinode-machi,13917,6827,7090
平成24,2012,3,13307,檜原村,Hinohara-mura,2305,1148,1157
平成24,2012,3,13308,奥多摩町,Okutama-machi,5318,2587,2731
平成24,2012,1,13350,島部,All Islands,23258,11783,11475
平成24,2012,2,13360,大島支庁,Oshima-shicho,11484,5653,5831
平成24,2012,3,13361,大島町,Oshima-machi,7049,3476,3573
平成24,2012,3,13362,利島村,Toshima-mura,266,142,124
平成24,2012,3,13363,新島村,Niijima-mura,2567,1226,1341
平成24,2012,3,13364,神津島村,Kozushima-mura,1602,809,793
平成24,2012,2,13380,三宅支庁,Miyake-shicho,2706,1466,1240
平成24,2012,3,13381,三宅村,Miyake-mura,2453,1332,1121
平成24,2012,3,13382,御蔵島村,Mikurajima-mura,253,134,119
平成24,2012,2,13400,八丈支庁,Hachijo-shicho,7048,3526,3522
平成24,2012,3,13401,八丈町,Hachijo-machi,6904,3440,3464
平成24,2012,3,13402,青ヶ島村,Aogashima-mura,144,86,58
平成24,2012,2,13420,小笠原支庁,Ogasawara-shicho,2020,1138,882
平成24,2012,3,13421,小笠原村,Ogasawara-mura,2020,1138,882
,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 )　22  選挙・職員 22  ELECTION AND GOVERNMENT EMPLOYEES,,,,,,,,
22-1  選挙人名簿登録者数 (平成20～24年) 22-1  NUMBER OF REGISTERED VOTERS ( 2008-2012 ),,,,,,,,
各年9月2日現在 Figures are as of Sept. 2 of the year stated.,,,,,,,,
資料：都選挙管理委員会事務局 「選挙人名簿登録者数」（ホームページ） Source: Metropolitan Election Administration Commission,,,,,,,,
地域階層（0:東京都　1:区部・市部・郡部・島部　2:各支庁　3:区市町村),,,,,,,,
