年次,Year,月次 ,Month,店舗数 Stores,営業日数 (日) Business Days (days),従業者数 (人) Number of Employees (persons),売場面積 Sales Floor Area (1000m2),販売額 Sales／総額 Total,販売額 Sales／紳士服・洋品 Men's Clothes,販売額 Sales／婦人・子供服・洋品 Women's and Children's Clothes,販売額 Sales／その他の衣料品 Other Clothing,販売額 Sales／身の回り品 Accessories,販売額 Sales／飲食料品 Food and Beverages,販売額 Sales／家具 Furniture,販売額 Sales／家庭用電気機械器具 Household Electric Appliances,販売額 Sales／家庭用品 Household Equipment,販売額 Sales／その他の商品 Others,販売額 Sales／食堂・喫茶 Restaurants and Cafe,商品券 Gift Certificate
平成19,2007,総数,Total,291,362.2,38880,1465,1204454,34700,84289,24812,33859,704407,12122,32206,38841,234756,4462,3619
平成20,2008,総数,Total,295,363.4,38148,1469,1224354,33624,80992,20526,33044,733314,10840,35599,39056,233024,4336,3415
平成21,2009,総数,Total,307,363.2,38256,1487,1185363,30895,71487,16460,28727,731379,6793,31916,38332,226073,3300,3563
平成22,2010,総数,Total,322,363.1,38878,1509,1202590,24500,68293,22010,21781,746449,6492,36916,39422,233866,2861,3667
平成23,2011,総数,Total,332,362.9,38589,1518,1197752,24921,65218,21375,18369,753074,4945,34345,39322,233790,2394,3020
平成23,2011,1,Jan.,322,30.4,38222,1509,100462,2177,5958,1918,1762,61566,522,3088,3177,20061,233,293
平成23,2011,2,Feb.,320,28,36720,1500,88905,1309,4263,1177,1289,57972,384,2468,2744,17085,216,229
平成23,2011,3,Mar.,321,30.6,35570,1489,99332,1448,4505,1282,1362,64528,344,3298,3490,18881,195,257
平成23,2011,4,Apr.,323,29.8,36006,1498,96427,1969,5671,1532,1623,60311,394,2682,3131,18921,193,275
平成23,2011,5,May,324,30.8,36682,1505,97018,2117,5696,1714,1679,61180,381,2745,3249,18074,181,212
平成23,2011,6,June,325,30,37003,1503,99326,2633,5900,2051,1593,61479,413,3349,3260,18465,183,242
平成23,2011,7,July,326,30.9,37418,1511,107418,2537,6314,2198,1698,65815,460,3906,3519,20771,200,279
平成23,2011,8,Aug.,326,30.8,37238,1502,96611,1632,4568,1564,1399,61681,325,2467,3021,19757,196,196
平成23,2011,9,Sept.,327,30,36869,1507,91974,1404,4259,1407,1344,60316,314,2163,2992,17586,190,197
平成23,2011,10,Oct.,327,30.8,36998,1509,98245,2361,5823,1828,1449,61793,408,2245,3196,18939,204,193
平成23,2011,11,Nov.,331,29.9,37382,1517,97026,2349,5554,1967,1425,60629,430,2360,3171,18949,191,234
平成23,2011,12,Dec.,332,30.9,38589,1518,125007,2985,6706,2736,1745,75803,569,3573,4374,26302,213,413
平成23,2011,区部(再掲),All ku ( Relisted ),221,363.1,25352,930,808922,16379,42540,14408,12403,497632,3083,21831,27527,170924,2195,2226
,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 )　12  商業・サービス・貿易 12  COMMERCE，SERVICES，AND FOREIGN TRADE,,,,,,,,,,,,,,,,,,,
12-4  大型小売店販売額 (2) スーパー (平成19～23年) 12-4  LARGE-SCALE RETAIL STORE SALES (2) SUPERMARKETS ( 2007-2011 ),,,,,,,,,,,,,,,,,,,
「大型小売店」とは，従業者50人以上の百貨店及びスーパーをいう。 ,,,,,,,,,,,,,,,,,,,
売場面積の50％以上についてセルフサービス方式を採用している事業所であって，売場面積が1，500m2以上の事業所をいう。 ,,,,,,,,,,,,,,,,,,,
Large-scale retail stores refer to department stores and supermarkets with 50 or more employees.,,,,,,,,,,,,,,,,,,,
Supermarkets are establishments adopting a self-service system on 50 percent or more of their floor space and have a floor space of 1，500m2 or more.,,,,,,,,,,,,,,,,,,,
注) 年計の事業所数，  従業者及び売場面積の数値は， 12月末の数である。,,,,,,,,,,,,,,,,,,,
Note: Annual figures for the number of establishments， employees， and sales floor space are year-end numbers.,,,,,,,,,,,,,,,,,,,
資料：経済産業省 「商業販売統計年報」  Source: Ministry of Economy， Trade and Industry,,,,,,,,,,,,,,,,,,,
（単位  金額　百万円）(Value in millions of yen),,,,,,,,,,,,,,,,,,,
