年度,Fiscal year,系統,Line,駅,Station,マーク Mark,総数 Total／発 Departure,総数 Total／着 Arrival,車扱貨物 Carload freight／発 Departure,車扱貨物 Carload freight／着 Arrival,コンテナ貨物 Container freight／発 Departure,コンテナ貨物 Container freight／着 Arrival
平成19,2007,総数,Total,,,,2292805,3505512,57720,625468,2235085,2880044
平成20,2008,総数,Total,,,,2163017,3182904,53674,561122,2109343,2621782
平成21,2009,総数,Total,,,,2034150,2989010,57342,539511,1976808,2449499
平成22,2010,総数,Total,,,,1969215,2948991,60518,475896,1908697,2473095
平成23,2011,総数,Total,,,,1899436,2765152,59525,447492,1839911,2317660
平成23,2011,うち区部,Ku area only,,,,1832391,2261903,12476,8648,1819915,2253255
平成23,2011,東海道本線,Tokaido Line,,,※,1212521,1404250,15,2248,1212506,1402002
平成23,2011,東海道本線,Tokaido Line,品川,Shinagawa,,-,-,-,-,-,-
平成23,2011,東海道本線,Tokaido Line,東京貨物ターミナル,Tokyo freight terminal,,1212521,1404250,15,2248,1212506,1402002
平成23,2011,中央線,Chuo Line,,,,57845,461566,37849,397161,19996,64405
平成23,2011,中央線,Chuo Line,中野,Nakano,※,-,2800,-,2800,-,-
平成23,2011,中央線,Chuo Line,八王子,Hachioji,,57845,458766,37849,394361,19996,64405
平成23,2011,青梅線,Ome Line,,,,9200,44483,9200,44483,-,-
平成23,2011,青梅線,Ome Line,拝島,Haijima,,9200,44483,9200,44483,-,-
平成23,2011,東北本線,Tohoku Line,,,※,-,53770,-,-,-,53770
平成23,2011,東北本線,Tohoku Line,田端操,Tabataso,,-,-,-,-,-,-
平成23,2011,東北本線,Tohoku Line,北王子,Kitaoji,,-,53770,-,-,-,53770
平成23,2011,常磐線,Joban Line,,,※,607409,801083,-,3600,607409,797483
平成23,2011,常磐線,Joban Line,金町,Kanamachi,,-,-,-,-,-,-
平成23,2011,常磐線,Joban Line,綾瀬,Ayase,,-,3600,-,3600,-,-
平成23,2011,常磐線,Joban Line,隅田川,Sumidagawa,,607409,797483,-,-,607409,797483
平成23,2011,総武線,Sobu Line,,,※,12461,-,12461,-,-,-
平成23,2011,総武線,Sobu Line,新小岩操,Shinkoiwaso,,10274,-,10274,-,-,-
平成23,2011,総武線,Sobu Line,越中島,Etchujima,,2187,-,2187,-,-,-
,,,,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 ) 4　運輸 4　TRANSPORT ,,,,,,,,,,,,
4-16  J R 貨物の駅別貨物発着量 (平成19～23年度) 4-16  VOLUME OF FREIGHT TRANSPORTED BY JAPAN FREIGHT RAILWAY COMPANY BY STATION ( Fiscal Years 2007-2011 ),,,,,,,,,,,,
注) ※印は区部にある駅 （線） を示す。,,,,,,,,,,,,
Note: Lines and stations marked with  a ※ refer to those located in the ku area.,,,,,,,,,,,,
資料：日本貨物鉄道株式会社関東支社 Source: Japan Freight Railway Company,,,,,,,,,,,,
（単位　トン） (In metric tons),,,,,,,,,,,,
