地域階層,地域コード,地域,District,昼間人口Daytime population,夜間人口Nighttime population,(A) 流入超過人口 Net inflow of population／計Total (=B-C),(A) 流入超過人口 Net inflow of population／通勤者Commuters (=B-C),(A) 流入超過人口 Net inflow of population／通学者Pupils and students (=B-C),(B) 流入人口 Population inflow／計Total,(B) 流入人口 Population inflow／通勤者Commuters,(B) 流入人口 Population inflow／通学者Pupils and students,(C) 流出人口 Population outflow／計Total,(C) 流出人口 Population outflow／通勤者Commuters,(C) 流出人口 Population outflow／通学者Pupils and students,面積 Area　(km2) 2),昼間人口密度（1km2につき）  Daytime population density ( per sq. km ),昼夜間人口比率 Ratio of daytime population to nighttime population 3)
0,13000,総数,Tokyo-to,14977580,12415786,2561794,2289767,272027,3051277,2704196,347081,489483,414429,75054,2186.96,6849,120.6
1,13100,区部,All ku,11284699,8351955,2932744,2682111,250633,3354289,3017032,337257,421545,334921,86624,621.35,18162,135.1
2,13101,千代田区,Chiyoda-ku,853382,41683,811699,734004,77695,821518,741972,79546,9819,7968,1851,11.64,73315,2047.3
2,13102,中央区,Chuo-ku,647733,98220,549513,547543,1970,575030,569897,5133,25517,22354,3163,10.15,63816,659.5
2,13103,港区,Minato-ku,908940,185732,723208,692010,31198,762132,724912,37220,38924,32902,6022,20.34,44687,489.4
2,13104,新宿区,Shinjuku-ku,770094,303808,466286,400351,65935,550027,471391,78636,83741,71040,12701,18.23,42243,253.5
2,13105,文京区,Bunkyo-ku,336229,189564,146665,100080,46585,214080,157334,56746,67415,57254,10161,11.31,29728,177.4
2,13106,台東区,Taito-ku,303522,163528,139994,137326,2668,183853,174704,9149,43859,37378,6481,10.08,30111,185.6
2,13107,墨田区,Sumida-ku,262514,231092,31422,31789,-367,106174,97721,8453,74752,65932,8820,13.75,19092,113.6
2,13108,江東区,Koto-ku,490708,420827,69881,81282,-11401,214694,208804,5890,144813,127522,17291,39.49,12426,116.6
2,13109,品川区,Shinagawa-ku,505034,344888,160146,152627,7519,272164,251957,20207,112018,99330,12688,22.72,22229,146.4
2,13110,目黒区,Meguro-ku,271320,248749,22571,15997,6574,112535,93620,18915,89964,77623,12341,14.7,18457,109.1
2,13111,大田区,Ota-ku,657209,664027,-6818,7495,-14313,184915,174053,10862,191733,166558,25175,59.46,11053,99
2,13112,世田谷区,Setagaya-ku,736040,820320,-84280,-108071,23791,185516,126335,59181,269796,234406,35390,58.08,12673,89.7
