年次,Year,地域階層,地域コード,項番 Item number,地域,District,総数 Total／橋数 Number,総数 Total／橋長 Length,総数 Total／橋面積 Area,一般国道 (指定区間外) General national highways (outside designated sections)／橋数 Number,一般国道 (指定区間外) General national highways (outside designated sections)／橋長 Length,一般国道 (指定区間外) General national highways (outside designated sections)／橋面積 Area,主要地方道 Main regional roads／橋数 Number,主要地方道 Main regional roads／橋長 Length,主要地方道 Main regional roads／橋面積 Area,一般都道 General metropolitan roads／橋数 Number,一般都道 General metropolitan roads／橋長 Length,一般都道 General metropolitan roads／橋面積 Area,
平成20,2008,0,13000,,総数,Tokyo-to,738,41030,76903,27,1795.6,3309.4,472,24222,42308,239,15013,31286,
平成21,2009,0,13000,,総数,Tokyo-to,735,41286,77672,27,1795.6,3309.4,470,24519,43146,238,14972,31217,
平成22,2010,0,13000,,総数,Tokyo-to,725,41249,78556,25,1741,3170,470,25073,45464,230,14435,29922,
平成23,2011,0,13000,,総数,Tokyo-to,713,40653,77689,25,1741,3170,462,24700,44819,226,14212,29700,
平成24,2012,0,13000,,総数,Tokyo-to,709,40515,77385,25,1741,3170,460,24621,44664,224,14153,29551,
平成24,2012,1,13100,,区部,All ku,495,30723,59040,19,1537,2782,336,18877,33171,140,10309,23087,
平成24,2012,4,13101,1,千代田区,Chiyoda-ku,7,547,1242,-,-,-,6,415,760,1,132,482,
平成24,2012,4,13102,2,中央区,Chuo-ku,11,1205,2705,-,-,-,10,939,2323,1,266,382,
平成24,2012,4,13103,3,港区,Minato-ku,21,1289,1969,-,-,-,7,495,736,14,794,1233,
平成24,2012,4,13104,4,新宿区,Shinjuku-ku,22,1632,5254,-,-,-,14,749,2215,8,883,3039,
平成24,2012,4,13105,5,文京区,Bunkyo-ku,11,699,1273,-,-,-,4,226,322,7,473,951,
平成24,2012,4,13106,6,台東区,Taito-ku,5,457,398,-,-,-,3,256,122,2,201,276,
平成24,2012,4,13107,7,墨田区,Sumida-ku,6,236,468,-,-,-,3,28,73,3,208,395,
平成24,2012,4,13108,8,江東区,Koto-ku,36,2449,4828,-,-,-,24,766,1219,12,1683,3609,
平成24,2012,4,13109,9,品川区,Shinagawa-ku,11,1045,2170,-,-,-,8,916,1976,3,129,194,
平成24,2012,4,13110,10,目黒区,Meguro-ku,21,883,1388,-,-,-,17,707,1138,4,176,250,
平成24,2012,4,13111,11,大田区,Ota-ku,33,2159,3976,1,43,41,31,2082,3881,1,34,54,
平成24,2012,4,13112,12,世田谷区,Setagaya-ku,52,3006,5145,6,376,754,43,2504,4198,3,126,193,
平成24,2012,4,13113,13,渋谷区,Shibuya-ku,20,1235,2280,-,-,-,13,723,1347,7,512,933,
平成24,2012,4,13114,14,中野区,Nakano-ku,20,857,1222,-,-,-,12,599,851,8,258,371,
平成24,2012,4,13115,15,杉並区,Suginami-ku,43,1785,3104,-,-,-,37,1453,2617,6,332,487,
平成24,2012,4,13116,16,豊島区,Toshima-ku,9,364,693,-,-,-,6,212,392,3,152,301,
平成24,2012,4,13117,17,北区,Kita-ku,29,3737,4848,10,1005,1826,9,1814,1368,10,918,1654,
平成24,2012,4,13118,18,荒川区,Arakawa-ku,6,237,990,-,-,-,4,94,130,2,143,860,
平成24,2012,4,13119,19,板橋区,Itabashi-ku,30,1813,5548,-,-,-,10,453,822,20,1360,4726,
平成24,2012,4,13120,20,練馬区,Nerima-ku,28,1429,3598,-,-,-,19,989,2587,9,440,1011,
平成24,2012,4,13121,21,足立区,Adachi-ku,33,1486,2674,-,-,-,23,1075,2078,10,411,596,
平成24,2012,4,13122,22,葛飾区,Katsushika-ku,11,659,470,-,-,-,9,342,313,2,317,157,
平成24,2012,4,13123,23,江戸川区,Edogawa-ku,30,1514,2797,2,113,161,24,1040,1703,4,361,933,
平成24,2012,,,,市郡部,All shi and gun,211,9720,18089,6,204,388,124,5744,11493,81,3772,6208,
平成24,2012,2,13350,,島部,All island,3,72,256,-,-,-,-,-,-,3,72,256,
,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 ) 4　運輸 4　TRANSPORT,,,,,,,,,,,,,,,,,,,
4-4  地域， 道路の種類別歩道橋数， 橋長及び橋面積（平成20～24年） ,,,,,,,,,,,,,,,,,,,
この表は， 知事管理道路についての数値である。 各年4月1日現在。 ,,,,,,,,,,,,,,,,,,,
（単位　延長　メートル， 面積　平方メートル） ,,,,,,,,,,,,,,,,,,,
資料：都建設局道路管理部保全課 ,,,,,,,,,,,,,,,,,,,
4-4  NUMBER，LENGTH AND AREA OF PEDESTRIAN BRIDGES BY,,,,,,,,,,,,,,,,,,, 
DISTRICT AND KIND OF ROADS (2008～2012) ,,,,,,,,,,,,,,,,,,,
Figures refer only to roads under the jurisdiction of the Tokyo governor. Figures are as of Apr. 1 ,,,,,,,,,,,,,,,,,,,
(Length in meters，Area in square meters),,,,,,,,,,,,,,,,,,, 
Source : Bureau of Construction，TMG,,,,,,,,,,,,,,,,,,, 
