地域階層,地域コード,地域,District,他府県との移動Inter-prefecture migration／増減Net migration,他府県との移動Inter-prefecture migration／転入In-migration,他府県との移動Inter-prefecture migration／転出Out-migration,都内間の移動増減数Net migration within Tokyo
0,13000,総数,Tokyo-to,"39,334","392,991","353,657",282
1,13100,区部,All ku,"30,652","293,768","263,116","3,729"
3,13101,千代田区,Chiyoda-ku,504,"2,385","1,881",200
3,13102,中央区,Chuo-ku,"1,838","6,349","4,511",1058
3,13103,港区,Minato-ku,"1,664","8,949","7,285",567
3,13104,新宿区,Shinjuku-ku,"1,972","13,118","11,146","-1,095"
3,13105,文京区,Bunkyo-ku,"1,646","8,146","6,500",-59
3,13106,台東区,Taito-ku,"1,317","6,261","4,944",583
3,13107,墨田区,Sumida-ku,938,"7,440","6,502",-495
3,13108,江東区,Koto-ku,"2,824","14,345","11,521","1,006"
3,13109,品川区,Shinagawa-ku,"1,875","13,339","11,464",103
3,13110,目黒区,Meguro-ku,796,"10,001","9,205",-130
3,13111,大田区,Ota-ku,563,"24,311","23,748",-361
3,13112,世田谷区,Setagaya-ku,"3,569","31,045","27,476",354
3,13113,渋谷区,Shibuya-ku,"1,489","8,059","6,570",1228
3,13114,中野区,Nakano-ku,"1,732","11,904","10,172",-510
3,13115,杉並区,Suginami-ku,"1,682","18,281","16,599",-652
3,13116,豊島区,Toshima-ku,"2,358","10,756","8,398",1822
3,13117,北区,Kita-ku,526,"10,711","10,185",-374
3,13118,荒川区,Arakawa-ku,988,"5,387","4,399",779
3,13119,板橋区,Itabashi-ku,596,"16,355","15,759",239
3,13120,練馬区,Nerima-ku,"1,211","21,229","20,018",59
3,13121,足立区,Adachi-ku,869,"15,976","15,107",1371
3,13122,葛飾区,Katsushika-ku,-377,"10,172","10,549",-212
3,13123,江戸川区,Edogawa-ku,72,"19,249","19,177","-1,752"
1,13200,市部,All shi,"8,539","97,778","89,239","-3,683"
3,13201,八王子市,Hachioji-shi,"1,839","13,160","11,321",-264
3,13202,立川市,Tachikawa-shi,308,"4,068","3,760",-229
3,13203,武蔵野市,Musashino-shi,438,"4,215","3,777",-426
3,13204,三鷹市,Mitaka-shi,628,"4,944","4,316",-402
3,13205,青梅市,Ome-shi,5,"1,736","1,731",293
3,13206,府中市,Fuchu-shi,"1,734","7,722","5,988","-1,663"
3,13207,昭島市,Akishima-shi,-14,"1,689","1,703",-18
3,13208,調布市,Chofu-shi,658,"6,615","5,957",-284
3,13209,町田市,Machida-shi,"1,075","12,474","11,399",-153
3,13210,小金井市,Koganei-shi,640,"3,834","3,194",-252
3,13211,小平市,Kodaira-shi,280,"4,543","4,263",66
3,13212,日野市,Hino-shi,357,"3,924","3,567",65
3,13213,東村山市,Higashimurayama-shi,-186,"2,912","3,098",493
3,13214,国分寺市,Kokubunji-shi,307,"3,298","2,991",-809
3,13215,国立市,Kunitachi-shi,114,"1,958","1,844",-64
3,13218,福生市,Fussa-shi,-1,828,829,-445
3,13219,狛江市,Komae-shi,68,"2,287","2,219",-112
3,13220,東大和市,Higashiyamato-shi,-27,"1,050","1,077",213
3,13221,清瀬市,Kiyose-shi,9,"1,654","1,645",347
3,13222,東久留米市,Higashikurume-shi,-220,"2,216","2,436",27
3,13223,武蔵村山市,Musashimurayama-shi,41,937,896,205
3,13224,多摩市,Tama-shi,-168,"3,057","3,225",-613
3,13225,稲城市,Inagi-shi,310,"2,420","2,110",120
3,13227,羽村市,Hamura-shi,-31,762,793,-9
3,13228,あきる野市,Akiruno-shi,-3,804,807,376
3,13229,西東京市,Nishitokyo-shi,378,"4,671","4,293",-145
1,13300,郡部,All gun,38,620,582,242
3,13303,瑞穂町,Mizuho-machi,-26,348,374,-11
3,13305,日の出町,Hinode-machi,48,218,170,299
3,13307,檜原村,Hinohara-mura,-2,12,14,-31
3,13308,奥多摩町,Okutama-machi,18,42,24,-15
1,13350,島部,All islands,105,825,720,-6
2,13360,大島支庁,Oshima-shicho,-5,303,308,-11
3,13361,大島町,Oshima-machi,9,204,195,-1
3,13362,利島村,Toshima-mura,-4,8,12,2
3,13363,新島村,Niijima-mura,-21,42,63,-5
3,13364,神津島村,Kouzushima-mura,11,49,38,-7
2,13380,三宅支庁,Miyake-shicho,27,111,84,-
3,13381,三宅村,Miyake-mura,19,92,73,7
3,13382,御蔵島村,Mikurajima-mura,8,19,11,-7
2,13400,八丈支庁,Hachijo-shicho,57,211,154,-7
3,13401,八丈町,Hachijo-machi,54,205,151,-4
3,13402,青ヶ島村,Aogashiｍa-mura,3,6,3,-3
2,13420,小笠原支庁,Ogasawara-shicho,26,200,174,12
3,13421,小笠原村,Ogasawara-mura,26,200,174,12
,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 )　2  人口・世帯 2  POPULATION AND HOUSEHOLDS,,,,,,,
2-6 地域別移動人口（平成23年中） 2-6 POPULATION MIGRATION BY DISTRICT ( 2011 ),,,,,,,
注) この表は住民基本台帳による届出時点の数字である。,,,,,,,
Note:  Data refer to numbers reported on the Basic Resident Registers during the stated year.  ,,,,,,,
資料：都総務局統計部人口統計課 「人口の動き-「東京都の人口（推計)」年報-」Source: Bureau of General Affairs， TMG    ,,,,,,,
地域階層（0:東京都総数　1:区部・市部・郡部・島部　2:支庁　3:区市町村）,,,,,,,
