年度(和暦),Fiscal year,路線と地域,District and Line,駅,Station,マーク Mark,乗車人員 Boarding passengers／総数 Total,乗車人員 Boarding passengers／定期 Commuter Pass,乗車人員 Boarding passengers／普通 Tickets
平成19,2007,総数,All Line,総数,All Station,,3320067,1956691,1363375
平成20,2008,総数,All Line,総数,All Station,,3299581,1947983,1351603
平成21,2009,総数,All Line,総数,All Station,,3258406,1930282,1328124
平成22,2010,総数,All Line,総数,All Station,,3232332,1929709,1302623
平成23,2011,総数,All Line,総数,All Station,,3225866,1917516,1308359
平成23,2011,東京都,Tokyo to,総数,All Station,,2698441,1580280,1118163
平成23,2011,東海道本線,Tokaido Line,,,※,638804,385211,253595
平成23,2011,東海道本線,Tokaido Line,東京,Tokyo,,139445,77458,61987
平成23,2011,東海道本線,Tokaido Line,有楽町,Yurakucho,,59384,31904,27481
平成23,2011,東海道本線,Tokaido Line,新橋,Shimbashi,,89264,55572,33692
平成23,2011,東海道本線,Tokaido Line,浜松町,Hamamatsucho,,55442,33889,21553
平成23,2011,東海道本線,Tokaido Line,田町,Tamachi,,54295,38975,15320
平成23,2011,東海道本線,Tokaido Line,品川,Shinagawa,,118545,69485,49061
平成23,2011,東海道本線,Tokaido Line,大井町,Oimachi,,34852,21286,13566
平成23,2011,東海道本線,Tokaido Line,大森,Omori,,33286,21172,12114
平成23,2011,東海道本線,Tokaido Line,蒲田,Kamata,,48895,31970,16925
平成23,2011,東海道本線,Tokaido Line,西大井,Nishi-oi,,5396,3500,1896
平成23,2011,中央本線,Chuo Line,,,,711534,434323,277211
平成23,2011,中央本線,Chuo Line,神田,Kanda,※,36347,21888,14459
平成23,2011,中央本線,Chuo Line,御茶ノ水,Ochanomizu,※,36790,22592,14197
平成23,2011,中央本線,Chuo Line,水道橋,Suidobashi,※,30061,16313,13748
平成23,2011,中央本線,Chuo Line,飯田橋,Iidabashi,※,33220,21122,12098
平成23,2011,中央本線,Chuo Line,市ヶ谷,Ichigaya,※,20846,13809,7037
平成23,2011,中央本線,Chuo Line,四ツ谷,Yotsuya,※,32246,21528,10718
平成23,2011,中央本線,Chuo Line,信濃町,Shinanomachi,※,9528,4427,5101
平成23,2011,中央本線,Chuo Line,千駄ヶ谷,Sendagaya,※,7323,3157,4166
平成23,2011,中央本線,Chuo Line,代々木,Yoyogi,※,25425,12481,12944
平成23,2011,中央本線,Chuo Line,大久保,Okubo,※,8783,4790,3993
平成23,2011,中央本線,Chuo Line,東中野,Higashi-nakano,※,14018,8169,5849
平成23,2011,中央本線,Chuo Line,中野,Nakano,※,44962,27328,17633
平成23,2011,中央本線,Chuo Line,高円寺,Koenji,※,17588,10207,7381
平成23,2011,中央本線,Chuo Line,阿佐ヶ谷,Asagaya,※,15773,9332,6442
平成23,2011,中央本線,Chuo Line,荻窪,Ogikubo,※,30488,18527,11961
平成23,2011,中央本線,Chuo Line,西荻窪,Nishi-ogikubo,※,14689,8494,6195
平成23,2011,中央本線,Chuo Line,吉祥寺,Kichijoji,,50345,29229,21117
平成23,2011,中央本線,Chuo Line,三鷹,Mitaka,,32682,21680,11002
平成23,2011,中央本線,Chuo Line,武蔵境,Musashi-sakai,,22334,15294,7040
平成23,2011,中央本線,Chuo Line,東小金井,Higashi-koganei,,10078,7039,3039
平成23,2011,中央本線,Chuo Line,武蔵小金井,Musashi-koganei,,20744,14031,6713
平成23,2011,中央本線,Chuo Line,国分寺,Kokubunji,,38332,25743,12589
平成23,2011,中央本線,Chuo Line,西国分寺,Nishi-kokubunji,,9810,5492,4318
平成23,2011,中央本線,Chuo Line,国立,Kunitachi,,19068,12690,6378
平成23,2011,中央本線,Chuo Line,立川,Tachikawa,,57048,31458,25590
平成23,2011,中央本線,Chuo Line,日野,Hino,,10142,7227,2915
平成23,2011,中央本線,Chuo Line,豊田,Toyoda,,10897,7796,3101
平成23,2011,中央本線,Chuo Line,八王子,Hachioji,,29820,17168,12652
平成23,2011,中央本線,Chuo Line,西八王子,Nishi-hachioji,,11179,7826,3353
平成23,2011,中央本線,Chuo Line,高尾,Takao,,10968,7486,3482
平成23,2011,南武線,Nambu Line,,,,40641,25964,14678
平成23,2011,南武線,Nambu Line,矢野口,Yanokuchi,,3365,2221,1144
平成23,2011,南武線,Nambu Line,稲城長沼,Inaginaganuma,,2407,1666,742
平成23,2011,南武線,Nambu Line,南多摩,Minamitama,,2365,1525,839
平成23,2011,南武線,Nambu Line,府中本町,Fuchu-hommachi,,6063,2699,3364
平成23,2011,南武線,Nambu Line,分倍河原,Bubaigawara,,13761,9210,4552
平成23,2011,南武線,Nambu Line,西府,Nishifu,,3003,2096,907
平成23,2011,南武線,Nambu Line,谷保,Yaho,,3517,2364,1153
平成23,2011,南武線,Nambu Line,矢川,Yagawa,,2706,1779,927
平成23,2011,南武線,Nambu Line,西国立,Nishi-kunitachi,,3454,2404,1050
平成23,2011,横浜線,Yokohama Line,,,,58525,37226,21301
平成23,2011,横浜線,Yokohama Line,成瀬,Naruse,,6905,4392,2514
平成23,2011,横浜線,Yokohama Line,町田,Machida,,39910,24554,15356
平成23,2011,横浜線,Yokohama Line,相原,Aihara,,3696,2621,1076
平成23,2011,横浜線,Yokohama Line,八王子みなみ野,Hachiojiminamino,,6138,4478,1660
平成23,2011,横浜線,Yokohama Line,片倉,Katakura,,1876,1181,695
平成23,2011,青梅線,Ome Line,,,,58038,37940,20099
平成23,2011,青梅線,Ome Line,西立川,Nishi-tachikawa,,2328,1264,1064
平成23,2011,青梅線,Ome Line,東中神,Higashi-nakagami,,2514,1680,834
平成23,2011,青梅線,Ome Line,中神,Nakagami,,3746,2504,1242
平成23,2011,青梅線,Ome Line,昭島,Akishima,,9343,6049,3293
平成23,2011,青梅線,Ome Line,拝島,Haijima,,10276,6732,3544
平成23,2011,青梅線,Ome Line,牛浜,Ushihama,,1520,854,666
平成23,2011,青梅線,Ome Line,福生,Fussa,,5850,3667,2183
平成23,2011,青梅線,Ome Line,羽村,Hamura,,5077,3442,1636
平成23,2011,青梅線,Ome Line,小作,Ozaku,,6314,4394,1920
平成23,2011,青梅線,Ome Line,河辺,Kabe,,4802,3182,1620
平成23,2011,青梅線,Ome Line,東青梅,Higashi-ome,,2461,1750,711
平成23,2011,青梅線,Ome Line,青梅,Ome,,2544,1816,729
平成23,2011,青梅線,Ome Line,宮ノ平,Miyanohira,○,…,…,…
平成23,2011,青梅線,Ome Line,日向和田,Hinatawada,,344,235,110
平成23,2011,青梅線,Ome Line,石神前,Ishigamimae,○,…,…,…
平成23,2011,青梅線,Ome Line,二俣尾,Futamatao,,178,130,48
平成23,2011,青梅線,Ome Line,軍畑,Ikusabata,○,…,…,…
平成23,2011,青梅線,Ome Line,沢井,Sawai,○,…,…,…
平成23,2011,青梅線,Ome Line,御嶽,Mitake,,241,49,192
平成23,2011,青梅線,Ome Line,川井,Kawai,○,…,…,…
平成23,2011,青梅線,Ome Line,古里,Kori,,102,60,41
平成23,2011,青梅線,Ome Line,鳩ノ巣,Hatonosu,,77,32,45
平成23,2011,青梅線,Ome Line,白丸,Shiromaru,○,…,…,…
平成23,2011,青梅線,Ome Line,奥多摩,Okutama,,321,100,221
平成23,2011,五日市線,Itsukaichi Line,,,,9021,6378,2645
平成23,2011,五日市線,Itsukaichi Line,熊川,Kumagawa,,526,359,168
平成23,2011,五日市線,Itsukaichi Line,東秋留,Higashi-akiru,,1760,1269,492
平成23,2011,五日市線,Itsukaichi Line,秋川,Akigawa,,2676,1898,778
平成23,2011,五日市線,Itsukaichi Line,武蔵引田,Musashi-hikida,,1444,1072,372
平成23,2011,五日市線,Itsukaichi Line,武蔵増戸,Musashi-masuko,,964,684,280
平成23,2011,五日市線,Itsukaichi Line,武蔵五日市,Musashi-itsukaichi,,1651,1096,555
平成23,2011,武蔵野線,Musashino Line,,,,22507,15525,6982
平成23,2011,武蔵野線,Musashino Line,北府中,Kita-fuchu,,4938,3871,1067
平成23,2011,武蔵野線,Musashino Line,新小平,Shin-kodaira,,4053,2754,1299
平成23,2011,武蔵野線,Musashino Line,新秋津,Shin-akitsu,,13516,8900,4616
平成23,2011,八高線,Hachiko Line,,,,5246,4044,1202
平成23,2011,八高線,Hachiko Line,北八王子,Kita-hachioji,,2722,2218,504
平成23,2011,八高線,Hachiko Line,小宮,Komiya,,1019,720,299
平成23,2011,八高線,Hachiko Line,東福生,Higashi-fussa,○,…,…,…
平成23,2011,八高線,Hachiko Line,箱根ケ崎,Hakonegasaki,,1505,1106,399
平成23,2011,東北本線,Musashino Line,,,※,335009,180949,154061
平成23,2011,東北本線,Musashino Line,秋葉原,Akihabara,,84432,38920,45512
平成23,2011,東北本線,Musashino Line,御徒町,Okachimachi,,25035,13811,11224
平成23,2011,東北本線,Musashino Line,上野,Ueno,,63989,31951,32037
平成23,2011,東北本線,Musashino Line,鶯谷,Uguisudani,,8687,3932,4755
平成23,2011,東北本線,Musashino Line,日暮里,Nippori,,35410,19749,15661
平成23,2011,東北本線,Musashino Line,西日暮里,Nishi-nippori,,34364,21810,12554
平成23,2011,東北本線,Musashino Line,田端,Tabata,,15785,9013,6773
平成23,2011,東北本線,Musashino Line,上中里,Kami-nakazato,,2556,1623,933
平成23,2011,東北本線,Musashino Line,王子,Oji,,22068,14506,7562
平成23,2011,東北本線,Musashino Line,東十条,Higashi-jujo,,7916,4987,2930
平成23,2011,東北本線,Musashino Line,赤羽,Akabane,,31969,18781,13188
平成23,2011,東北本線,Musashino Line,尾久,Oku,,2798,1866,932
平成23,2011,山手線,Yamanote Line,,,※,985021,549822,435198
平成23,2011,山手線,Yamanote Line,大崎,Osaki,,46789,30723,16066
平成23,2011,山手線,Yamanote Line,五反田,Gotanda,,46847,28105,18742
平成23,2011,山手線,Yamanote Line,目黒,Meguro,,37331,20845,16486
平成23,2011,山手線,Yamanote Line,恵比寿,Ebisu,,47051,25210,21841
平成23,2011,山手線,Yamanote Line,渋谷,Shibuya,,147412,78704,68709
平成23,2011,山手線,Yamanote Line,原宿,Harajuku,,25529,8831,16698
平成23,2011,山手線,Yamanote Line,新宿,Shinjuku,,268701,143807,124893
平成23,2011,山手線,Yamanote Line,新大久保,Shin-okubo,,15531,6160,9370
平成23,2011,山手線,Yamanote Line,高田馬場,Takadanobaba,,73106,44959,28147
平成23,2011,山手線,Yamanote Line,目白,Mejiro,,13672,8451,5221
平成23,2011,山手線,Yamanote Line,池袋,Ikebukuro,,199383,116865,82518
平成23,2011,山手線,Yamanote Line,大塚,Otsuka,,18981,10393,8588
平成23,2011,山手線,Yamanote Line,巣鴨,Sugamo,,27850,16607,11243
平成23,2011,山手線,Yamanote Line,駒込,Komagome,,16838,10162,6676
平成23,2011,埼京線,Saikyo Line,,,※,36956,24428,12529
平成23,2011,埼京線,Saikyo Line,板橋,Itabashi,,11042,6621,4421
平成23,2011,埼京線,Saikyo Line,十条,Jujo,,12460,8544,3917
平成23,2011,埼京線,Saikyo Line,北赤羽,Kita-akabane,,6330,4465,1865
平成23,2011,埼京線,Saikyo Line,浮間舟渡,Ukimafunado,,7124,4798,2326
平成23,2011,常磐線,Joban Line,,,※,116511,83719,32793
平成23,2011,常磐線,Joban Line,三河島,Mikawashima,,3573,2451,1123
平成23,2011,常磐線,Joban Line,南千住,Minami-senju,,5602,3685,1917
平成23,2011,常磐線,Joban Line,北千住,Kita-senju,,71054,53416,17638
平成23,2011,常磐線,Joban Line,綾瀬,Ayase,,5888,4096,1792
平成23,2011,常磐線,Joban Line,亀有,Kameari,,14270,9273,4997
平成23,2011,常磐線,Joban Line,金町,Kanamachi,,16124,10798,5326
平成23,2011,総武線,Sobu Line,,,※,164453,104485,59967
平成23,2011,総武線,Sobu Line,両国,Ryogoku,,13881,8506,5375
平成23,2011,総武線,Sobu Line,浅草橋,Asakusabashi,,18840,11704,7136
平成23,2011,総武線,Sobu Line,新日本橋,Shin-nihombashi,,6591,4898,1692
平成23,2011,総武線,Sobu Line,馬喰町,Bakurocho,,8931,6247,2683
平成23,2011,総武線,Sobu Line,錦糸町,Kinshicho,,36295,20541,15754
平成23,2011,総武線,Sobu Line,亀戸,Kameido,,20125,12767,7358
平成23,2011,総武線,Sobu Line,平井,Hirai,,11300,7599,3702
平成23,2011,総武線,Sobu Line,新小岩,Shin-koiwa,,25779,17247,8532
平成23,2011,総武線,Sobu Line,小岩,Koiwa,,22711,14976,7735
平成23,2011,京葉線,Keiyo Line,,,※,43600,27502,16098
平成23,2011,京葉線,Keiyo Line,八丁堀,Hatchobori,,10600,6796,3804
平成23,2011,京葉線,Keiyo Line,越中島,Etchujima,,1514,1000,514
平成23,2011,京葉線,Keiyo Line,潮見,Shiomi,,3622,2383,1239
平成23,2011,京葉線,Keiyo Line,新木場,Shin-kiba,,23602,15007,8595
平成23,2011,京葉線,Keiyo Line,葛西臨海公園,Kasairinkaikoen,,4262,2316,1946
,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 ) 4　運輸 4　TRANSPORT,,,,,,,,,
4-8　JRの駅別乗車人員 （平成19～23年度） ,,,,,,,,,
各駅はJRの基準により配列し， また J R 内の乗り継ぎを除き， 乗り換え駅は主線に載せた。 ,,,,,,,,,
（単位　千人） ,,,,,,,,,
　　注1) ※印は区部にある駅 （線） を示す。 ,,,,,,,,,
　　　 2) ○印の駅は無人駅のため、資料元において非公開としているため、各々の計にも含まない。 ,,,,,,,,,
　　資料：東日本旅客鉄道㈱東京支社総務部企画室 ,,,,,,,,,
4-8  NUMBER OF PASSENGERS ON EAST JAPAN RAILWAY COMPANY TRAINS ,,,,,,,,,
BY STATION (Fiscal Years 2007～2011) ,,,,,,,,,
Stations are listed according to JR standards. Figures exclude transfers between JR lines. Transit stations are listed under their main line. ,,,,,,,,,
(In thousands) ,,,,,,,,,
　　Note: 1) Lines and stations marked with  a ※ refer to those located in the ku area. ,,,,,,,,,
2) The source is not publicizing figures for stations marked with a ○ because they are unmanned stations ,,,,,,,,,
　　Source : East Japan Railway Company ,,,,,,,,,
