年,Year,区分,Classification,数量 Number,金額 Value（千円 in thousands of yen）
平成21,2009,総数,Total,-,88271664
平成22,2010,総数,Total,-,89451706
平成23,2011,総数,Total,-,83088535
平成23,2011,切花（本）,Cut flowers (stems),933278073,55079133
平成23,2011,切葉（枚）,Cut leaves (pieces),80200766,2240410
平成23,2011,切枝（束）,Cut tree branches (bundles),28071334,4391979
平成23,2011,鉢物（鉢）,Potted flowers (pots),35954902,16000280
平成23,2011,苗物（箱）,Bedding plants (boxes),3407237,4777881
平成23,2011,その他花き（箱）,Others (boxes),848283,598853
,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 ) 10　卸売市場取引 10  WHOLESALE MARKET TRANSACTIONS,,,,,
10-4  花きの部類別取扱高 （平成21～23年） 10-4 TOTAL TRANSACTIONS IN FLOWERS BY TYPE（ 2009-2011 ）,,,,,
資料：都中央卸売市場事業部業務課 「東京都中央卸売市場年報」 Source: Tokyo Metropolitan Central Wholesale Market,,,,,
（単位　金額　千円） （Value in thousands of yen),,,,,
